site_id,year,month,predicted_probability,predicted_label,radius_key,radius_label,naam,gemeente,datum_van,long,lat,forecast_risk_rank,risk_label
143,2024,11,0.8824106907347868,1,1km_bike,1.0 km,Eco Display Classic Budastraat,Kortrijk,2023-12-08,3.26286,50.83066,1,Higher risk
107,2024,11,0.8814297076686362,1,1km_bike,1.0 km,leuven totem,Leuven,2022-08-23,4.7087919,50.8870744,2,Higher risk
69,2024,11,0.8630633475138323,1,1km_bike,1.0 km,Leuven teller 1,Leuven,2022-07-07,4.71526,50.87549,3,Higher risk
77,2024,11,0.8294382570356879,1,1km_bike,1.0 km,Leuven teller 2,Leuven,2022-07-07,4.70796,50.88672,4,Higher risk
17,2024,11,0.8065342440922059,1,1km_bike,1.0 km,Kortrijk 2,Kortrijk,2019-08-22,3.27773,50.83339,5,Higher risk
16,2024,11,0.769387341489982,1,1km_bike,1.0 km,Kortrijk 1,Kortrijk,2019-08-22,3.27777,50.83332,6,Higher risk
140,2024,11,0.765527053196878,1,1km_bike,1.0 km,Hasselt ring,Hasselt,2023-05-04,5.3438616,50.9300038,7,Higher risk
125,2024,11,0.699360536601851,1,1km_bike,1.0 km,Dendermonde totem,Dendermonde,2022-10-22,4.1025998,51.0372706,8,Higher risk
15,2024,11,0.6856876741434597,1,1km_bike,1.0 km,Oostende 2,Oostende,2019-08-22,2.92743,51.21371,9,Higher risk
18,2024,11,0.6814113039499572,1,1km_bike,1.0 km,Oostende 1,Oostende,2019-08-22,2.92765,51.21378,10,Higher risk
100,2024,11,0.6660233683245668,1,1km_bike,1.0 km,Mechelen teller 2,Mechelen,2022-07-28,4.46883,51.0457,11,Higher risk
137,2024,11,0.6276789404158276,1,1km_bike,1.0 km,Hasselt-Kempische brug,Hasselt,2023-04-19,5.3417576,50.9411605,12,Higher risk
118,2024,11,0.6027784736176941,1,1km_bike,1.0 km,Gent teller 1,Gent,2022-10-04,3.7681359,51.028049,13,Higher risk
6,2024,11,0.562431785959189,1,1km_bike,1.0 km,Evergem 2,Evergem,2019-08-22,3.70298,51.10894,14,Higher risk
138,2024,11,0.5624232924640724,1,1km_bike,1.0 km,Hasselt-Kempische brug,Hasselt,2023-04-20,5.3422472,50.9405318,15,Higher risk
13,2024,11,0.5509906468386689,1,1km_bike,1.0 km,Gent,Gent,2019-08-22,3.70146,51.03018,16,Higher risk
122,2024,11,0.5417963199251662,1,1km_bike,1.0 km,Dendermonde teller 2,Dendermonde,2022-10-05,4.1019222,51.0373918,17,Higher risk
14,2024,11,0.5393626076021497,1,1km_bike,1.0 km,Genk,Genk,2019-08-22,5.48927,50.97172,18,Higher risk
7,2024,11,0.5160751911134213,1,1km_bike,1.0 km,Evergem 1,Evergem,2019-08-22,3.70317,51.1089,19,Higher risk
75,2024,11,0.49202091499500034,1,1km_bike,1.0 km,Kortrijk teller 2,Kortrijk,2022-07-07,3.25731,50.81925,20,Higher risk
64,2024,11,0.4786998215685215,1,1km_bike,1.0 km,Nieuwpoort teller 1,Nieuwpoort,2022-06-24,2.75737,51.13359,21,Higher risk
99,2024,11,0.47805842920428576,1,1km_bike,1.0 km,Mechelen teller 1,Mechelen,2022-07-28,4.46882,51.04564,22,Higher risk
