site_id,year,month,predicted_probability,predicted_label,radius_key,radius_label,naam,gemeente,datum_van,long,lat,forecast_risk_rank,risk_label
15,2024,11,0.9998343948678893,1,2_5km,2.5 km,Oostende 2,Oostende,2019-08-22,2.92743,51.21371,1,Higher risk
18,2024,11,0.9998253359848398,1,2_5km,2.5 km,Oostende 1,Oostende,2019-08-22,2.92765,51.21378,2,Higher risk
143,2024,11,0.9997845044228411,1,2_5km,2.5 km,Eco Display Classic Budastraat,Kortrijk,2023-12-08,3.26286,50.83066,3,Higher risk
16,2024,11,0.9996789374296378,1,2_5km,2.5 km,Kortrijk 1,Kortrijk,2019-08-22,3.27777,50.83332,4,Higher risk
100,2024,11,0.9996569297660971,1,2_5km,2.5 km,Mechelen teller 2,Mechelen,2022-07-28,4.46883,51.0457,5,Higher risk
2,2024,11,0.9996292666287745,1,2_5km,2.5 km,Brasschaat 2,Brasschaat,2019-08-22,4.47169,51.27512,6,Higher risk
125,2024,11,0.9996170578910129,1,2_5km,2.5 km,Dendermonde totem,Dendermonde,2022-10-22,4.1025998,51.0372706,7,Higher risk
17,2024,11,0.9996093721161273,1,2_5km,2.5 km,Kortrijk 2,Kortrijk,2019-08-22,3.27773,50.83339,8,Higher risk
20,2024,11,0.9995421297301103,1,2_5km,2.5 km,Brugge,Brugge,2019-08-22,3.20048,51.17416,9,Higher risk
3,2024,11,0.9995098533210565,1,2_5km,2.5 km,Brasschaat 1,Brasschaat,2019-08-22,4.47222,51.27503,10,Higher risk
118,2024,11,0.999382526853727,1,2_5km,2.5 km,Gent teller 1,Gent,2022-10-04,3.7681359,51.028049,11,Higher risk
129,2024,11,0.9993795679564608,1,2_5km,2.5 km,Lokeren teller 2,Lokeren,2022-10-29,3.97025,51.09612,12,Higher risk
107,2024,11,0.9993677249640859,1,2_5km,2.5 km,leuven totem,Leuven,2022-08-23,4.7087919,50.8870744,13,Higher risk
77,2024,11,0.999365239831956,1,2_5km,2.5 km,Leuven teller 2,Leuven,2022-07-07,4.70796,50.88672,14,Higher risk
123,2024,11,0.9993233940172778,1,2_5km,2.5 km,Beveren teller 1,Beveren,2022-10-06,4.2362771,51.1964555,15,Higher risk
136,2024,11,0.9993174061027794,1,2_5km,2.5 km,Gent R4,Gent,2023-03-01,3.7587918,51.0876313,16,Higher risk
128,2024,11,0.9993157480401867,1,2_5km,2.5 km,Lokeren teller 1,Lokeren,2022-10-29,3.97023,51.09644,17,Higher risk
69,2024,11,0.9993136293355382,1,2_5km,2.5 km,Leuven teller 1,Leuven,2022-07-07,4.71526,50.87549,18,Higher risk
13,2024,11,0.9992505667050967,1,2_5km,2.5 km,Gent,Gent,2019-08-22,3.70146,51.03018,19,Higher risk
52,2024,11,0.9992330443223234,1,2_5km,2.5 km,Brugge,Brugge,2022-06-01,3.24095,51.22632,20,Higher risk
54,2024,11,0.9992207265826147,1,2_5km,2.5 km,Brugge teller 2,Brugge,2022-06-02,3.22818,51.23015,21,Higher risk
74,2024,11,0.9992075085100844,1,2_5km,2.5 km,Kortrijk teller 1,Kortrijk,2022-07-07,3.25728,50.81909,22,Higher risk
53,2024,11,0.9991666649199057,1,2_5km,2.5 km,Brugge teller 1,Brugge,2022-06-02,3.228,51.23023,23,Higher risk
75,2024,11,0.9991610720317667,1,2_5km,2.5 km,Kortrijk teller 2,Kortrijk,2022-07-07,3.25731,50.81925,24,Higher risk
47,2024,11,0.9990973771585043,1,2_5km,2.5 km,Vilvoorde,Vilvoorde,2022-05-19,4.41497,50.91372,25,Higher risk
99,2024,11,0.9990334101748503,1,2_5km,2.5 km,Mechelen teller 1,Mechelen,2022-07-28,4.46882,51.04564,26,Higher risk
111,2024,11,0.9989791764953971,1,2_5km,2.5 km,Zaventem totem,Zaventem,2022-09-02,4.4597084,50.8871216,27,Higher risk
19,2024,11,0.998977058901281,1,2_5km,2.5 km,Aalst 1,Aalst,2019-08-22,4.01471,50.93433,28,Higher risk
142,2023,10,0.9989665292079183,1,2_5km,2.5 km,TEST Validatie BRUGGE Y2H22022134,Brugge,2023-10-24,3.24095,51.22632,29,Higher risk
27,2024,11,0.9989274905168225,1,2_5km,2.5 km,Grimbergen,Meise,2021-08-14,4.34013,50.92127,30,Higher risk
7,2024,11,0.9988802125954326,1,2_5km,2.5 km,Evergem 1,Evergem,2019-08-22,3.70317,51.1089,31,Higher risk
12,2024,11,0.9988692265126828,1,2_5km,2.5 km,Tervuren,Kraainem,2019-08-22,4.47803,50.81896,32,Higher risk
26,2024,11,0.9988353625547665,1,2_5km,2.5 km,Zaventem,Zaventem,2021-08-06,4.45444,50.86995,33,Higher risk
11,2024,11,0.9988203396440739,1,2_5km,2.5 km,Aalst 3,Aalst,2019-08-22,4.01647,50.93385,34,Higher risk
6,2024,11,0.9987878222071723,1,2_5km,2.5 km,Evergem 2,Evergem,2019-08-22,3.70298,51.10894,35,Higher risk
1,2024,11,0.9987766976560076,1,2_5km,2.5 km,Machelen,Machelen,2019-08-22,4.456121776137429,50.91618331151478,36,Higher risk
10,2024,11,0.9987163811732225,1,2_5km,2.5 km,Aalst 2,Aalst,2019-08-22,4.01571,50.93549,37,Higher risk
14,2024,11,0.9985851071664792,1,2_5km,2.5 km,Genk,Genk,2019-08-22,5.48927,50.97172,38,Higher risk
137,2024,11,0.998363098857487,1,2_5km,2.5 km,Hasselt-Kempische brug,Hasselt,2023-04-19,5.3417576,50.9411605,39,Higher risk
50,2024,11,0.9982493734007897,1,2_5km,2.5 km,"Brugge, Sint-Andries",Brugge,2022-06-01,3.16252,51.19291,40,Higher risk
119,2024,11,0.9982254063371189,1,2_5km,2.5 km,Gent teller 2,Gent,2022-10-04,3.7683918,51.0281795,41,Higher risk
42,2024,11,0.998170043499737,1,2_5km,2.5 km,Maasmechelen teller 2,Maasmechelen,2022-04-22,5.6981,50.97043,42,Higher risk
140,2024,11,0.9981019034471019,1,2_5km,2.5 km,Hasselt ring,Hasselt,2023-05-04,5.3438616,50.9300038,43,Higher risk
87,2024,11,0.9980963080504484,1,2_5km,2.5 km,Aarschot,Aarschot,2022-07-16,4.81259,50.99084,44,Higher risk
110,2024,11,0.9980952078887977,1,2_5km,2.5 km,Herentals totem,Herentals,2022-08-31,4.811783,51.1739426,45,Higher risk
