site_id,year,month,predicted_probability,predicted_label,radius_key,radius_label,naam,gemeente,datum_van,long,lat,forecast_risk_rank,risk_label
16,2024,11,0.9462645005269059,1,500m,500 m,Kortrijk 1,Kortrijk,2019-08-22,3.27777,50.83332,1,Higher risk
17,2024,11,0.9145066150796881,1,500m,500 m,Kortrijk 2,Kortrijk,2019-08-22,3.27773,50.83339,2,Higher risk
140,2024,11,0.8980422965687404,1,500m,500 m,Hasselt ring,Hasselt,2023-05-04,5.3438616,50.9300038,3,Higher risk
125,2024,11,0.8909286776752693,1,500m,500 m,Dendermonde totem,Dendermonde,2022-10-22,4.1025998,51.0372706,4,Higher risk
143,2024,11,0.8821729313478653,1,500m,500 m,Eco Display Classic Budastraat,Kortrijk,2023-12-08,3.26286,50.83066,5,Higher risk
118,2024,11,0.8818621197070534,1,500m,500 m,Gent teller 1,Gent,2022-10-04,3.7681359,51.028049,6,Higher risk
119,2024,11,0.8765243444519588,1,500m,500 m,Gent teller 2,Gent,2022-10-04,3.7683918,51.0281795,7,Higher risk
122,2024,11,0.8676325305849136,1,500m,500 m,Dendermonde teller 2,Dendermonde,2022-10-05,4.1019222,51.0373918,8,Higher risk
15,2024,11,0.8591521554923546,1,500m,500 m,Oostende 2,Oostende,2019-08-22,2.92743,51.21371,9,Higher risk
18,2024,11,0.8400223423622916,1,500m,500 m,Oostende 1,Oostende,2019-08-22,2.92765,51.21378,10,Higher risk
6,2024,11,0.8377031722539003,1,500m,500 m,Evergem 2,Evergem,2019-08-22,3.70298,51.10894,11,Higher risk
101,2024,11,0.828531489172089,1,500m,500 m,Diest teller 1,Diest,2022-08-02,5.04481,50.97799,12,Higher risk
137,2024,11,0.8277360950259994,1,500m,500 m,Hasselt-Kempische brug,Hasselt,2023-04-19,5.3417576,50.9411605,13,Higher risk
138,2024,11,0.8054511273876906,1,500m,500 m,Hasselt-Kempische brug,Hasselt,2023-04-20,5.3422472,50.9405318,14,Higher risk
102,2024,11,0.8039202532216952,1,500m,500 m,Diest teller 2,Diest,2022-08-02,5.04474,50.9779,15,Higher risk
7,2024,11,0.7976361789251024,1,500m,500 m,Evergem 1,Evergem,2019-08-22,3.70317,51.1089,16,Higher risk
24,2024,11,0.7484009950301178,1,500m,500 m,Tienen 1,Tienen,2019-08-31,4.935044252605416,50.8133795491886,17,Higher risk
23,2024,11,0.7227419657884684,1,500m,500 m,Tienen 3,Tienen,2019-08-31,4.93447,50.81324,18,Higher risk
22,2024,11,0.7220932318603677,1,500m,500 m,Tienen 2,Tienen,2019-08-31,4.935984252796022,50.81330800184882,19,Higher risk
89,2024,11,0.7215440144991081,1,500m,500 m,Westerlo teller 2,Westerlo,2022-07-16,4.91334,51.08191,20,Higher risk
110,2024,11,0.6836176307518185,1,500m,500 m,Herentals totem,Herentals,2022-08-31,4.811783,51.1739426,21,Higher risk
65,2024,11,0.6728207147882748,1,500m,500 m,Nieuwpoort teller 2,Nieuwpoort,2022-06-24,2.75511,51.13435,22,Higher risk
111,2024,11,0.6703496155071961,1,500m,500 m,Zaventem totem,Zaventem,2022-09-02,4.4597084,50.8871216,23,Higher risk
19,2024,11,0.6644081147381935,1,500m,500 m,Aalst 1,Aalst,2019-08-22,4.01471,50.93433,24,Higher risk
11,2024,11,0.6333705755361919,1,500m,500 m,Aalst 3,Aalst,2019-08-22,4.01647,50.93385,25,Higher risk
63,2024,11,0.6321569542592823,1,500m,500 m,Nieuwpoort teller 3,Nieuwpoort,2022-06-24,2.74289,51.13529,26,Higher risk
116,2024,11,0.5891234144064996,1,500m,500 m,Melle teller 2,Melle,2022-10-01,3.8040599,50.9986113,27,Higher risk
88,2024,11,0.5797668893298114,1,500m,500 m,Westerlo teller 1,Westerlo,2022-07-16,4.91325,51.082,28,Higher risk
44,2024,11,0.5396738439223655,1,500m,500 m,Maaseik teller 2,Maaseik,2022-04-28,5.79726,51.09359,29,Higher risk
115,2024,11,0.5365326309013158,1,500m,500 m,Aalter,Aalter,2022-10-01,3.4350591,51.1058367,30,Higher risk
43,2024,11,0.530402615253693,1,500m,500 m,Maaseik teller 1,Maaseik,2022-04-28,5.79715,51.09344,31,Higher risk
10,2024,11,0.5231819692271722,1,500m,500 m,Aalst 2,Aalst,2019-08-22,4.01571,50.93549,32,Higher risk
87,2024,11,0.5191542723476842,1,500m,500 m,Aarschot,Aarschot,2022-07-16,4.81259,50.99084,33,Higher risk
94,2024,11,0.5172325621841232,1,500m,500 m,Herentals teller 2,Herentals,2022-07-24,4.81283,51.17345,34,Higher risk
66,2024,11,0.5121244714270018,1,500m,500 m,Nieuwpoort totem,Nieuwpoort,2022-06-30,2.74369,51.1347,35,Higher risk
142,2023,10,0.4916624266049983,1,500m,500 m,TEST Validatie BRUGGE Y2H22022134,Brugge,2023-10-24,3.24095,51.22632,36,Higher risk
117,2024,11,0.4874570885384279,1,500m,500 m,Melle teller 1,Melle,2022-10-01,3.8040599,50.9986113,37,Higher risk
64,2024,11,0.484752181959815,1,500m,500 m,Nieuwpoort teller 1,Nieuwpoort,2022-06-24,2.75737,51.13359,38,Higher risk
129,2024,11,0.4688335724936473,1,500m,500 m,Lokeren teller 2,Lokeren,2022-10-29,3.97025,51.09612,39,Higher risk
14,2024,11,0.4613493823588704,1,500m,500 m,Genk,Genk,2019-08-22,5.48927,50.97172,40,Higher risk
128,2024,11,0.4369810485407621,1,500m,500 m,Lokeren teller 1,Lokeren,2022-10-29,3.97023,51.09644,41,Higher risk
77,2024,11,0.4190314283038138,1,500m,500 m,Leuven teller 2,Leuven,2022-07-07,4.70796,50.88672,42,Higher risk
69,2024,11,0.3945675315253404,1,500m,500 m,Leuven teller 1,Leuven,2022-07-07,4.71526,50.87549,43,Higher risk
121,2024,11,0.3820676787302274,1,500m,500 m,Zele teller 2,Zele,2022-10-05,4.0556696,51.0604067,44,Higher risk
136,2024,11,0.38031241482498157,1,500m,500 m,Gent R4,Gent,2023-03-01,3.7587918,51.0876313,45,Higher risk
126,2024,11,0.3771952224937617,1,500m,500 m,Hamme totem,Hamme,2022-10-25,4.1469307,51.1017709,46,Higher risk
120,2024,11,0.3750889080468237,1,500m,500 m,Zele teller 1,Zele,2022-10-05,4.0547741,51.0607671,47,Higher risk
107,2024,11,0.3594351304241767,1,500m,500 m,leuven totem,Leuven,2022-08-23,4.7087919,50.8870744,48,Higher risk
26,2024,11,0.35773230067971534,1,500m,500 m,Zaventem,Zaventem,2021-08-06,4.45444,50.86995,49,Higher risk
127,2024,11,0.3507464809109366,1,500m,500 m,Geel totem,Westerlo,2022-10-26,4.9400421,51.1342966,50,Higher risk
28,2024,11,0.3500861487722394,1,500m,500 m,Heers,Heers,2022-04-14,5.30314,50.75488,51,Higher risk
