site_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,radius_key,radius_label,site_nr,long,lat,naam,gemeente,datum_van,historical_risk_rank
99,29,348.0,12.0,106055.0,3657.0689655172414,1.0,32.813162981471876,30.43160927566256,2_5km,2.5 km,300026136,4.46882,51.04564,Mechelen teller 1,Mechelen,2022-07-28,1
14,62,676.0,10.903225806451612,298466.0,4813.967741935484,1.0,22.64914596637473,22.077117982237286,2_5km,2.5 km,100052874,5.48927,50.97172,Genk,Genk,2019-08-22,2
74,29,542.0,18.689655172413794,239470.0,8257.586206896553,1.0,22.633315237816845,21.92652274573367,2_5km,2.5 km,300025577,3.25728,50.81909,Kortrijk teller 1,Kortrijk,2022-07-07,3
144,1,15.0,15.0,0.0,0.0,1.0,,19.960963813547828,2_5km,2.5 km,300038692,4.7153726,50.875576,test leuven,Leuven,2024-01-12,4
123,4,22.0,5.5,4287.0,1071.75,1.0,51.31793795194775,18.855226470651562,2_5km,2.5 km,300027960,4.2362771,51.1964555,Beveren teller 1,Beveren,2022-10-06,5
75,29,543.0,18.724137931034484,291672.0,10057.655172413793,1.0,18.616802435612605,18.162917790745706,2_5km,2.5 km,300025580,3.25731,50.81925,Kortrijk teller 2,Kortrijk,2022-07-07,6
41,31,254.0,8.193548387096774,137032.0,4420.387096774193,1.0,18.535816451631735,17.60930324834362,2_5km,2.5 km,300023581,5.69799,50.97025,Maasmechelen teller 1,Maasmechelen,2022-04-22,7
42,31,252.0,8.129032258064516,136711.0,4410.032258064516,1.0,18.43304489031607,17.511373697588322,2_5km,2.5 km,300023582,5.6981,50.97043,Maasmechelen teller 2,Maasmechelen,2022-04-22,8
119,26,415.0,15.961538461538462,235662.0,9063.923076923076,1.0,17.609966816881805,17.092696248039573,2_5km,2.5 km,300027900,3.7683918,51.0281795,Gent teller 2,Gent,2022-10-04,9
114,27,88.0,3.259259259259259,48309.0,1789.2222222222222,0.9629629629629629,18.21606739944938,15.928743096598794,2_5km,2.5 km,300027499,3.555502,50.9598305,Deinze teller 1,Nazareth,2022-09-21,10
80,24,106.0,4.416666666666667,66573.0,2773.875,1.0,15.922370931158277,14.47629723907347,2_5km,2.5 km,300025810,4.29571,50.91418,Wemmel teller 1,Wemmel,2022-07-13,11
81,29,114.0,3.9310344827586206,78720.0,2714.4827586206898,1.0,14.481707317073171,13.39352077860536,2_5km,2.5 km,300025811,4.29568,50.91439,Wemmel teller 2,Wemmel,2022-07-13,12
10,62,718.0,11.580645161290322,529926.0,8547.193548387097,1.0,13.549061567086726,13.38752336987882,2_5km,2.5 km,100052870,4.01571,50.93549,Aalst 2,Aalst,2019-08-22,13
86,29,95.0,3.2758620689655173,67022.0,2311.103448275862,1.0,14.174450180537734,12.959737328891103,2_5km,2.5 km,300025856,4.1709,50.89132,Asse teller 2,Asse,2022-07-14,14
105,28,50.0,1.7857142857142858,33608.0,1200.2857142857142,0.7857142857142857,14.877410140442752,12.568917554618098,2_5km,2.5 km,300026348,4.24943,50.75509,St. pieters leeuw teller 2,Halle,2022-08-04,15
120,26,118.0,4.538461538461538,92240.0,3547.6923076923076,1.0,12.792714657415438,12.010874363579909,2_5km,2.5 km,300027919,4.0547741,51.0607671,Zele teller 1,Zele,2022-10-05,16
129,26,269.0,10.346153846153847,219261.0,8433.115384615385,1.0,12.268483679268087,11.942623935035618,2_5km,2.5 km,300028478,3.97025,51.09612,Lokeren teller 2,Lokeren,2022-10-29,17
94,29,185.0,6.379310344827586,151526.0,5225.0344827586205,1.0,12.209125826590816,11.750050873247199,2_5km,2.5 km,300026090,4.81283,51.17345,Herentals teller 2,Herentals,2022-07-24,18
128,26,265.0,10.192307692307692,223375.0,8591.346153846154,1.0,11.863458310016789,11.560364718670254,2_5km,2.5 km,300028477,3.97023,51.09644,Lokeren teller 1,Lokeren,2022-10-29,19
85,29,97.0,3.3448275862068964,79654.0,2746.689655172414,1.0,12.177668415898761,11.353179490326172,2_5km,2.5 km,300025855,4.17294,50.89621,Asse teller 1,Asse,2022-07-14,20
53,29,389.0,13.413793103448276,337297.0,11630.931034482759,1.0,11.532862729286059,11.338580474711918,2_5km,2.5 km,300024499,3.228,51.23023,Brugge teller 1,Brugge,2022-06-02,21
27,39,411.0,10.538461538461538,357134.0,9157.28205128205,1.0,11.508285405478055,11.325162617987388,2_5km,2.5 km,300019372,4.34013,50.92127,Grimbergen,Meise,2021-08-14,22
106,28,50.0,1.7857142857142858,41229.0,1472.4642857142858,0.7857142857142857,12.127386063207936,10.691665578963876,2_5km,2.5 km,300026349,4.24951,50.75533,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,2022-08-04,23
11,62,741.0,11.951612903225806,708050.0,11420.161290322581,1.0,10.46536261563449,10.385991409026055,2_5km,2.5 km,100052871,4.01647,50.93385,Aalst 3,Aalst,2019-08-22,24
54,29,388.0,13.379310344827585,368707.0,12714.034482758621,1.0,10.523261017555946,10.37123192255665,2_5km,2.5 km,300024500,3.22818,51.23015,Brugge teller 2,Brugge,2022-06-02,25
13,62,1290.0,20.806451612903224,1368476.0,22072.1935483871,1.0,9.426544564902855,9.39258933338612,2_5km,2.5 km,100052873,3.70146,51.03018,Gent,Gent,2019-08-22,26
17,62,1153.0,18.596774193548388,1255273.0,20246.33870967742,1.0,9.18525292904412,9.150127785073801,2_5km,2.5 km,100052880,3.27773,50.83339,Kortrijk 2,Kortrijk,2019-08-22,27
111,27,312.0,11.555555555555555,341529.0,12649.222222222223,1.0,9.135388210078792,9.01029837572115,2_5km,2.5 km,300027064,4.4597084,50.8871216,Zaventem totem,Zaventem,2022-09-02,28
16,62,1151.0,18.56451612903226,1288076.0,20775.41935483871,1.0,8.935808135544796,8.903453599640505,2_5km,2.5 km,100052879,3.27777,50.83332,Kortrijk 1,Kortrijk,2019-08-22,29
1,62,602.0,9.709677419354838,721774.0,11641.516129032258,1.0,8.340560895792866,8.291131998897471,2_5km,2.5 km,100046096,4.456121776137429,50.91618331151478,Machelen,Machelen,2019-08-22,30
77,29,658.0,22.689655172413794,797162.0,27488.344827586207,1.0,8.254282065627814,8.210518362467738,2_5km,2.5 km,300025593,4.70796,50.88672,Leuven teller 2,Leuven,2022-07-07,31
136,22,181.0,8.227272727272727,228956.0,10407.09090909091,1.0,7.90544908191967,7.77184566444088,2_5km,2.5 km,300030728,3.7587918,51.0876313,Gent R4,Gent,2023-03-01,32
26,39,471.0,12.076923076923077,618625.0,15862.179487179486,1.0,7.613659325116185,7.567448889001126,2_5km,2.5 km,300019223,4.45444,50.86995,Zaventem,Zaventem,2021-08-06,33
15,62,839.0,13.53225806451613,1112283.0,17940.048387096773,1.0,7.54304435112287,7.51778067596763,2_5km,2.5 km,100052878,2.92743,51.21371,Oostende 2,Oostende,2019-08-22,34
32,31,56.0,1.8064516129032258,71335.0,2301.1290322580644,0.8387096774193549,7.850283871872152,7.463778951448219,2_5km,2.5 km,300023452,5.20961,50.97971,Lummen,Lummen,2022-04-14,35
33,31,55.0,1.7741935483870968,70059.0,2259.967741935484,0.8387096774193549,7.850525985241011,7.457815454156837,2_5km,2.5 km,300023453,5.20936,50.97978,Lummen,Lummen,2022-04-14,36
19,62,709.0,11.435483870967742,981020.0,15822.90322580645,1.0,7.227171719231005,7.201684249302895,2_5km,2.5 km,100052883,4.01471,50.93433,Aalst 1,Aalst,2019-08-22,37
47,30,441.0,14.7,621803.0,20726.766666666666,1.0,7.092278422587218,7.054387443307699,2_5km,2.5 km,300024198,4.41497,50.91372,Vilvoorde,Vilvoorde,2022-05-19,38
7,62,366.0,5.903225806451613,526932.0,8498.90322580645,1.0,6.945867778005511,6.903951591911778,2_5km,2.5 km,100052867,3.70317,51.1089,Evergem 1,Evergem,2019-08-22,39
