site_id,site_nr,long,lat,naam,gemeente,datum_van
1,100046096,4.456121776137429,50.91618331151478,Machelen,Machelen,2019-08-22
2,100052862,4.47169,51.27512,Brasschaat 2,Brasschaat,2019-08-22
3,100052863,4.47222,51.27503,Brasschaat 1,Brasschaat,2019-08-22
4,100052864,5.19011,51.16023,Balen 1,Balen,2019-08-22
5,100052865,5.19003,51.16018,Balen 2,Balen,2019-08-22
6,100052866,3.70298,51.10894,Evergem 2,Evergem,2019-08-22
7,100052867,3.70317,51.1089,Evergem 1,Evergem,2019-08-22
8,100052868,4.68823,51.06759,Heist op den Berg 1,Heist-op-den-Berg,2019-08-22
9,100052869,4.69524,51.06904,Heist op den Berg 2,Heist-op-den-Berg,2019-08-22
10,100052870,4.01571,50.93549,Aalst 2,Aalst,2019-08-22
11,100052871,4.01647,50.93385,Aalst 3,Aalst,2019-08-22
12,100052872,4.47803,50.81896,Tervuren,Kraainem,2019-08-22
13,100052873,3.70146,51.03018,Gent,Gent,2019-08-22
14,100052874,5.48927,50.97172,Genk,Genk,2019-08-22
15,100052878,2.92743,51.21371,Oostende 2,Oostende,2019-08-22
16,100052879,3.27777,50.83332,Kortrijk 1,Kortrijk,2019-08-22
17,100052880,3.27773,50.83339,Kortrijk 2,Kortrijk,2019-08-22
18,100052881,2.92765,51.21378,Oostende 1,Oostende,2019-08-22
19,100052883,4.01471,50.93433,Aalst 1,Aalst,2019-08-22
20,100052884,3.20048,51.17416,Brugge,Brugge,2019-08-22
21,100052875,5.50161,50.86015,Bilzen,Bilzen,2019-08-31
22,100052876,4.935984252796022,50.81330800184882,Tienen 2,Tienen,2019-08-31
23,100052877,4.93447,50.81324,Tienen 3,Tienen,2019-08-31
24,100052882,4.935044252605416,50.8133795491886,Tienen 1,Tienen,2019-08-31
25,100056189,5.597669323604317,51.13679500160176,Bree,Bree,2020-05-09
26,300019223,4.45444,50.86995,Zaventem,Zaventem,2021-08-06
27,300019372,4.34013,50.92127,Grimbergen,Meise,2021-08-14
28,300023447,5.30314,50.75488,Heers,Heers,2022-04-14
29,300023449,5.52825,50.79286,Tongeren,Tongeren,2022-04-14
30,300023450,5.17691,50.94374,Herk De Stad,Herk-de-Stad,2022-04-14
31,300023451,5.1775,50.94366,Herk De Stad,Herk-de-Stad,2022-04-14
32,300023452,5.20961,50.97971,Lummen,Lummen,2022-04-14
33,300023453,5.20936,50.97978,Lummen,Lummen,2022-04-14
34,300023486,5.3033,50.75486,Heers teller 1,Heers,2022-04-15
35,300023487,5.6314,50.88112,Lanaken teller 1,Lanaken,2022-04-15
36,300023488,5.63012,50.88131,Lanaken teller 2,Lanaken,2022-04-15
37,300023527,5.29211,51.23299,Lommel teller 1,Lommel,2022-04-20
38,300023528,5.29189,51.23277,Lommel teller 2,Lommel,2022-04-20
39,300023529,5.47817,51.13425,Peer teller 1,Peer,2022-04-20
40,300023530,5.47892,51.13438,Peer teller 2,Peer,2022-04-20
41,300023581,5.69799,50.97025,Maasmechelen teller 1,Maasmechelen,2022-04-22
42,300023582,5.6981,50.97043,Maasmechelen teller 2,Maasmechelen,2022-04-22
43,300023680,5.79715,51.09344,Maaseik teller 1,Maaseik,2022-04-28
44,300023682,5.79726,51.09359,Maaseik teller 2,Maaseik,2022-04-28
45,300023741,5.44377,51.23127,Pelt teller 1,Pelt,2022-04-30
46,300023743,5.44375,51.231,Pelt teller 2,Pelt,2022-04-30
47,300024198,4.41497,50.91372,Vilvoorde,Vilvoorde,2022-05-19
48,300024443,5.60389,51.00509,As,As,2022-06-01
49,300024444,5.41001,50.95264,Bokrijk,Genk,2022-06-01
50,300024454,3.16252,51.19291,"Brugge, Sint-Andries",Brugge,2022-06-01
51,300024455,3.16252,51.19281,"Brugge, Sint-Andries",Brugge,2022-06-01
52,300024459,3.24095,51.22632,Brugge,Brugge,2022-06-01
53,300024499,3.228,51.23023,Brugge teller 1,Brugge,2022-06-02
54,300024500,3.22818,51.23015,Brugge teller 2,Brugge,2022-06-02
55,300024504,3.08261,51.07161,Torhout teller 1,Torhout,2022-06-02
56,300024505,3.08244,51.07147,Torhout teller 2,Torhout,2022-06-02
57,300024549,3.24491,50.96056,Meulebeke teller 1,Meulebeke,2022-06-03
58,300024550,3.24471,50.96021,Meulebeke teller 2,Meulebeke,2022-06-03
59,300024551,3.18479,50.96784,Ardooie teller 1,Ardooie,2022-06-03
60,300024552,3.18411,50.96783,Ardooie teller 2,Ardooie,2022-06-03
61,300024592,3.0921,50.80555,Wervik teller 2,Wervik,2022-06-05
62,300024594,3.09154,50.8058,Wervik teller 1,Wervik,2022-06-05
63,300025204,2.74289,51.13529,Nieuwpoort teller 3,Nieuwpoort,2022-06-24
64,300025205,2.75737,51.13359,Nieuwpoort teller 1,Nieuwpoort,2022-06-24
65,300025206,2.75511,51.13435,Nieuwpoort teller 2,Nieuwpoort,2022-06-24
66,300025380,2.74369,51.1347,Nieuwpoort totem,Nieuwpoort,2022-06-30
67,300025382,2.85624,50.85018,Ieper totem,Ieper,2022-06-30
68,300025383,2.85608,50.85032,Ieper,Ieper,2022-06-30
69,300025572,4.71526,50.87549,Leuven teller 1,Leuven,2022-07-07
70,300025573,4.59318,50.95682,Kampenhout teller 1,Kampenhout,2022-07-07
71,300025574,4.59164,50.95589,Kampenhout teller 2,Kampenhout,2022-07-07
72,300025575,4.64689,50.89135,Herent teller 1,Herent,2022-07-07
73,300025576,4.64685,50.89128,Herent teller 2,Herent,2022-07-07
74,300025577,3.25728,50.81909,Kortrijk teller 1,Kortrijk,2022-07-07
75,300025580,3.25731,50.81925,Kortrijk teller 2,Kortrijk,2022-07-07
76,300025592,4.69597,50.84606,Heverlee teller 2,Leuven,2022-07-07
77,300025593,4.70796,50.88672,Leuven teller 2,Leuven,2022-07-07
78,300025808,4.1652,50.75824,Pepingen teller 1,Pepingen,2022-07-13
79,300025809,4.16537,50.75848,Pepingen teller 2,Pepingen,2022-07-13
80,300025810,4.29571,50.91418,Wemmel teller 1,Wemmel,2022-07-13
81,300025811,4.29568,50.91439,Wemmel teller 2,Wemmel,2022-07-13
82,300025812,4.33336,50.75128,Beersel teller 1,Beersel,2022-07-13
83,300025813,4.33304,50.75175,Beersel teller 2,Beersel,2022-07-13
84,300025814,3.18772,50.91717,Roeselare totem,Izegem,2022-07-13
85,300025855,4.17294,50.89621,Asse teller 1,Asse,2022-07-14
86,300025856,4.1709,50.89132,Asse teller 2,Asse,2022-07-14
87,300025932,4.81259,50.99084,Aarschot,Aarschot,2022-07-16
88,300025933,4.91325,51.082,Westerlo teller 1,Westerlo,2022-07-16
89,300025934,4.91334,51.08191,Westerlo teller 2,Westerlo,2022-07-16
90,300026025,4.6243,51.35752,Brecht teller 1,Brecht,2022-07-21
91,300026026,4.62422,51.35739,Brecht teller 2,Brecht,2022-07-21
92,300026086,4.64479,51.14989,Nijlen teller 1,Nijlen,2022-07-24
93,300026087,4.64469,51.14998,Nijlen teller 2,Nijlen,2022-07-24
94,300026090,4.81283,51.17345,Herentals teller 2,Herentals,2022-07-24
95,300026104,4.58437,51.11687,Lier teller 1,Lier,2022-07-26
96,300026105,4.58444,51.11705,Lier teller 2,Lier,2022-07-26
97,300026110,4.99698,51.14813,Geel teller 1,Geel,2022-07-26
98,300026111,4.99643,51.1481,Geel teller 2,Geel,2022-07-26
99,300026136,4.46882,51.04564,Mechelen teller 1,Mechelen,2022-07-28
