iter	Passed	Remaining
0	31	24668
1	75	29687
2	117	30678
3	154	30265
4	185	28947
5	211	27512
6	237	26391
7	267	25999
8	297	25707
9	323	25139
10	352	24829
11	377	24366
12	404	24062
13	437	24122
14	467	24030
15	496	23885
16	525	23774
17	552	23586
18	577	23325
19	602	23086
20	628	22906
21	655	22758
22	680	22583
23	704	22365
24	733	22318
25	764	22354
26	790	22220
27	822	22257
28	854	22297
29	879	22165
30	906	22072
31	934	22017
32	964	21997
33	994	21989
34	1023	21951
35	1061	22113
36	1096	22204
37	1125	22159
38	1155	22133
39	1188	22168
40	1217	22127
41	1250	22145
42	1279	22115
43	1307	22041
44	1339	22051
45	1368	22022
46	1397	21968
47	1429	21973
48	1457	21922
49	1493	21984
50	1523	21949
51	1553	21930
52	1590	21994
53	1624	22017
54	1655	21997
55	1691	22050
56	1719	21994
57	1750	21969
58	1777	21899
59	1807	21870
60	1833	21796
61	1862	21746
62	1890	21691
63	1922	21684
64	1956	21702
65	1990	21711
66	2019	21672
67	2049	21638
68	2077	21584
69	2107	21552
70	2135	21507
71	2164	21465
72	2192	21416
73	2220	21362
74	2250	21331
75	2280	21308
76	2308	21256
77	2340	21240
78	2367	21188
79	2392	21110
80	2420	21070
81	2449	21031
82	2477	20979
83	2505	20938
84	2533	20895
85	2560	20841
86	2587	20791
87	2616	20753
88	2644	20712
89	2673	20671
90	2697	20604
91	2725	20558
92	2754	20523
93	2780	20469
94	2807	20421
95	2835	20378
96	2861	20323
97	2888	20278
98	2913	20215
99	2936	20143
100	2960	20081
101	2988	20039
102	3013	19983
103	3039	19929
104	3063	19871
105	3089	19822
106	3115	19770
107	3140	19717
108	3165	19658
109	3189	19601
110	3215	19556
111	3242	19510
112	3270	19479
113	3299	19451
114	3329	19424
115	3357	19394
116	3383	19347
117	3410	19305
118	3439	19276
119	3469	19254
120	3494	19205
121	3521	19168
122	3547	19120
123	3572	19072
124	3597	19023
125	3623	18979
126	3649	18937
127	3675	18895
128	3699	18839
129	3729	18817
130	3758	18794
131	3794	18799
132	3824	18776
133	3849	18730
134	3873	18679
135	3899	18637
136	3926	18601
137	3954	18568
138	3980	18528
139	4009	18498
140	4038	18471
141	4070	18459
142	4101	18444
143	4131	18421
144	4161	18398
145	4192	18379
146	4224	18363
147	4258	18356
148	4282	18309
149	4308	18268
150	4337	18238
151	4361	18190
152	4385	18144
153	4411	18104
154	4437	18063
155	4460	18015
156	4484	17967
157	4509	17922
158	4534	17881
159	4559	17837
160	4585	17801
161	4613	17770
162	4638	17730
163	4663	17686
164	4692	17660
165	4725	17650
166	4756	17629
167	4787	17609
168	4816	17585
169	4845	17556
170	4872	17524
171	4897	17484
172	4922	17443
173	4949	17410
174	4981	17390
175	5008	17360
176	5043	17354
177	5072	17325
178	5101	17299
179	5129	17267
180	5155	17231
181	5180	17193
182	5206	17154
183	5236	17132
184	5266	17110
185	5296	17086
186	5330	17075
187	5363	17061
188	5396	17046
189	5428	17029
190	5458	17004
191	5487	16975
192	5517	16952
193	5544	16920
194	5575	16897
195	5608	16881
196	5639	16860
197	5668	16835
198	5699	16810
199	5733	16799
200	5767	16786
201	5798	16763
202	5829	16743
203	5861	16721
204	5891	16696
205	5925	16682
206	5957	16663
207	5987	16636
208	6017	16611
209	6047	16587
210	6077	16561
211	6107	16536
212	6139	16515
213	6174	16502
214	6205	16479
215	6235	16454
216	6268	16436
217	6302	16420
218	6332	16395
219	6358	16358
220	6383	16320
221	6410	16286
222	6438	16254
223	6464	16219
224	6490	16181
225	6515	16145
226	6544	16115
227	6574	16089
228	6606	16068
229	6636	16043
230	6665	16013
231	6693	15982
232	6725	15961
233	6754	15933
234	6782	15902
235	6809	15870
236	6840	15844
237	6870	15819
238	6906	15806
239	6938	15784
240	6963	15748
241	6990	15713
242	7017	15681
243	7045	15650
244	7074	15621
245	7105	15596
246	7131	15563
247	7156	15524
248	7182	15489
249	7211	15462
250	7239	15431
251	7266	15398
252	7291	15361
253	7319	15330
254	7348	15302
255	7373	15265
256	7397	15226
257	7423	15192
258	7453	15165
259	7482	15137
260	7508	15103
261	7532	15064
262	7557	15028
263	7583	14994
264	7610	14962
265	7635	14927
266	7659	14889
267	7685	14854
268	7714	14826
269	7739	14791
270	7765	14757
271	7793	14726
272	7829	14712
273	7858	14683
274	7883	14649
275	7909	14615
276	7946	14602
277	7981	14584
278	8017	14569
279	8051	14549
280	8087	14534
281	8131	14532
282	8166	14515
283	8199	14494
284	8235	14477
285	8272	14462
286	8332	14487
287	8384	14497
288	8426	14490
289	8467	14482
290	8504	14466
291	8548	14462
292	8597	14466
293	8638	14456
294	8693	14469
295	8732	14456
296	8783	14461
297	8825	14452
298	8866	14441
299	8900	14418
300	8936	14400
301	8968	14373
302	9004	14353
303	9036	14328
304	9067	14300
305	9096	14269
306	9127	14241
307	9156	14210
308	9186	14180
309	9218	14154
