crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,TX_ROAD_USR_TYPE1_NL,TX_ROAD_USR_TYPE2_NL
2,14,Genk,Genk,50.97172,5.48927,0.6673953452830623,50.96624939783328,5.493190955885227,2017,1,1,71016,Genk,Onbekend,Onbekend,Onbekend,met lichtgewonden,personenauto,personenauto
22,91,Brecht teller 2,Brecht,51.35739,4.62422,0.6801009290829498,51.35172078005374,4.627895634874022,2017,1,8,11009,Brecht,Normaal,Droog,Dag,met lichtgewonden,personenauto,personenauto
22,90,Brecht teller 1,Brecht,51.35752,4.6243,0.6914954856469397,51.35172078005374,4.627895634874022,2017,1,8,11009,Brecht,Normaal,Droog,Dag,met lichtgewonden,personenauto,personenauto
36,3,Brasschaat 1,Brasschaat,51.27503,4.47222,2.395903893285639,51.27804975585441,4.506324085977674,2017,1,5,11040,Schoten,Sneeuwval,"Ijzel, sneeuw","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,onbekend,onbekend
36,2,Brasschaat 2,Brasschaat,51.27512,4.47169,2.4310483563751664,51.27804975585441,4.506324085977674,2017,1,5,11040,Schoten,Sneeuwval,"Ijzel, sneeuw","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,onbekend,onbekend
44,127,Geel totem,Westerlo,51.1342966,4.9400421,0.5622287684264334,51.132224815461846,4.932691950466775,2017,1,13,13008,Geel,Normaal,Droog,Dag,met lichtgewonden,personenauto,"één bestuurder, geen hindernis"
44,112,Geel teller 2,Westerlo,51.1354992,4.9394789,0.5973479781144552,51.132224815461846,4.932691950466775,2017,1,13,13008,Geel,Normaal,Droog,Dag,met lichtgewonden,personenauto,"één bestuurder, geen hindernis"
45,109,Zemst,Zemst,50.9903936,4.4707023,1.3815970204121746,51.00104255948763,4.460531018196453,2017,1,7,12025,Mechelen,Normaal,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
57,33,Lummen,Lummen,50.97978,5.20936,2.0143730764896435,50.99753609480984,5.203654326766661,2017,1,0,71037,Lummen,Regenval,"Nat, plassen","Nacht, geen openbare verlichting aanwezig",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
57,32,Lummen,Lummen,50.97971,5.20961,2.025531644215623,50.99753609480984,5.203654326766661,2017,1,0,71037,Lummen,Regenval,"Nat, plassen","Nacht, geen openbare verlichting aanwezig",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
59,140,Hasselt ring,Hasselt,50.9300038,5.3438616,2.1188622382004136,50.9158741819449,5.323579366294387,2017,1,15,71022,Hasselt,Normaal,Droog,Dag,met zwaargewonden,Vrachtwagen,een weggebruiker tegen een hindernis
68,11,Aalst 3,Aalst,50.93385,4.01647,1.175593187221048,50.92403119888191,4.022689343297455,2017,1,22,41002,Aalst,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
68,19,Aalst 1,Aalst,50.93433,4.01471,1.2744238806094463,50.92403119888191,4.022689343297455,2017,1,22,41002,Aalst,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
68,10,Aalst 2,Aalst,50.93549,4.01571,1.3648213484190066,50.92403119888191,4.022689343297455,2017,1,22,41002,Aalst,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
