site_id,site_name,site_gemeente,crash_count_2_5km,nearest_crash_distance_km,average_crash_distance_km
13,Gent,Gent,2112,0.02192997927259352,1.69642321278955
77,Leuven teller 2,Leuven,2107,0.02784825948287718,1.437813194756855
107,leuven totem,Leuven,2092,0.015263472992629538,1.4512887431081565
144,test leuven,Leuven,2049,0.02838110259643007,1.321597497078346
69,Leuven teller 1,Leuven,2049,0.018620169846780547,1.3203568719792171
17,Kortrijk 2,Kortrijk,1803,0.02311100964587884,1.4656815589978984
16,Kortrijk 1,Kortrijk,1799,0.02934198139172384,1.462241688313211
151,Leuven,District Leuven,1711,0.12262838530089128,1.5709636524132211
143,Eco Display Classic Budastraat,Kortrijk,1670,0.004671751431893508,1.2905331903039208
74,Kortrijk teller 1,Kortrijk,1666,0.04430739062769007,1.5430594101415442
75,Kortrijk teller 2,Kortrijk,1664,0.029325817037671672,1.5353615910652907
140,Hasselt ring,Hasselt,1404,0.020636890745595816,1.3238573467964527
118,Gent teller 1,Gent,1394,0.015731749728242324,1.6640871624931228
119,Gent teller 2,Gent,1380,0.008438540033756414,1.662443222128641
15,Oostende 2,Oostende,1326,0.015484989460337049,1.532384273326261
18,Oostende 1,Oostende,1324,0.012594937334786543,1.5335814374454428
47,Vilvoorde,Vilvoorde,1254,0.02772566646271389,1.6639953813093635
52,Brugge,Brugge,1236,0.036539506229796,1.7384142264466116
142,TEST Validatie BRUGGE Y2H22022134,Brugge,1236,0.036539506229796,1.7384142264466116
138,Hasselt-Kempische brug,Hasselt,1232,0.010017345397112389,1.389827593209705
137,Hasselt-Kempische brug,Hasselt,1222,0.04404648825662453,1.4086910442693512
11,Aalst 3,Aalst,1220,0.061230249537184575,1.5976919140710324
10,Aalst 2,Aalst,1198,0.03329113394148211,1.5850766865877874
54,Brugge teller 2,Brugge,1191,0.04627764296356805,1.722475917666346
53,Brugge teller 1,Brugge,1189,0.05258806797244564,1.725288289304478
19,Aalst 1,Aalst,1186,0.11372372810743232,1.632115579391369
26,Zaventem,Zaventem,1077,0.14748545133449426,1.6066573712478416
111,Zaventem totem,Zaventem,1041,0.07151570601182293,1.5937525576986546
99,Mechelen teller 1,Mechelen,1039,0.06453752992708554,1.6080807332938252
100,Mechelen teller 2,Mechelen,1039,0.07049801373428972,1.6113998060363581
14,Genk,Genk,979,0.17412350490579703,1.3951854657643332
2,Brasschaat 2,Brasschaat,954,0.022892873519200777,1.620729518173605
3,Brasschaat 1,Brasschaat,948,0.017306248334460598,1.620442541139178
1,Machelen,Machelen,907,0.14560835650232462,1.8195752585139713
27,Grimbergen,Meise,901,0.03308124585420662,1.7220497977723284
136,Gent R4,Gent,817,0.0573705503270374,1.8587867641211202
129,Lokeren teller 2,Lokeren,815,0.022055686208685074,1.6418941786779742
128,Lokeren teller 1,Lokeren,805,0.014073802812435829,1.6172301978751356
141,Test site A support,Lokeren,801,0.2912124967180961,1.7870751017445048
125,Dendermonde totem,Dendermonde,789,0.016533188250177907,1.266981670676812
122,Dendermonde teller 2,Dendermonde,787,0.04093565656097322,1.2733412839802414
41,Maasmechelen teller 1,Maasmechelen,700,0.0047490866555430205,1.2781220520285503
42,Maasmechelen teller 2,Maasmechelen,698,0.024647233791380226,1.2740833593192185
20,Brugge,Brugge,646,0.11413401411435604,1.8009237965554779
84,Roeselare totem,Izegem,611,0.028871458631603647,1.6449677810261707
7,Evergem 1,Evergem,578,0.1440118841298681,1.4861098555680172
6,Evergem 2,Evergem,577,0.15121327064918383,1.4884150286929068
67,Ieper totem,Ieper,556,0.06610629676177744,1.7234353681108605
68,Ieper,Ieper,551,0.08280858573421572,1.722272592696945
94,Herentals teller 2,Herentals,518,0.0287625808732144,1.5954570879387546
126,Hamme totem,Hamme,506,0.04903654912001528,1.3772620013408494
110,Herentals totem,Herentals,505,0.09730169492643198,1.6100464326223936
108,Heverlee teller 1,Leuven,503,0.006279060784837081,1.8832810205159032
87,Aarschot,Aarschot,492,0.01563243327960072,1.6190894099801365
12,Tervuren,Kraainem,479,0.0952760851534097,1.7366108478877302
120,Zele teller 1,Zele,448,0.018654657560273954,1.570109096261416
76,Heverlee teller 2,Leuven,442,0.07912191475532013,1.8664470150903478
