site_id,site_name,site_gemeente,crash_count_500m,nearest_crash_distance_km,average_crash_distance_km
144,test leuven,Leuven,218,0.02838110259643007,0.34509796676416066
69,Leuven teller 1,Leuven,217,0.018620169846780547,0.34072303885844113
143,Eco Display Classic Budastraat,Kortrijk,162,0.004671751431477238,0.3328257470032883
140,Hasselt ring,Hasselt,140,0.02063689074492619,0.3043856412047858
17,Kortrijk 2,Kortrijk,139,0.023111009645891804,0.2665824582140623
16,Kortrijk 1,Kortrijk,139,0.02934198139173138,0.26486647534200386
118,Gent teller 1,Gent,111,0.015731749728242324,0.27789744914804054
138,Hasselt-Kempische brug,Hasselt,109,0.010017345397112389,0.2968882026292075
119,Gent teller 2,Gent,107,0.008438540033756414,0.2723568021883944
137,Hasselt-Kempische brug,Hasselt,107,0.04404648825662453,0.3166176468427184
77,Leuven teller 2,Leuven,106,0.02784825948287718,0.2864093587312582
18,Oostende 1,Oostende,105,0.01259493733480966,0.27889248087665036
107,leuven totem,Leuven,105,0.015263472992629538,0.29335925036304955
15,Oostende 2,Oostende,104,0.015484989460328448,0.27985383550735754
41,Maasmechelen teller 1,Maasmechelen,84,0.0047490866555430205,0.3055064959545768
25,Bree,Bree,79,0.06244538394832298,0.31869859516620036
42,Maasmechelen teller 2,Maasmechelen,79,0.024647233791380226,0.2966302507851824
125,Dendermonde totem,Dendermonde,79,0.016533188250177907,0.3082650707037042
111,Zaventem totem,Zaventem,79,0.07151570601182293,0.3180629497915614
151,Leuven,District Leuven,77,0.12262838530089128,0.4245936954028455
23,Tienen 3,Tienen,76,0.04002573459787922,0.29850928452339365
148,Hoeilaart,District Leuven,74,0.03866722968465013,0.22865857384998245
122,Dendermonde teller 2,Dendermonde,72,0.04093565656137536,0.2868890785791168
24,Tienen 1,Tienen,68,0.009770190624328684,0.2809518462101927
6,Evergem 2,Evergem,66,0.15121327064919798,0.3376774258015216
101,Diest teller 1,Diest,66,0.01991076873183699,0.2585119698664645
7,Evergem 1,Evergem,66,0.14401188412987784,0.338283673461219
99,Mechelen teller 1,Mechelen,66,0.06453752992708554,0.31945325906287336
100,Mechelen teller 2,Mechelen,65,0.07049801373428972,0.31817025751569006
102,Diest teller 2,Diest,64,0.008980554241091837,0.2524903361453744
22,Tienen 2,Tienen,63,0.057237242823281576,0.2787892784615475
74,Kortrijk teller 1,Kortrijk,62,0.04430739062769007,0.3510879433264725
75,Kortrijk teller 2,Kortrijk,62,0.029325817037671672,0.34170020502645176
3,Brasschaat 1,Brasschaat,60,0.017306248334460598,0.2056497352694284
2,Brasschaat 2,Brasschaat,58,0.022892873519200777,0.19606423138106227
26,Zaventem,Zaventem,57,0.14748545133378924,0.3606076540159929
65,Nieuwpoort teller 2,Nieuwpoort,53,0.06265144275540734,0.3037318713387875
145,Overijse,District Vilvoorde-gewestwegen,52,0.09226426265702169,0.2661082835129562
116,Melle teller 2,Melle,51,0.13716404023485967,0.345042218795404
117,Melle teller 1,Melle,51,0.13716404023485967,0.345042218795404
