feature,importance
group_name,28.5605867429699
group_avg_bike_crash_count_history,13.705984738980579
bike_crash_count_1km_grouped,6.8268824417318035
bike_crash_count_1km_grouped_roll6_mean,3.7531706408885457
gemeente,3.3290407930202317
bike_crash_happened_1km_grouped,3.1481405460226886
total_count_sum,2.431939668111163
bike_crash_count_1km_grouped_roll6_sum,2.072603475837724
group_lat,1.9993878854945681
mean_interval_count_in,1.7131859466826709
total_count_in,1.4091972199941758
bike_crash_count_1km_grouped_roll3_mean,1.304869573165468
total_count_sum_lag1,1.0406837236152493
bike_crash_count_1km_grouped_roll3_sum,0.9642794540667271
total_count_in_lag1,0.9164241742682292
total_count_out_lag1,0.900437405048694
mean_interval_count_in_lag1,0.861979823330626
total_count_in_roll6_mean,0.8554623384726291
total_count_out,0.7771420880039299
avg_relative_humidity_2m,0.7017745305277324
bike_crash_count_1km_grouped_roll3_std,0.6917767569163665
station_to_weather_grid_km,0.665095997584768
total_count_in_roll3_mean,0.6163497801577481
max_interval_count_in,0.5802831502793936
month_cos,0.5669085847419317
mean_interval_count_out_roll3_mean,0.5250185814925153
group_long,0.5233044377077394
mean_interval_count_out,0.5138013912574707
mean_interval_count_in_roll6_mean,0.49997614427037
total_precipitation_change_lag1,0.4860349324754858
avg_cloud_cover_lag1,0.48314352147587725
total_count_out_roll3_mean,0.4632605297194785
mean_interval_count_out_lag2,0.43356874427634307
group_avg_total_count_in_history,0.42770011079917514
avg_temperature_2m_change_lag1,0.4253172186196358
total_precipitation_roll3_mean,0.41563126152624863
bike_crash_happened_1km_grouped_lag2,0.40997381271879146
max_interval_count_out,0.39898536462122175
total_precipitation_roll6_mean,0.3946428680159745
zero_count_intervals_out,0.3861018904260216
total_rain,0.38138943504250156
avg_wind_speed_10m_lag2,0.3580558817414162
max_temperature_2m,0.34382013522419336
avg_temperature_2m_roll6_mean,0.3409071107115724
mean_interval_count_out_roll3_std,0.3399433745244317
mean_interval_count_in_roll3_std,0.32911025103901415
bike_crash_happened_1km_grouped_lag1,0.3188891490513192
total_count_in_lag2,0.3174980027048109
avg_wind_speed_10m,0.3166702253283034
total_count_out_roll6_mean,0.31610050027992315
total_count_in_roll3_std,0.311824290533265
total_precipitation_roll3_std,0.3053609452859659
total_count_out_lag2,0.2906707322253667
mean_interval_count_in_roll3_mean,0.2873902115934558
avg_temperature_2m_roll3_std,0.2751555108210901
zero_count_intervals_out_roll6_mean,0.2724544628478175
group_avg_total_count_out_history,0.25911355749673787
zero_count_intervals_in_lag1,0.2583930983448413
total_count_out_roll3_std,0.25100891346675275
zero_count_intervals_in_roll3_mean,0.2506215577807146
mean_interval_count_out_roll6_mean,0.24691436543320894
avg_cloud_cover,0.24358283068658393
total_precipitation_lag1,0.23593469233176734
avg_temperature_2m_lag1,0.23029402316255823
total_precipitation,0.22494714516108746
avg_wind_speed_10m_roll3_mean,0.2234863069121785
zero_count_intervals_out_roll3_std,0.2200134552778387
interval_count_in,0.21385874364853366
avg_cloud_cover_roll3_mean,0.21131140587364763
in_out_ratio,0.2085090028124459
member_site_count,0.20731729735689225
zero_count_intervals_out_roll3_mean,0.1926501838666741
avg_wind_speed_10m_roll6_mean,0.19066755888805847
group_id,0.18899950283742106
zero_count_intervals_in,0.18839436106447133
zero_count_intervals_out_lag2,0.18663960763047677
month,0.18445235395673598
weather_hours_available,0.17836778923559102
avg_wind_speed_10m_lag1,0.17832449584373095
mean_interval_count_out_lag1,0.16300794355119566
in_out_ratio_lag1,0.1601372236171934
mean_interval_count_in_lag2,0.15955274793697688
total_count_in_change_lag1,0.15895498874674466
total_snowfall,0.15577609854475147
month_sin,0.15172392860691136
avg_wind_speed_10m_roll3_std,0.1512669140574591
total_count_out_change_lag1,0.14973567423064252
bike_crash_count_1km_grouped_lag2,0.1275225936881646
avg_temperature_2m_roll3_mean,0.12704152316382258
zero_count_intervals_out_lag1,0.12291245868723544
avg_cloud_cover_roll6_mean,0.11765231357199468
zero_count_intervals_in_roll6_mean,0.11268317342388144
avg_cloud_cover_lag2,0.10637723523886893
min_temperature_2m,0.09823292549482121
bike_crashes_per_1000_cyclists_lag1,0.09411098431834829
total_precipitation_lag2,0.09184086389215114
interval_count_out,0.07983736902976878
avg_cloud_cover_roll3_std,0.07552826951364212
zero_count_intervals_in_roll3_std,0.07198061895084398
zero_count_intervals_in_lag2,0.06877270001626054
year,0.06050084691128808
avg_temperature_2m,0.05526050291671658
avg_temperature_2m_lag2,0.03756875923288301
most_common_weather_code,0.02367810598573182
bike_crash_count_1km_grouped_lag1,0.019252479332415133
min_interval_count_out,0.0
min_interval_count_in,0.0
