model,feature,importance
poisson_regression,num__zero_count_intervals_in,0.23317091850905855
poisson_regression,num__zero_count_intervals_out,0.2013918352145121
poisson_regression,num__site_id,0.1761439340105023
poisson_regression,num__station_to_weather_grid_km,0.08618318271672308
poisson_regression,num__mean_interval_count_in,0.0749730353706881
poisson_regression,num__weather_hours_available,0.0566021845147336
poisson_regression,num__total_count_in,0.053978979198210944
poisson_regression,num__avg_relative_humidity_2m,0.051609069283442055
poisson_regression,num__total_snowfall,0.04513157102150914
poisson_regression,num__max_interval_count_in,0.03494733573312085
poisson_regression,num__avg_temperature_2m,0.02910847587571551
poisson_regression,num__mean_interval_count_out,0.02336262925218026
poisson_regression,num__month_cos,0.021216391952444583
poisson_regression,num__avg_cloud_cover,0.01933821193055704
poisson_regression,num__max_temperature_2m,0.01834082758355276
poisson_regression,num__month,0.018288191783170885
poisson_regression,num__total_rain,0.015095960539962802
poisson_regression,num__avg_wind_speed_10m,0.01294844587940797
poisson_regression,num__min_temperature_2m,0.011163163526844919
poisson_regression,num__total_precipitation,0.010559210089090748
poisson_regression,num__interval_count_out,0.009538422315365485
poisson_regression,num__interval_count_in,0.009531331557417241
poisson_regression,num__max_interval_count_out,0.0034541821437948173
poisson_regression,num__year,0.0026514210105741775
poisson_regression,num__month_sin,0.0010770235138611141
poisson_regression,num__total_count_out,0.0009538388553367716
poisson_regression,num__most_common_weather_code,0.00046015232112232824
poisson_regression,num__min_interval_count_out,0.0
poisson_regression,num__min_interval_count_in,0.0
random_forest_regressor,num__site_id,0.23522374772413426
random_forest_regressor,num__station_to_weather_grid_km,0.126101705638718
random_forest_regressor,num__total_count_in,0.10837221369376303
random_forest_regressor,num__zero_count_intervals_out,0.08636180527951928
random_forest_regressor,num__zero_count_intervals_in,0.07618294811954723
random_forest_regressor,num__mean_interval_count_in,0.046280976803530556
random_forest_regressor,num__max_interval_count_out,0.04349579283053323
random_forest_regressor,num__total_count_out,0.03836984186628103
random_forest_regressor,num__mean_interval_count_out,0.02943110990077652
random_forest_regressor,num__max_interval_count_in,0.029366348430102326
random_forest_regressor,num__avg_cloud_cover,0.024242825861190583
random_forest_regressor,num__avg_wind_speed_10m,0.02005431629555524
random_forest_regressor,num__min_temperature_2m,0.018999703615549247
random_forest_regressor,num__avg_relative_humidity_2m,0.016590446381443472
random_forest_regressor,num__total_rain,0.015228196313598098
random_forest_regressor,num__total_precipitation,0.0142872587599018
random_forest_regressor,num__avg_temperature_2m,0.013482749727779481
random_forest_regressor,num__month,0.012763140532098484
random_forest_regressor,num__max_temperature_2m,0.01187560866726944
random_forest_regressor,num__year,0.01003056365672088
random_forest_regressor,num__month_sin,0.007131432633022948
random_forest_regressor,num__month_cos,0.0038402489415371222
random_forest_regressor,num__total_snowfall,0.0037486556194135283
random_forest_regressor,num__interval_count_out,0.003200555032308676
random_forest_regressor,num__interval_count_in,0.003020894654093999
random_forest_regressor,num__weather_hours_available,0.0015574230077655424
random_forest_regressor,num__most_common_weather_code,0.0007594900138458578
random_forest_regressor,num__min_interval_count_out,0.0
random_forest_regressor,num__min_interval_count_in,0.0
