model,feature,importance
logistic_regression,num__zero_count_intervals_out,0.9693188713019506
logistic_regression,num__zero_count_intervals_in,0.8227766612168288
logistic_regression,num__total_count_in,0.6536466167290217
logistic_regression,num__weather_hours_available,0.5596961169232797
logistic_regression,num__min_temperature_2m,0.5335450678009187
logistic_regression,num__avg_relative_humidity_2m,0.49412997322213625
logistic_regression,num__station_to_weather_grid_km,0.36301483400640555
logistic_regression,num__total_count_out,0.32629956076879496
logistic_regression,num__month_sin,0.29978824106763546
logistic_regression,num__avg_cloud_cover,0.2891671083204635
logistic_regression,num__site_id,0.2868729496854237
logistic_regression,num__year,0.27119829802418965
logistic_regression,num__avg_temperature_2m,0.25329126387738443
logistic_regression,num__avg_wind_speed_10m,0.2169222622048489
logistic_regression,num__interval_count_out,0.20470275573973945
logistic_regression,num__mean_interval_count_out,0.18099124976391542
logistic_regression,num__interval_count_in,0.18097289849299933
logistic_regression,num__total_snowfall,0.17946679342285135
logistic_regression,num__month_cos,0.16773989396187144
logistic_regression,num__total_precipitation,0.15454414996461002
logistic_regression,num__max_interval_count_in,0.14335801208687082
logistic_regression,num__total_rain,0.1429091827757599
logistic_regression,num__month,0.13310470034889088
logistic_regression,num__max_interval_count_out,0.11910563182294837
logistic_regression,num__max_temperature_2m,0.09305017567031246
logistic_regression,num__most_common_weather_code,0.036248694315885725
logistic_regression,num__mean_interval_count_in,0.0317396683579241
logistic_regression,num__min_interval_count_in,0.0
logistic_regression,num__min_interval_count_out,0.0
random_forest,num__mean_interval_count_out,0.08396159874997766
random_forest,num__site_id,0.08087446815671699
random_forest,num__total_count_out,0.07317402478845146
random_forest,num__mean_interval_count_in,0.07086240549699378
random_forest,num__zero_count_intervals_out,0.07077896219086331
random_forest,num__zero_count_intervals_in,0.07028625244447513
random_forest,num__total_count_in,0.06745001306375892
random_forest,num__station_to_weather_grid_km,0.06178189662256619
random_forest,num__max_interval_count_out,0.05721317436383867
random_forest,num__max_interval_count_in,0.04409200233699477
random_forest,num__total_precipitation,0.038094805212731314
random_forest,num__avg_wind_speed_10m,0.036566204741876586
random_forest,num__avg_relative_humidity_2m,0.03567798933195508
random_forest,num__total_rain,0.03491521036118005
random_forest,num__max_temperature_2m,0.028938219628359265
random_forest,num__avg_cloud_cover,0.027312764929283136
random_forest,num__min_temperature_2m,0.025748448572110033
random_forest,num__avg_temperature_2m,0.025465992228515515
random_forest,num__total_snowfall,0.011796546849870066
random_forest,num__year,0.009472382882034253
random_forest,num__month_cos,0.009336370651989459
random_forest,num__month_sin,0.009309298904839503
random_forest,num__month,0.009125410655328669
random_forest,num__interval_count_out,0.006357929551164989
random_forest,num__interval_count_in,0.0061775468473642845
random_forest,num__weather_hours_available,0.004396715936981234
random_forest,num__most_common_weather_code,0.0008333644997798798
random_forest,num__min_interval_count_out,0.0
random_forest,num__min_interval_count_in,0.0
