model,threshold,accuracy,precision,recall,f1,balanced_precision_recall,tn,fp,fn,tp,objective
catboost_classifier,0.23,0.6628329297820823,0.453168044077135,0.6728016359918201,0.5415637860082304,0.5629848400344776,766,397,160,329,f1
catboost_classifier,0.05,0.32082324455205813,0.3005671077504726,0.9754601226993865,0.4595375722543353,0.6380136152249296,53,1110,12,477,recall
catboost_classifier,0.05,0.32082324455205813,0.3005671077504726,0.9754601226993865,0.4595375722543353,0.6380136152249296,53,1110,12,477,balanced_precision_recall
catboost_classifier,0.52,0.7403147699757869,0.6153846153846154,0.32719836400818,0.4272363150867824,0.47129148969639767,1063,100,329,160,accuracy
logistic_regression,0.46,0.6253026634382567,0.42073170731707316,0.7055214723926381,0.5271199388846448,0.5631265898548556,688,475,144,345,f1
logistic_regression,0.05,0.29782082324455206,0.2962962962962963,0.9979550102249489,0.45692883895131087,0.6471256532606227,4,1159,1,488,recall
logistic_regression,0.13,0.3062953995157385,0.2988364972443356,0.9979550102249489,0.4599434495758718,0.6483957537346423,18,1145,1,488,balanced_precision_recall
logistic_regression,0.76,0.7415254237288136,0.6083916083916084,0.3558282208588957,0.44903225806451613,0.4821099146252521,1051,112,315,174,accuracy
random_forest,0.35,0.6634382566585957,0.45314685314685316,0.6625766871165644,0.5382059800664452,0.5578617701317088,772,391,165,324,f1
random_forest,0.05,0.2960048426150121,0.2960048426150121,1.0,0.456795889771135,0.6480024213075061,0,1163,0,489,recall
random_forest,0.11,0.3159806295399516,0.3015479876160991,0.9959100204498977,0.4629277566539924,0.6487290040329984,35,1128,2,487,balanced_precision_recall
random_forest,0.47,0.7439467312348669,0.6037735849056604,0.39263803680981596,0.4758364312267658,0.4982058108577382,1037,126,297,192,accuracy
