model,threshold,accuracy,precision,recall,f1,balanced_precision_recall,tn,fp,fn,tp
catboost_classifier,0.05,0.32082324455205813,0.3005671077504726,0.9754601226993865,0.4595375722543353,0.6380136152249296,53,1110,12,477
catboost_classifier,0.06,0.3486682808716707,0.3082952318745918,0.9652351738241309,0.46732673267326735,0.6367652028493613,104,1059,17,472
catboost_classifier,0.07,0.37832929782082325,0.3167574931880109,0.950920245398773,0.4752171691364333,0.633838869293392,160,1003,24,465
catboost_classifier,0.08,0.4085956416464891,0.32521489971346706,0.9284253578732107,0.4816976127320955,0.6268201287933388,221,942,35,454
catboost_classifier,0.09,0.43341404358353514,0.3330843913368185,0.9120654396728016,0.487964989059081,0.62257491550481,270,893,43,446
catboost_classifier,0.1,0.45581113801452783,0.3405909797822706,0.8957055214723927,0.49352112676056337,0.6181482506273317,315,848,51,438
catboost_classifier,0.11,0.4812348668280872,0.34991843393148453,0.8773006134969326,0.5002915451895044,0.6136095237142085,366,797,60,429
catboost_classifier,0.12,0.5096852300242131,0.36246786632390743,0.8650306748466258,0.5108695652173914,0.6137492705852666,419,744,66,423
catboost_classifier,0.13,0.5217917675544794,0.36574487065120426,0.8384458077709611,0.5093167701863354,0.6020953392110827,452,711,79,410
catboost_classifier,0.14,0.5399515738498789,0.37488457987072943,0.8302658486707567,0.5165394402035624,0.602575214270743,486,677,83,406
catboost_classifier,0.15,0.5575060532687651,0.3832046332046332,0.8118609406952966,0.520655737704918,0.5975327869499649,524,639,92,397
catboost_classifier,0.16,0.5738498789346247,0.391742195367573,0.7955010224948875,0.524966261808367,0.5936216089312303,559,604,100,389
catboost_classifier,0.17,0.5889830508474576,0.40041928721174,0.7811860940695297,0.5294525294525294,0.5908026906406348,591,572,107,382
catboost_classifier,0.18,0.6041162227602905,0.40963855421686746,0.7648261758691206,0.5335235378031383,0.587232365042994,624,539,115,374
catboost_classifier,0.19,0.612590799031477,0.4129181084198385,0.7321063394683026,0.528023598820059,0.5725122239440705,654,509,131,358
catboost_classifier,0.2,0.6222760290556901,0.41935483870967744,0.7177914110429447,0.5294117647058824,0.5685731248763111,677,486,138,351
catboost_classifier,0.21,0.6343825665859564,0.42803504380475593,0.6993865030674846,0.531055900621118,0.5637107734361203,706,457,147,342
catboost_classifier,0.22,0.6507263922518159,0.4417989417989418,0.6830265848670757,0.5365461847389559,0.5624127633330087,741,422,155,334
catboost_classifier,0.23,0.6628329297820823,0.453168044077135,0.6728016359918201,0.5415637860082304,0.5629848400344776,766,397,160,329
catboost_classifier,0.24,0.6707021791767555,0.4602026049204052,0.6503067484662577,0.5389830508474577,0.5552546766933315,790,373,171,318
catboost_classifier,0.25,0.6755447941888619,0.46466165413533833,0.6319018404907976,0.5355285961871751,0.5482817473130679,807,356,180,309
catboost_classifier,0.26,0.6822033898305084,0.4716981132075472,0.6134969325153374,0.5333333333333333,0.5425975228614424,827,336,189,300
catboost_classifier,0.27,0.6912832929782082,0.4828150572831424,0.6032719836400818,0.5363636363636364,0.5430435204616121,847,316,194,295
catboost_classifier,0.28,0.6949152542372882,0.4873096446700508,0.588957055214724,0.5333333333333333,0.5381333499423874,860,303,201,288
catboost_classifier,0.29,0.700363196125908,0.49473684210526314,0.5766871165644172,0.5325779036827195,0.5357119793348402,875,288,207,282
catboost_classifier,0.3,0.7082324455205811,0.5064220183486239,0.5644171779141104,0.5338491295938105,0.5354195981313672,894,269,213,276
catboost_classifier,0.31,0.7191283292978208,0.5239005736137667,0.5603271983640081,0.541501976284585,0.5421138859888874,914,249,215,274
catboost_classifier,0.32,0.7239709443099274,0.5329341317365269,0.5460122699386503,0.5393939393939394,0.5394732008375887,929,234,222,267
catboost_classifier,0.33,0.7263922518159807,0.5379876796714579,0.5357873210633947,0.5368852459016393,0.5368875003674263,938,225,227,262
catboost_classifier,0.34,0.7269975786924939,0.5404255319148936,0.5194274028629857,0.529718456725756,0.5299264673889397,947,216,235,254
catboost_classifier,0.35,0.7282082324455206,0.5442477876106194,0.5030674846625767,0.5228480340063762,0.5236576361365981,957,206,243,246
catboost_classifier,0.36,0.7288135593220338,0.546485260770975,0.49284253578732107,0.5182795698924731,0.519663898279148,963,200,248,241
catboost_classifier,0.37,0.7294188861985472,0.5490654205607477,0.48057259713701433,0.5125408942202835,0.514819008848881,970,193,254,235
catboost_classifier,0.38,0.7300242130750605,0.5515587529976019,0.4703476482617587,0.5077262693156733,0.5109532006296803,976,187,259,230
catboost_classifier,0.39,0.7312348668280871,0.5555555555555556,0.4601226993865031,0.5033557046979866,0.5078391274710293,983,180,264,225
catboost_classifier,0.4,0.7336561743341404,0.5623409669211196,0.45194274028629855,0.5011337868480725,0.5071418536037091,991,172,268,221
catboost_classifier,0.41,0.7324455205811138,0.5613577023498695,0.4396728016359918,0.49311926605504586,0.5005152519929307,995,168,274,215
catboost_classifier,0.42,0.7318401937046005,0.5625,0.4233128834355828,0.4830805134189031,0.4929064417177914,1002,161,282,207
catboost_classifier,0.43,0.7306295399515739,0.5617977528089888,0.40899795501022496,0.47337278106508873,0.4853978539096069,1007,156,289,200
catboost_classifier,0.44,0.7324455205811138,0.5689149560117303,0.3967280163599182,0.4674698795180723,0.4828214861858242,1016,147,295,194
catboost_classifier,0.45,0.7348668280871671,0.5770392749244713,0.39059304703476483,0.4658536585365854,0.48381616097961805,1023,140,298,191
catboost_classifier,0.46,0.7324455205811138,0.573208722741433,0.37627811860940696,0.454320987654321,0.47474342067541997,1026,137,305,184
catboost_classifier,0.47,0.7336561743341404,0.5792880258899676,0.3660531697341513,0.44862155388471175,0.47267059781205945,1033,130,310,179
catboost_classifier,0.48,0.7348668280871671,0.5852842809364549,0.35787321063394684,0.44416243654822335,0.47157874578520087,1039,124,314,175
catboost_classifier,0.49,0.738498789346247,0.6,0.3496932515337423,0.4418604651162791,0.47484662576687114,1049,114,318,171
catboost_classifier,0.5,0.7397094430992736,0.6057347670250897,0.3456032719836401,0.4401041666666667,0.4756690195043649,1053,110,320,169
catboost_classifier,0.51,0.7397094430992736,0.6088560885608856,0.3374233128834356,0.4342105263157895,0.4731397007221606,1057,106,324,165
catboost_classifier,0.52,0.7403147699757869,0.6153846153846154,0.32719836400818,0.4272363150867824,0.47129148969639767,1063,100,329,160
catboost_classifier,0.53,0.7397094430992736,0.6175298804780877,0.3169734151329243,0.4189189189189189,0.467251647805506,1067,96,334,155
catboost_classifier,0.54,0.7378934624697336,0.6138211382113821,0.30879345603271985,0.4108843537414966,0.461307297122051,1068,95,338,151
catboost_classifier,0.55,0.738498789346247,0.6212765957446809,0.2985685071574642,0.40331491712707185,0.4599225514510725,1074,89,343,146
catboost_classifier,0.56,0.7378934624697336,0.6238938053097345,0.2883435582822086,0.3944055944055944,0.45611868179597154,1078,85,348,141
