model,feature,importance
poisson_regression,num__crash_count_500m_roll6_sum,0.0611657259441727
poisson_regression,num__crash_count_500m,0.05189767549938637
poisson_regression,num__crash_count_500m_roll6_mean,0.04707817048254461
poisson_regression,num__site_avg_crash_count_history,0.04515550351783071
poisson_regression,num__most_common_weather_code,0.04139298389506149
poisson_regression,num__station_to_weather_grid_km,0.04128807876063383
poisson_regression,num__crash_happened_500m,0.039238950790624776
poisson_regression,num__crash_count_500m_roll3_std,0.0347183589390104
poisson_regression,num__crash_count_500m_roll3_sum,0.03336433191033399
poisson_regression,num__site_id,0.03113752351081988
poisson_regression,num__crash_count_500m_roll3_mean,0.02872156364218175
poisson_regression,num__crash_happened_500m_lag2,0.026558015778566195
poisson_regression,num__mean_interval_count_in,0.024032711707473862
poisson_regression,num__zero_count_intervals_out_roll3_std,0.02319752164695611
poisson_regression,num__total_count_in,0.02065332029631494
poisson_regression,num__avg_wind_speed_10m_roll3_std,0.020463999076777012
poisson_regression,num__total_count_sum,0.019938413156509585
poisson_regression,num__zero_count_intervals_out,0.019901325709000377
poisson_regression,num__avg_temperature_2m_roll3_std,0.019881318642936626
poisson_regression,num__avg_cloud_cover,0.019072373627329
poisson_regression,num__total_precipitation_lag2,0.017887724407517343
poisson_regression,num__total_count_out_change_lag1,0.01691960876523037
poisson_regression,num__mean_interval_count_out,0.015033499396735045
poisson_regression,num__zero_count_intervals_in,0.014649762621865311
poisson_regression,num__zero_count_intervals_out_lag1,0.014150341481598152
poisson_regression,num__total_count_in_lag2,0.013996661819588623
poisson_regression,num__avg_cloud_cover_lag2,0.013317798665391537
poisson_regression,num__crash_happened_500m_lag1,0.013102679462008679
poisson_regression,num__avg_wind_speed_10m_lag2,0.012885719700794463
poisson_regression,num__total_count_out,0.012456515582230734
poisson_regression,num__zero_count_intervals_out_roll6_mean,0.012355624565056646
poisson_regression,num__zero_count_intervals_out_roll3_mean,0.01220036841285467
poisson_regression,num__total_snowfall,0.012176144764718753
poisson_regression,num__avg_relative_humidity_2m,0.011561046183236081
poisson_regression,num__avg_wind_speed_10m_roll6_mean,0.011544520564581327
poisson_regression,num__mean_interval_count_in_lag2,0.011311155078685972
poisson_regression,num__avg_temperature_2m_roll6_mean,0.011257642281485146
poisson_regression,num__zero_count_intervals_out_lag2,0.010535585912523977
poisson_regression,num__avg_cloud_cover_roll3_std,0.009962271922315866
poisson_regression,num__total_count_in_change_lag1,0.009957831035474282
poisson_regression,num__crash_count_500m_lag2,0.009684251564978789
poisson_regression,num__max_interval_count_out,0.009470803794567719
poisson_regression,num__avg_cloud_cover_lag1,0.00907208179873356
poisson_regression,num__in_out_ratio,0.008824458833199017
poisson_regression,num__zero_count_intervals_in_roll3_std,0.0078023013698723075
poisson_regression,num__total_precipitation_roll3_mean,0.007677555678125158
poisson_regression,num__mean_interval_count_out_roll3_mean,0.007579743402129829
poisson_regression,num__month_sin,0.007419725593263187
poisson_regression,num__mean_interval_count_out_roll6_mean,0.007314523761897479
poisson_regression,num__crashes_per_1000_cyclists_lag1,0.007269038007029271
poisson_regression,num__max_interval_count_in,0.007216286900194654
poisson_regression,num__mean_interval_count_out_roll3_std,0.007157402850036034
poisson_regression,num__avg_cloud_cover_roll6_mean,0.007155041019010372
poisson_regression,num__total_precipitation_roll6_mean,0.007096391626260635
poisson_regression,num__avg_temperature_2m_change_lag1,0.007011338006294907
poisson_regression,num__total_count_in_roll6_mean,0.006999500321269626
poisson_regression,num__zero_count_intervals_in_roll6_mean,0.006951521946362045
poisson_regression,num__zero_count_intervals_in_lag1,0.006559889902778833
poisson_regression,num__mean_interval_count_out_lag1,0.006342675962100501
poisson_regression,num__total_rain,0.006327259978665932
poisson_regression,num__zero_count_intervals_in_roll3_mean,0.006186075846472745
poisson_regression,num__avg_temperature_2m_roll3_mean,0.005914374894632387
poisson_regression,num__month_cos,0.005853976484416693
poisson_regression,num__in_out_ratio_lag1,0.005809142933638157
poisson_regression,num__site_avg_total_count_in_history,0.005321442578598701
poisson_regression,num__total_count_out_roll3_mean,0.004973577117905168
poisson_regression,num__total_precipitation,0.0049313029842284455
poisson_regression,num__crash_count_500m_lag1,0.0045994332006545876
poisson_regression,num__total_count_in_roll3_mean,0.004593523778694028
poisson_regression,num__avg_temperature_2m,0.004418394169274012
poisson_regression,num__avg_cloud_cover_roll3_mean,0.00434514912891568
poisson_regression,num__zero_count_intervals_in_lag2,0.003730905905952637
poisson_regression,num__total_precipitation_roll3_std,0.003310008464233752
poisson_regression,num__total_precipitation_lag1,0.0031084312404750436
poisson_regression,num__site_avg_total_count_out_history,0.0030307932409277543
poisson_regression,num__total_count_out_lag1,0.002936566712572124
poisson_regression,num__mean_interval_count_in_roll3_std,0.002862140928929349
poisson_regression,num__mean_interval_count_in_lag1,0.0026591368979780737
poisson_regression,num__avg_wind_speed_10m_lag1,0.0023077780013307904
poisson_regression,num__max_temperature_2m,0.0022601928062940353
poisson_regression,num__total_count_out_roll6_mean,0.002204723632671513
poisson_regression,num__avg_temperature_2m_lag2,0.0018320377380472202
poisson_regression,num__min_temperature_2m,0.001730074390319032
poisson_regression,num__total_count_out_lag2,0.0014087560095672551
poisson_regression,num__weather_hours_available,0.0012026164050027612
poisson_regression,num__mean_interval_count_in_roll3_mean,0.0010208103920354812
poisson_regression,num__interval_count_out,0.0009307394052447145
poisson_regression,num__interval_count_in,0.0009084195340736035
poisson_regression,num__mean_interval_count_in_roll6_mean,0.0008920269965602992
poisson_regression,num__avg_wind_speed_10m,0.0005939447694257242
poisson_regression,num__year,0.000545107498646084
poisson_regression,num__total_precipitation_change_lag1,0.0005422425202238083
poisson_regression,num__total_count_sum_lag1,0.000523372793807371
poisson_regression,num__avg_temperature_2m_lag1,0.0005046204106365843
poisson_regression,num__total_count_in_lag1,0.00044161299298230654
poisson_regression,num__avg_wind_speed_10m_roll3_mean,0.0003847314552501425
poisson_regression,num__total_count_out_roll3_std,0.0002393733926039873
poisson_regression,num__mean_interval_count_out_lag2,0.00018204691392886745
poisson_regression,num__month,0.0001611488271404916
poisson_regression,num__total_count_in_roll3_std,7.032823649321394e-05
poisson_regression,num__min_interval_count_out,0.0
poisson_regression,num__min_interval_count_in,0.0
random_forest_regressor,num__site_avg_crash_count_history,0.08657400763598427
random_forest_regressor,num__crash_count_500m_roll6_sum,0.03364949928224503
random_forest_regressor,num__total_precipitation_lag2,0.029528676632051967
random_forest_regressor,num__mean_interval_count_in,0.027866732109502128
random_forest_regressor,num__crash_count_500m_roll6_mean,0.02518063783374299
random_forest_regressor,num__station_to_weather_grid_km,0.024551888819353246
random_forest_regressor,num__avg_wind_speed_10m,0.0208487687767178
random_forest_regressor,num__avg_relative_humidity_2m,0.02080220412231746
random_forest_regressor,num__total_precipitation_roll3_std,0.018649531429176223
random_forest_regressor,num__total_count_sum,0.01820316899042103
random_forest_regressor,num__total_count_out_change_lag1,0.017212877975104703
random_forest_regressor,num__min_temperature_2m,0.016728931529027536
random_forest_regressor,num__zero_count_intervals_out_roll3_std,0.016091357409937366
random_forest_regressor,num__zero_count_intervals_in_roll3_std,0.016063915511241963
random_forest_regressor,num__avg_cloud_cover_lag2,0.01580696306433715
random_forest_regressor,num__zero_count_intervals_out,0.014412162649157154
random_forest_regressor,num__total_count_out,0.014325151741571259
random_forest_regressor,num__avg_wind_speed_10m_roll3_std,0.013674079716292573
random_forest_regressor,num__avg_wind_speed_10m_lag2,0.013607523736219825
random_forest_regressor,num__avg_cloud_cover,0.013408389946527696
random_forest_regressor,num__total_count_in_change_lag1,0.013378387982888243
random_forest_regressor,num__avg_cloud_cover_lag1,0.01337434617603734
random_forest_regressor,num__avg_cloud_cover_roll3_std,0.013302287679368323
random_forest_regressor,num__total_precipitation_roll6_mean,0.013229912774235918
random_forest_regressor,num__total_precipitation_lag1,0.01320912883604348
random_forest_regressor,num__site_id,0.013190710494579047
random_forest_regressor,num__avg_wind_speed_10m_roll6_mean,0.013121592826439113
random_forest_regressor,num__mean_interval_count_out,0.013047764933496605
random_forest_regressor,num__avg_temperature_2m_roll6_mean,0.012891298946778864
random_forest_regressor,num__avg_wind_speed_10m_lag1,0.012782999557368833
random_forest_regressor,num__avg_cloud_cover_roll6_mean,0.012663513962382505
random_forest_regressor,num__avg_temperature_2m,0.01257990645534961
random_forest_regressor,num__zero_count_intervals_in,0.012268546432939953
random_forest_regressor,num__max_temperature_2m,0.012105880115044255
random_forest_regressor,num__crash_count_500m,0.011945452547703303
random_forest_regressor,num__avg_temperature_2m_roll3_std,0.011931492059861177
random_forest_regressor,num__avg_temperature_2m_roll3_mean,0.011420486604598582
random_forest_regressor,num__total_count_in,0.011186909648359626
random_forest_regressor,num__avg_temperature_2m_lag2,0.010661722107458211
random_forest_regressor,num__total_precipitation_change_lag1,0.010590453644318654
random_forest_regressor,num__total_precipitation,0.010543393593715351
random_forest_regressor,num__avg_temperature_2m_change_lag1,0.010477975771806255
random_forest_regressor,num__total_precipitation_roll3_mean,0.01007221544783542
random_forest_regressor,num__total_rain,0.010071400113134921
random_forest_regressor,num__avg_temperature_2m_lag1,0.010055935280946624
random_forest_regressor,num__max_interval_count_in,0.009598123259555932
random_forest_regressor,num__crashes_per_1000_cyclists_lag1,0.009510233502804968
random_forest_regressor,num__total_count_sum_lag1,0.00912532390665217
random_forest_regressor,num__avg_wind_speed_10m_roll3_mean,0.009040435919452918
random_forest_regressor,num__avg_cloud_cover_roll3_mean,0.009007719699674073
random_forest_regressor,num__max_interval_count_out,0.008753959821760682
random_forest_regressor,num__mean_interval_count_in_roll3_std,0.008286902041799674
random_forest_regressor,num__in_out_ratio,0.007294608947167906
random_forest_regressor,num__total_count_in_roll3_std,0.007168125282570575
random_forest_regressor,num__total_count_out_roll3_std,0.006614841862563518
random_forest_regressor,num__mean_interval_count_out_roll3_std,0.006521770366987976
random_forest_regressor,num__zero_count_intervals_in_roll6_mean,0.005810612945968817
random_forest_regressor,num__zero_count_intervals_out_roll3_mean,0.005668966612135208
random_forest_regressor,num__in_out_ratio_lag1,0.005520548657417234
random_forest_regressor,num__zero_count_intervals_out_lag1,0.005503885210588348
random_forest_regressor,num__site_avg_total_count_out_history,0.005375636840877941
random_forest_regressor,num__zero_count_intervals_in_lag2,0.0053019256499132585
random_forest_regressor,num__crash_count_500m_roll3_sum,0.00492379211436333
random_forest_regressor,num__site_avg_total_count_in_history,0.004786070002068587
random_forest_regressor,num__crash_count_500m_roll3_mean,0.004736310038378037
random_forest_regressor,num__zero_count_intervals_out_lag2,0.004695002744545649
random_forest_regressor,num__crash_count_500m_roll3_std,0.004514185759711567
random_forest_regressor,num__zero_count_intervals_out_roll6_mean,0.004414845745650836
random_forest_regressor,num__zero_count_intervals_in_lag1,0.004307544761412772
random_forest_regressor,num__mean_interval_count_in_roll6_mean,0.004143787023406816
random_forest_regressor,num__total_count_in_lag2,0.004020877657899223
random_forest_regressor,num__total_count_out_roll6_mean,0.004002088433362072
random_forest_regressor,num__total_snowfall,0.00397772079098263
random_forest_regressor,num__mean_interval_count_in_lag1,0.003860997269839895
random_forest_regressor,num__mean_interval_count_out_lag2,0.003825771164607115
random_forest_regressor,num__total_count_out_lag2,0.003772923187385952
random_forest_regressor,num__total_count_in_roll6_mean,0.0037299241077084493
random_forest_regressor,num__mean_interval_count_out_roll6_mean,0.0037224046179241584
random_forest_regressor,num__zero_count_intervals_in_roll3_mean,0.0034218203257316933
random_forest_regressor,num__total_count_in_lag1,0.0033111120929185467
random_forest_regressor,num__most_common_weather_code,0.0031946021330458217
random_forest_regressor,num__mean_interval_count_in_lag2,0.0030611978895211493
random_forest_regressor,num__total_count_out_lag1,0.0030013874079261875
random_forest_regressor,num__year,0.0029825432075569667
random_forest_regressor,num__total_count_in_roll3_mean,0.002974471571147767
random_forest_regressor,num__mean_interval_count_in_roll3_mean,0.0027894758746212457
random_forest_regressor,num__mean_interval_count_out_lag1,0.002677286945862563
random_forest_regressor,num__total_count_out_roll3_mean,0.002621695494849154
random_forest_regressor,num__mean_interval_count_out_roll3_mean,0.0025878563503539277
random_forest_regressor,num__interval_count_in,0.0024563789971422953
random_forest_regressor,num__month_sin,0.0023629573001433127
random_forest_regressor,num__crash_happened_500m,0.0023539137169426476
random_forest_regressor,num__interval_count_out,0.002199336150794372
random_forest_regressor,num__crash_count_500m_lag1,0.0018791346898255326
random_forest_regressor,num__crash_count_500m_lag2,0.001710551268799579
random_forest_regressor,num__weather_hours_available,0.0015356582448256824
random_forest_regressor,num__month,0.0014767449503688996
random_forest_regressor,num__month_cos,0.0012466424102202582
random_forest_regressor,num__crash_happened_500m_lag1,0.0006800813822062917
random_forest_regressor,num__crash_happened_500m_lag2,0.0006471027444379901
random_forest_regressor,num__min_interval_count_out,0.0
random_forest_regressor,num__min_interval_count_in,0.0
