model,feature,importance
logistic_regression,num__avg_temperature_2m,1.0648265927776654
logistic_regression,num__mean_interval_count_in_roll3_mean,0.7421798170450867
logistic_regression,num__mean_interval_count_in,0.7265342355269788
logistic_regression,num__min_temperature_2m,0.6783829395392315
logistic_regression,num__site_avg_crash_count_history,0.6422860268935331
logistic_regression,num__zero_count_intervals_out_lag1,0.6201630534897564
logistic_regression,num__mean_interval_count_in_lag1,0.602309997206497
logistic_regression,num__month_cos,0.5960439753284759
logistic_regression,num__mean_interval_count_out,0.5901377331684667
logistic_regression,num__most_common_weather_code,0.5715054458678356
logistic_regression,num__crash_count_500m_roll6_sum,0.531195294283631
logistic_regression,num__zero_count_intervals_in_roll6_mean,0.48071167371181606
logistic_regression,num__total_count_out_roll3_mean,0.4558162027718189
logistic_regression,num__zero_count_intervals_out_roll6_mean,0.45232195060204394
logistic_regression,num__total_count_out,0.40799411577835937
logistic_regression,num__zero_count_intervals_in_lag2,0.3970910480572973
logistic_regression,num__mean_interval_count_out_roll6_mean,0.3836588841629971
logistic_regression,num__crash_count_500m_roll6_mean,0.3765859632479018
logistic_regression,num__max_temperature_2m,0.3760765713202968
logistic_regression,num__zero_count_intervals_out,0.3207839074452147
logistic_regression,num__avg_wind_speed_10m_lag1,0.3196266151259172
logistic_regression,num__total_count_out_roll6_mean,0.31039986778829126
logistic_regression,num__avg_temperature_2m_change_lag1,0.2911247501209576
logistic_regression,num__month_sin,0.28590766181050226
logistic_regression,num__mean_interval_count_in_roll6_mean,0.2798052232047904
logistic_regression,num__crash_count_500m_lag1,0.2766110220971207
logistic_regression,num__site_id,0.27643078688225914
logistic_regression,num__total_count_in_roll3_mean,0.27480094156157925
logistic_regression,num__interval_count_out,0.2704830438907916
logistic_regression,num__avg_wind_speed_10m_roll3_mean,0.2693853208139932
logistic_regression,num__zero_count_intervals_in_lag1,0.2680863427580249
logistic_regression,num__total_snowfall,0.26575616150987724
logistic_regression,num__total_count_sum,0.25896704629845707
logistic_regression,num__avg_temperature_2m_roll3_mean,0.24933213029799567
logistic_regression,num__weather_hours_available,0.24289830673005106
logistic_regression,num__interval_count_in,0.23526250816054156
logistic_regression,num__total_count_in_lag1,0.2301552007306052
logistic_regression,num__total_count_sum_lag1,0.22382700189070048
logistic_regression,num__total_count_out_roll3_std,0.2191192493613365
logistic_regression,num__total_count_out_lag1,0.20953525689054084
logistic_regression,num__crash_count_500m_lag2,0.20757540001280975
logistic_regression,num__crash_count_500m,0.19770894211991752
logistic_regression,num__site_avg_total_count_in_history,0.1977003165997406
logistic_regression,num__avg_relative_humidity_2m,0.19352041380150872
logistic_regression,num__avg_cloud_cover,0.1929212724406545
logistic_regression,num__station_to_weather_grid_km,0.18652170492508477
logistic_regression,num__total_count_in_lag2,0.1680263091709443
logistic_regression,num__mean_interval_count_in_lag2,0.1670314666015654
logistic_regression,num__avg_temperature_2m_lag1,0.1640905577138006
logistic_regression,num__avg_cloud_cover_roll3_std,0.1602147302681278
logistic_regression,num__total_count_out_lag2,0.15933397166105998
logistic_regression,num__avg_cloud_cover_lag2,0.15661962806579524
logistic_regression,num__mean_interval_count_out_lag2,0.15595564534345155
logistic_regression,num__avg_wind_speed_10m_roll3_std,0.14545621349451643
logistic_regression,num__avg_wind_speed_10m,0.13563458522457666
logistic_regression,num__avg_cloud_cover_roll3_mean,0.12631925969788516
logistic_regression,num__total_rain,0.12001189102058239
logistic_regression,num__total_precipitation_lag2,0.11940238191124505
logistic_regression,num__site_avg_total_count_out_history,0.11904388368776031
logistic_regression,num__crash_count_500m_roll3_sum,0.11739019414376009
logistic_regression,num__zero_count_intervals_out_roll3_std,0.1121515131266918
logistic_regression,num__crash_happened_500m_lag1,0.10314715911616111
logistic_regression,num__avg_cloud_cover_roll6_mean,0.10222856847480835
logistic_regression,num__total_count_in_roll6_mean,0.10169520610269485
logistic_regression,num__zero_count_intervals_out_roll3_mean,0.10166508200916857
logistic_regression,num__crash_count_500m_roll3_std,0.09881019438515165
logistic_regression,num__zero_count_intervals_in_roll3_mean,0.09432257615612673
logistic_regression,num__total_count_out_change_lag1,0.09143914414901698
logistic_regression,num__avg_temperature_2m_lag2,0.08928329846275794
logistic_regression,num__mean_interval_count_out_roll3_std,0.08796891236703812
logistic_regression,num__zero_count_intervals_in,0.08457963674556476
logistic_regression,num__month,0.08268261997322264
logistic_regression,num__total_precipitation,0.08134604801717463
logistic_regression,num__avg_temperature_2m_roll3_std,0.07425433819356067
logistic_regression,num__total_precipitation_roll3_std,0.07108103194784544
logistic_regression,num__crashes_per_1000_cyclists_lag1,0.06584433958474649
logistic_regression,num__total_count_in_change_lag1,0.06180626836531885
logistic_regression,num__avg_cloud_cover_lag1,0.061435007621494814
logistic_regression,num__mean_interval_count_out_lag1,0.05747365897313677
logistic_regression,num__total_precipitation_roll3_mean,0.05339634190928032
logistic_regression,num__total_precipitation_lag1,0.052645522924913535
logistic_regression,num__total_count_in,0.05126497901309141
logistic_regression,num__max_interval_count_out,0.051091541439751156
logistic_regression,num__zero_count_intervals_out_lag2,0.04423624006233965
logistic_regression,num__avg_wind_speed_10m_lag2,0.037317236014991
logistic_regression,num__total_precipitation_roll6_mean,0.036874154731808835
logistic_regression,num__in_out_ratio,0.03551030232831827
logistic_regression,num__avg_wind_speed_10m_roll6_mean,0.03384884193279369
logistic_regression,num__in_out_ratio_lag1,0.027929688226834313
logistic_regression,num__mean_interval_count_in_roll3_std,0.026948544263922656
logistic_regression,num__crash_happened_500m_lag2,0.02389908163945322
logistic_regression,num__max_interval_count_in,0.022717479189696858
logistic_regression,num__total_count_in_roll3_std,0.018215099659221183
logistic_regression,num__year,0.015962330483043463
logistic_regression,num__total_precipitation_change_lag1,0.013090543629923283
logistic_regression,num__avg_temperature_2m_roll6_mean,0.013055385294254908
logistic_regression,num__crash_count_500m_roll3_mean,0.010929175423614743
logistic_regression,num__mean_interval_count_out_roll3_mean,0.002316510876629495
logistic_regression,num__crash_happened_500m,0.0014428043047471821
logistic_regression,num__zero_count_intervals_in_roll3_std,0.0006115145947551212
logistic_regression,num__min_interval_count_out,0.0
logistic_regression,num__min_interval_count_in,0.0
random_forest,num__site_avg_crash_count_history,0.03558765258638695
random_forest,num__crash_count_500m_roll6_mean,0.020916869869443327
random_forest,num__station_to_weather_grid_km,0.0195685840972045
random_forest,num__crash_count_500m_roll6_sum,0.019499235273695126
random_forest,num__total_count_sum,0.016219493978994155
random_forest,num__avg_cloud_cover,0.015567926143584444
random_forest,num__avg_relative_humidity_2m,0.015172315146029165
random_forest,num__total_precipitation_lag1,0.014192997892256726
random_forest,num__mean_interval_count_in,0.014039441000843764
random_forest,num__avg_wind_speed_10m_roll3_std,0.013641087279436857
random_forest,num__total_count_in,0.013531778191837466
random_forest,num__avg_wind_speed_10m_roll6_mean,0.013443290899348597
random_forest,num__avg_temperature_2m,0.013375237291519028
random_forest,num__total_precipitation_roll3_std,0.013066980515511193
random_forest,num__avg_wind_speed_10m,0.012981210821419821
random_forest,num__avg_cloud_cover_lag2,0.012828584796038309
random_forest,num__zero_count_intervals_in,0.012744251493287425
random_forest,num__avg_cloud_cover_roll6_mean,0.012653968581099219
random_forest,num__min_temperature_2m,0.012587282739791537
random_forest,num__avg_cloud_cover_roll3_mean,0.012575939549793663
random_forest,num__avg_wind_speed_10m_lag2,0.012544457798884705
random_forest,num__avg_cloud_cover_roll3_std,0.012322720263627246
random_forest,num__avg_wind_speed_10m_lag1,0.012313158903940497
random_forest,num__avg_temperature_2m_change_lag1,0.012086985385475844
random_forest,num__total_precipitation,0.012045026457233321
random_forest,num__site_id,0.011942806425829093
random_forest,num__zero_count_intervals_in_roll3_std,0.011878208056828063
random_forest,num__total_precipitation_lag2,0.011845187670012218
random_forest,num__mean_interval_count_out,0.0116575590173575
random_forest,num__zero_count_intervals_out,0.011578370219398679
random_forest,num__total_rain,0.011555914508357086
random_forest,num__avg_temperature_2m_lag1,0.011342993669872684
random_forest,num__in_out_ratio,0.011245782841004399
random_forest,num__zero_count_intervals_out_roll3_std,0.011213777784406026
random_forest,num__avg_cloud_cover_lag1,0.011205618507559715
random_forest,num__avg_temperature_2m_roll6_mean,0.0112018524732473
random_forest,num__total_precipitation_roll3_mean,0.011153587694781116
random_forest,num__total_precipitation_roll6_mean,0.011149730739199466
random_forest,num__avg_wind_speed_10m_roll3_mean,0.011092734547435838
random_forest,num__max_temperature_2m,0.011054982152595531
random_forest,num__total_precipitation_change_lag1,0.011041013453140224
random_forest,num__avg_temperature_2m_roll3_std,0.010963929385142799
random_forest,num__crash_count_500m_roll3_mean,0.01092793472880814
random_forest,num__total_count_out,0.01090488778622001
random_forest,num__site_avg_total_count_in_history,0.01089609216299516
random_forest,num__avg_temperature_2m_lag2,0.010674808042062885
random_forest,num__avg_temperature_2m_roll3_mean,0.010635135310509504
random_forest,num__total_count_out_change_lag1,0.010378050063031798
random_forest,num__total_count_in_change_lag1,0.010348356635281004
random_forest,num__max_interval_count_in,0.010259918271170317
random_forest,num__mean_interval_count_out_roll3_std,0.01023287558038648
random_forest,num__total_count_sum_lag1,0.010135068307527846
random_forest,num__zero_count_intervals_out_lag1,0.010038109567408958
random_forest,num__site_avg_total_count_out_history,0.009809670210067716
random_forest,num__crash_count_500m_roll3_sum,0.009774942590196586
random_forest,num__total_count_out_roll3_std,0.009536965123500456
random_forest,num__total_count_in_roll6_mean,0.00950390856590573
random_forest,num__mean_interval_count_out_roll6_mean,0.009428092636794705
random_forest,num__zero_count_intervals_out_roll6_mean,0.009300292353595396
random_forest,num__max_interval_count_out,0.009238353669697186
random_forest,num__mean_interval_count_in_roll3_std,0.009096204212860459
random_forest,num__total_count_out_roll6_mean,0.008949744176956119
random_forest,num__mean_interval_count_in_roll6_mean,0.008914711077905854
random_forest,num__zero_count_intervals_in_lag1,0.008689573385816938
random_forest,num__zero_count_intervals_in_roll3_mean,0.008665179936336647
random_forest,num__in_out_ratio_lag1,0.008630339778540094
random_forest,num__total_count_in_lag2,0.00853215711659537
random_forest,num__zero_count_intervals_out_roll3_mean,0.008512861964057148
