model,feature,importance
logistic_regression,num__mean_interval_count_in,0.9508890860524715
logistic_regression,num__site_avg_crash_count_history,0.9490629734331777
logistic_regression,num__crash_count_500m_roll6_mean,0.9315942793942052
logistic_regression,num__month_cos,0.9204318156044526
logistic_regression,num__crash_count_500m_roll6_sum,0.880319515112908
logistic_regression,num__total_count_in_roll3_mean,0.712216994423687
logistic_regression,num__zero_count_intervals_in_roll3_mean,0.6447762956296388
logistic_regression,num__max_temperature_2m,0.5806029099171643
logistic_regression,num__avg_wind_speed_10m_roll6_mean,0.5779530805029196
logistic_regression,num__avg_temperature_2m_lag1,0.5675948579310924
logistic_regression,num__avg_temperature_2m_roll3_mean,0.5412340348286631
logistic_regression,num__total_count_out_roll6_mean,0.4957135852162472
logistic_regression,num__zero_count_intervals_out_lag1,0.4936193762482023
logistic_regression,num__total_precipitation_lag1,0.47166431909941836
logistic_regression,num__total_precipitation_change_lag1,0.430813031001232
logistic_regression,num__total_count_out,0.42387513959523904
logistic_regression,num__zero_count_intervals_in_lag2,0.3990382670916474
logistic_regression,num__total_count_in_lag1,0.38613134462586324
logistic_regression,num__mean_interval_count_out_roll3_mean,0.37740744266363035
logistic_regression,num__zero_count_intervals_out_roll3_mean,0.36628963560488764
logistic_regression,num__avg_temperature_2m_roll6_mean,0.3656382776233787
logistic_regression,num__avg_temperature_2m_lag2,0.3615320746734966
logistic_regression,num__zero_count_intervals_out,0.331289690204017
logistic_regression,num__weather_hours_available,0.3228739985426783
logistic_regression,num__avg_wind_speed_10m_roll3_mean,0.3185500463008433
logistic_regression,num__total_count_out_change_lag1,0.31403202683412723
logistic_regression,num__total_count_in_lag2,0.30134038277461517
logistic_regression,num__zero_count_intervals_in_lag1,0.3011258504080494
logistic_regression,num__avg_cloud_cover_roll3_mean,0.2971182989249725
logistic_regression,num__total_count_in_change_lag1,0.2944727977704571
logistic_regression,num__total_count_out_lag1,0.2909029361014683
logistic_regression,num__mean_interval_count_out_roll6_mean,0.282419328920786
logistic_regression,num__total_precipitation_lag2,0.2796606662747618
logistic_regression,num__month_sin,0.2608802351420371
logistic_regression,num__avg_temperature_2m,0.2595365350241929
logistic_regression,num__interval_count_out,0.24466645887844768
logistic_regression,num__mean_interval_count_out,0.24330119626009972
logistic_regression,num__month,0.23789362666898717
logistic_regression,num__most_common_weather_code,0.23532600979997842
logistic_regression,num__total_count_sum,0.23488992312535098
logistic_regression,num__total_precipitation_roll6_mean,0.2333913553765187
logistic_regression,num__total_precipitation_roll3_std,0.2304850669998212
logistic_regression,num__interval_count_in,0.22555116255654076
logistic_regression,num__avg_cloud_cover,0.22499504209329682
logistic_regression,num__crash_count_500m_roll3_mean,0.22328042531975176
logistic_regression,num__avg_wind_speed_10m_lag1,0.2170632396173586
logistic_regression,num__zero_count_intervals_in,0.191930227046313
logistic_regression,num__crashes_per_1000_cyclists_lag1,0.19157475793818454
logistic_regression,num__total_count_out_roll3_std,0.1897886640528395
logistic_regression,num__crash_happened_500m,0.18702150322092237
logistic_regression,num__total_count_out_roll3_mean,0.18558848230096914
logistic_regression,num__mean_interval_count_in_roll3_mean,0.18356450151723577
logistic_regression,num__crash_count_500m_roll3_sum,0.18268685065263146
logistic_regression,num__mean_interval_count_out_roll3_std,0.17812584369631607
logistic_regression,num__avg_cloud_cover_lag2,0.17091829825127955
logistic_regression,num__avg_cloud_cover_roll6_mean,0.17012883828618844
logistic_regression,num__zero_count_intervals_out_roll6_mean,0.16362257354440293
logistic_regression,num__total_count_in_roll3_std,0.1566246081301024
logistic_regression,num__station_to_weather_grid_km,0.1553219531539522
logistic_regression,num__site_id,0.15222418961217976
logistic_regression,num__mean_interval_count_in_lag1,0.15166366123492225
logistic_regression,num__mean_interval_count_in_roll3_std,0.1416775170408915
logistic_regression,num__zero_count_intervals_in_roll6_mean,0.13834516685617831
logistic_regression,num__in_out_ratio_lag1,0.13646721493280167
logistic_regression,num__total_count_out_lag2,0.13033384847353113
logistic_regression,num__mean_interval_count_out_lag1,0.1259666577922821
logistic_regression,num__avg_wind_speed_10m_roll3_std,0.12011694701415639
logistic_regression,num__total_precipitation_roll3_mean,0.11875752842026445
logistic_regression,num__total_precipitation,0.1177176230562363
logistic_regression,num__mean_interval_count_in_lag2,0.11584915595412021
logistic_regression,num__avg_wind_speed_10m,0.1106010356251042
logistic_regression,num__site_avg_total_count_out_history,0.10914780760520482
logistic_regression,num__total_count_sum_lag1,0.1077469454130572
logistic_regression,num__total_rain,0.1005510578384352
logistic_regression,num__mean_interval_count_out_lag2,0.10016340880171425
logistic_regression,num__crash_count_500m_lag2,0.09441186523833199
logistic_regression,num__crash_count_500m_roll3_std,0.09359344341006785
logistic_regression,num__avg_cloud_cover_lag1,0.08121984565180163
logistic_regression,num__site_avg_total_count_in_history,0.07544865633618926
logistic_regression,num__min_temperature_2m,0.06792850667512053
logistic_regression,num__mean_interval_count_in_roll6_mean,0.06093359426372163
logistic_regression,num__crash_happened_500m_lag2,0.059695046747091716
logistic_regression,num__total_count_in_roll6_mean,0.054815151165978286
logistic_regression,num__avg_relative_humidity_2m,0.05467025090403015
logistic_regression,num__avg_temperature_2m_roll3_std,0.0521256227445909
logistic_regression,num__in_out_ratio,0.04894545783189121
logistic_regression,num__crash_happened_500m_lag1,0.04582934659451682
logistic_regression,num__avg_cloud_cover_roll3_std,0.04477096015561424
logistic_regression,num__zero_count_intervals_in_roll3_std,0.04354788989953516
logistic_regression,num__total_snowfall,0.042595818842022876
logistic_regression,num__crash_count_500m_lag1,0.04101481960690119
logistic_regression,num__zero_count_intervals_out_lag2,0.036883439641073434
logistic_regression,num__avg_wind_speed_10m_lag2,0.029973550708875682
logistic_regression,num__max_interval_count_in,0.02838620125559847
logistic_regression,num__avg_temperature_2m_change_lag1,0.02518551301223393
logistic_regression,num__max_interval_count_out,0.021944891367856392
logistic_regression,num__crash_count_500m,0.017499657601841113
logistic_regression,num__year,0.014689611958347348
logistic_regression,num__zero_count_intervals_out_roll3_std,0.012881180940674678
logistic_regression,num__total_count_in,0.0016998329238948672
logistic_regression,num__min_interval_count_out,0.0
logistic_regression,num__min_interval_count_in,0.0
random_forest,num__site_avg_crash_count_history,0.04183820312221431
random_forest,num__station_to_weather_grid_km,0.02325924469697795
random_forest,num__crash_count_500m_roll6_mean,0.022046372434534073
random_forest,num__crash_count_500m_roll6_sum,0.021288617791229442
random_forest,num__site_id,0.01618501771061268
random_forest,num__total_count_sum,0.015555924589218603
random_forest,num__avg_wind_speed_10m_roll6_mean,0.015364766832791883
random_forest,num__site_avg_total_count_in_history,0.013908825341583289
random_forest,num__avg_cloud_cover,0.013881638832592408
random_forest,num__avg_cloud_cover_roll6_mean,0.013386886226241455
random_forest,num__site_avg_total_count_out_history,0.013144445146769507
random_forest,num__mean_interval_count_out_roll6_mean,0.013128209512616801
random_forest,num__mean_interval_count_in,0.012949241545533369
random_forest,num__total_count_out_roll6_mean,0.012830286652998561
random_forest,num__avg_wind_speed_10m,0.012808839194745963
random_forest,num__total_precipitation_roll6_mean,0.012746333591445823
random_forest,num__zero_count_intervals_in,0.012744479563679512
random_forest,num__zero_count_intervals_out_roll6_mean,0.012682095792950472
random_forest,num__avg_wind_speed_10m_roll3_std,0.012581218776615295
random_forest,num__total_precipitation_roll3_std,0.012496404116358446
random_forest,num__in_out_ratio,0.012395274001470466
random_forest,num__total_count_in,0.012218617883193564
random_forest,num__total_count_sum_lag1,0.012017144123910717
random_forest,num__zero_count_intervals_out,0.011892619944586954
random_forest,num__avg_relative_humidity_2m,0.011770383690210703
random_forest,num__zero_count_intervals_out_roll3_mean,0.01173106409711081
random_forest,num__avg_wind_speed_10m_roll3_mean,0.01119889622414468
random_forest,num__avg_temperature_2m_roll6_mean,0.011150891158373234
random_forest,num__in_out_ratio_lag1,0.011116822541763173
random_forest,num__total_precipitation,0.011020793094099006
random_forest,num__mean_interval_count_out,0.010954605219643056
random_forest,num__total_count_out,0.010953394718074765
random_forest,num__max_temperature_2m,0.010863300042619449
random_forest,num__total_count_out_roll3_mean,0.01076404046654354
random_forest,num__avg_cloud_cover_roll3_mean,0.0107279514407955
random_forest,num__min_temperature_2m,0.010694658056317445
random_forest,num__crash_count_500m_roll3_sum,0.010574191087154752
random_forest,num__zero_count_intervals_in_roll3_std,0.01057009449709472
random_forest,num__total_precipitation_roll3_mean,0.010459771459781275
random_forest,num__avg_temperature_2m,0.010438716358079402
random_forest,num__zero_count_intervals_out_roll3_std,0.010397538389372636
random_forest,num__max_interval_count_in,0.010370014077224163
random_forest,num__crash_count_500m_roll3_mean,0.010326835859248198
random_forest,num__avg_temperature_2m_roll3_mean,0.010180315643296346
random_forest,num__avg_cloud_cover_roll3_std,0.01016473295478689
random_forest,num__total_count_out_change_lag1,0.010091998414157874
random_forest,num__avg_cloud_cover_lag1,0.01006779808220743
random_forest,num__total_rain,0.010045544819682761
random_forest,num__mean_interval_count_out_roll3_std,0.009937855324292451
random_forest,num__avg_wind_speed_10m_lag1,0.00992607177388491
random_forest,num__total_count_in_roll6_mean,0.009919744663682157
random_forest,num__total_precipitation_lag2,0.009830305159481674
random_forest,num__avg_cloud_cover_lag2,0.009797168132124163
random_forest,num__total_count_out_lag2,0.009623711744439722
random_forest,num__avg_wind_speed_10m_lag2,0.009521724643835747
random_forest,num__mean_interval_count_out_roll3_mean,0.009501875187858418
random_forest,num__total_precipitation_lag1,0.009489810322159275
random_forest,num__avg_temperature_2m_lag2,0.009376200361031983
random_forest,num__mean_interval_count_in_roll3_std,0.009370139564198769
random_forest,num__zero_count_intervals_in_roll3_mean,0.009263557929701894
random_forest,num__zero_count_intervals_out_lag1,0.009244840536377325
random_forest,num__total_count_out_roll3_std,0.009143323799950743
random_forest,num__total_count_in_roll3_std,0.009134906999804042
random_forest,num__avg_temperature_2m_roll3_std,0.009046196700483976
random_forest,num__zero_count_intervals_out_lag2,0.009013871398072708
random_forest,num__zero_count_intervals_in_lag1,0.008986436256821247
random_forest,num__avg_temperature_2m_change_lag1,0.008985807336952811
