model,site_id,naam,gemeente,months_evaluated,actual_positive_months,predicted_positive_months,tn,fp,fn,tp,accuracy,precision,recall,specificity
logistic_regression,16,Kortrijk 1,Kortrijk,13,13,13,0,0,0,13,1.0,1.0,1.0,
logistic_regression,17,Kortrijk 2,Kortrijk,13,13,13,0,0,0,13,1.0,1.0,1.0,
logistic_regression,23,Tienen 3,Tienen,13,11,13,0,2,0,11,0.8461538461538461,0.8461538461538461,1.0,0.0
logistic_regression,24,Tienen 1,Tienen,13,10,13,0,3,0,10,0.7692307692307693,0.7692307692307693,1.0,0.0
logistic_regression,69,Leuven teller 1,Leuven,13,10,13,0,3,0,10,0.7692307692307693,0.7692307692307693,1.0,0.0
logistic_regression,22,Tienen 2,Tienen,13,10,12,0,3,1,9,0.6923076923076923,0.75,0.9,0.0
logistic_regression,118,Gent teller 1,Gent,13,9,13,0,4,0,9,0.6923076923076923,0.6923076923076923,1.0,0.0
logistic_regression,138,Hasselt-Kempische brug,Hasselt,13,10,12,0,3,1,9,0.6923076923076923,0.75,0.9,0.0
logistic_regression,143,Eco Display Classic Budastraat,Kortrijk,12,9,12,0,3,0,9,0.75,0.75,1.0,0.0
logistic_regression,6,Evergem 2,Evergem,13,9,12,0,4,1,8,0.6153846153846154,0.6666666666666666,0.8888888888888888,0.0
logistic_regression,7,Evergem 1,Evergem,13,9,12,0,4,1,8,0.6153846153846154,0.6666666666666666,0.8888888888888888,0.0
logistic_regression,15,Oostende 2,Oostende,13,8,13,0,5,0,8,0.6153846153846154,0.6153846153846154,1.0,0.0
logistic_regression,18,Oostende 1,Oostende,13,8,13,0,5,0,8,0.6153846153846154,0.6153846153846154,1.0,0.0
logistic_regression,77,Leuven teller 2,Leuven,13,8,13,0,5,0,8,0.6153846153846154,0.6153846153846154,1.0,0.0
logistic_regression,100,Mechelen teller 2,Mechelen,13,8,13,0,5,0,8,0.6153846153846154,0.6153846153846154,1.0,0.0
logistic_regression,107,leuven totem,Leuven,13,8,13,0,5,0,8,0.6153846153846154,0.6153846153846154,1.0,0.0
logistic_regression,115,Aalter,Aalter,13,9,12,0,4,1,8,0.6153846153846154,0.6666666666666666,0.8888888888888888,0.0
logistic_regression,137,Hasselt-Kempische brug,Hasselt,13,8,13,0,5,0,8,0.6153846153846154,0.6153846153846154,1.0,0.0
logistic_regression,25,Bree,Bree,13,9,9,2,2,2,7,0.6923076923076923,0.7777777777777778,0.7777777777777778,0.5
logistic_regression,125,Dendermonde totem,Dendermonde,13,7,13,0,6,0,7,0.5384615384615384,0.5384615384615384,1.0,0.0
logistic_regression,140,Hasselt ring,Hasselt,13,8,12,0,5,1,7,0.5384615384615384,0.5833333333333334,0.875,0.0
logistic_regression,41,Maasmechelen teller 1,Maasmechelen,13,7,11,1,5,1,6,0.5384615384615384,0.5454545454545454,0.8571428571428571,0.16666666666666666
logistic_regression,42,Maasmechelen teller 2,Maasmechelen,13,7,11,1,5,1,6,0.5384615384615384,0.5454545454545454,0.8571428571428571,0.16666666666666666
logistic_regression,13,Gent,Gent,13,6,13,0,7,0,6,0.46153846153846156,0.46153846153846156,1.0,0.0
logistic_regression,122,Dendermonde teller 2,Dendermonde,13,7,10,1,5,2,5,0.46153846153846156,0.5,0.7142857142857143,0.16666666666666666
logistic_regression,1,Machelen,Machelen,13,5,13,0,8,0,5,0.38461538461538464,0.38461538461538464,1.0,0.0
logistic_regression,26,Zaventem,Zaventem,13,5,13,0,8,0,5,0.38461538461538464,0.38461538461538464,1.0,0.0
logistic_regression,110,Herentals totem,Herentals,13,5,13,0,8,0,5,0.38461538461538464,0.38461538461538464,1.0,0.0
logistic_regression,45,Pelt teller 1,Pelt,13,5,10,2,6,1,4,0.46153846153846156,0.4,0.8,0.25
logistic_regression,46,Pelt teller 2,Pelt,13,5,10,2,6,1,4,0.46153846153846156,0.4,0.8,0.25
