radius_key,feature,importance
500m,site_avg_crash_count_history,5.45218239909908
500m,station_to_weather_grid_km,4.527937352169883
500m,total_precipitation_roll3_std,3.8692251633294013
500m,site_id,3.5369227357196564
500m,total_precipitation_lag2,2.6154261420094294
500m,total_precipitation_roll6_mean,2.5416549039072796
500m,avg_wind_speed_10m_roll6_mean,2.414233647367193
500m,avg_wind_speed_10m,2.280928389069537
500m,avg_cloud_cover_roll3_std,2.1211122593101472
500m,total_precipitation_change_lag1,2.036935405095704
500m,total_precipitation,1.9936190936579483
500m,avg_relative_humidity_2m,1.823793790051981
500m,avg_cloud_cover,1.8167618937500776
500m,total_count_sum,1.7941279258432326
500m,avg_wind_speed_10m_roll3_std,1.727859565162034
500m,total_rain,1.722010225977253
500m,total_precipitation_roll3_mean,1.5712659116564962
500m,crashes_per_1000_cyclists_lag1,1.5280658822501703
500m,min_temperature_2m,1.5180138363025608
500m,zero_count_intervals_in_roll3_std,1.5172373981814855
500m,total_snowfall,1.50531796950975
500m,total_precipitation_lag1,1.494775920113369
500m,crash_count_500m_roll6_sum,1.4711321668372226
500m,avg_temperature_2m_roll3_mean,1.407885328086636
500m,avg_temperature_2m_roll3_std,1.3706329196786848
500m,avg_cloud_cover_lag2,1.3497484067187024
500m,crash_count_500m,1.204633731794429
500m,avg_wind_speed_10m_lag2,1.1941393323841054
500m,avg_temperature_2m_lag1,1.1893566135960492
500m,avg_wind_speed_10m_roll3_mean,1.1489640511175623
500m,crash_count_500m_roll3_mean,1.1436985272396067
500m,avg_wind_speed_10m_lag1,1.1185066656410148
500m,avg_cloud_cover_roll6_mean,1.086236852672498
500m,avg_cloud_cover_roll3_mean,1.0650331345401098
500m,max_temperature_2m,1.041783878246855
500m,avg_temperature_2m,1.0056478853393682
500m,crash_count_500m_roll3_sum,0.9917631064407889
500m,crash_count_500m_roll3_std,0.9628631863610239
500m,total_count_out_change_lag1,0.9614960015460844
500m,total_count_sum_lag1,0.9160916628269268
500m,avg_temperature_2m_change_lag1,0.9143018633814238
500m,zero_count_intervals_out_roll3_std,0.9065842038369412
500m,total_count_out,0.8857486659144203
500m,crash_count_500m_roll6_mean,0.8767460937484248
500m,mean_interval_count_in_roll3_std,0.8638887933152678
500m,crash_happened_500m,0.8549595025017787
500m,mean_interval_count_in,0.8288648125267286
500m,avg_cloud_cover_lag1,0.7714725232254414
500m,zero_count_intervals_out_lag2,0.7444907685206531
500m,avg_temperature_2m_lag2,0.7380043658790587
500m,total_count_in_change_lag1,0.7268134463933538
500m,site_avg_total_count_out_history,0.7165759037795404
500m,mean_interval_count_out_roll3_std,0.7118383721160886
500m,avg_temperature_2m_roll6_mean,0.6784516500165785
500m,total_count_in_lag1,0.6695013044662096
500m,mean_interval_count_out_lag2,0.6473482510186468
500m,total_count_out_roll3_std,0.6430129924542608
500m,in_out_ratio,0.5902890578529684
500m,zero_count_intervals_in_lag2,0.5841625432007806
500m,zero_count_intervals_in,0.5707912160192491
500m,zero_count_intervals_out,0.5640970415881711
500m,mean_interval_count_out_roll3_mean,0.5585309238937703
500m,max_interval_count_out,0.5430753532122244
500m,year,0.53833149116647
500m,total_count_out_roll6_mean,0.5153338846511616
500m,zero_count_intervals_out_roll3_mean,0.5035485333307617
500m,mean_interval_count_in_lag2,0.4980537327057431
500m,zero_count_intervals_in_roll6_mean,0.4920500063449272
500m,in_out_ratio_lag1,0.47772279124747297
500m,site_avg_total_count_in_history,0.4663536087246433
500m,most_common_weather_code,0.4430888890271759
500m,total_count_in_roll3_std,0.4302861997002306
500m,max_interval_count_in,0.4032371104123888
500m,crash_count_500m_lag1,0.3781343850485136
500m,total_count_in_roll6_mean,0.37714387898909174
500m,mean_interval_count_out_roll6_mean,0.36439549866578197
500m,zero_count_intervals_out_roll6_mean,0.3508378971852425
500m,zero_count_intervals_out_lag1,0.34908089937934167
500m,month_cos,0.34559913736594167
500m,mean_interval_count_out,0.32982384371476675
500m,total_count_out_roll3_mean,0.3060749849866981
500m,crash_happened_500m_lag2,0.29112797232719506
500m,total_count_in,0.2738452172013158
500m,mean_interval_count_in_roll6_mean,0.26201734286553385
500m,total_count_out_lag2,0.26201671859725245
500m,crash_count_500m_lag2,0.25250651110274475
500m,zero_count_intervals_in_lag1,0.2508419758676012
500m,total_count_out_lag1,0.2506712463062063
500m,month_sin,0.24475870455964396
500m,zero_count_intervals_in_roll3_mean,0.22652916767152698
500m,month,0.21898053037425783
500m,total_count_in_roll3_mean,0.21789466711046815
500m,mean_interval_count_out_lag1,0.19375803535675945
500m,mean_interval_count_in_lag1,0.18720820795958643
500m,weather_hours_available,0.17631802406952993
500m,interval_count_in,0.1376735223440811
500m,mean_interval_count_in_roll3_mean,0.13761770646701862
500m,interval_count_out,0.0852088230509853
500m,crash_happened_500m_lag1,0.06719576199420373
500m,total_count_in_lag2,0.06616218266445706
500m,min_interval_count_out,0.0
500m,min_interval_count_in,0.0
