group_id,year,month,interval_count_in,interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,max_interval_count_in,max_interval_count_out,min_interval_count_in,min_interval_count_out,mean_interval_count_in,mean_interval_count_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,bike_crash_count_1km_grouped,bike_crash_happened_1km_grouped,month_sin,month_cos,total_count_in_lag1,total_count_in_lag2,total_count_in_roll3_mean,total_count_in_roll6_mean,total_count_in_roll3_std,total_count_out_lag1,total_count_out_lag2,total_count_out_roll3_mean,total_count_out_roll6_mean,total_count_out_roll3_std,mean_interval_count_in_lag1,mean_interval_count_in_lag2,mean_interval_count_in_roll3_mean,mean_interval_count_in_roll6_mean,mean_interval_count_in_roll3_std,mean_interval_count_out_lag1,mean_interval_count_out_lag2,mean_interval_count_out_roll3_mean,mean_interval_count_out_roll6_mean,mean_interval_count_out_roll3_std,zero_count_intervals_in_lag1,zero_count_intervals_in_lag2,zero_count_intervals_in_roll3_mean,zero_count_intervals_in_roll6_mean,zero_count_intervals_in_roll3_std,zero_count_intervals_out_lag1,zero_count_intervals_out_lag2,zero_count_intervals_out_roll3_mean,zero_count_intervals_out_roll6_mean,zero_count_intervals_out_roll3_std,avg_temperature_2m_lag1,avg_temperature_2m_lag2,avg_temperature_2m_roll3_mean,avg_temperature_2m_roll6_mean,avg_temperature_2m_roll3_std,total_precipitation_lag1,total_precipitation_lag2,total_precipitation_roll3_mean,total_precipitation_roll6_mean,total_precipitation_roll3_std,avg_wind_speed_10m_lag1,avg_wind_speed_10m_lag2,avg_wind_speed_10m_roll3_mean,avg_wind_speed_10m_roll6_mean,avg_wind_speed_10m_roll3_std,avg_cloud_cover_lag1,avg_cloud_cover_lag2,avg_cloud_cover_roll3_mean,avg_cloud_cover_roll6_mean,avg_cloud_cover_roll3_std,bike_crash_count_1km_grouped_lag1,bike_crash_count_1km_grouped_lag2,bike_crash_count_1km_grouped_roll3_mean,bike_crash_count_1km_grouped_roll6_mean,bike_crash_count_1km_grouped_roll3_std,bike_crash_happened_1km_grouped_lag1,bike_crash_happened_1km_grouped_lag2,bike_crash_count_1km_grouped_roll3_sum,bike_crash_count_1km_grouped_roll6_sum,total_count_in_change_lag1,total_count_out_change_lag1,avg_temperature_2m_change_lag1,total_precipitation_change_lag1,in_out_ratio,in_out_ratio_lag1,total_count_sum,total_count_sum_lag1,bike_crashes_per_1000_cyclists_lag1,group_avg_bike_crash_count_history,group_avg_total_count_in_history,group_avg_total_count_out_history,target_bike_crash_count_next_month_1km_grouped,target_bike_crash_happened_next_month_1km_grouped,predicted_probability,predicted_label,group_name,gemeente,group_lat,group_long,member_site_count,member_site_ids
1,2024,11,8640.0,8640.0,18558.0,18733.0,3793.0,3856.0,55.0,70.0,0.0,0.0,2.1479166666666667,2.1681712962962965,720.0,7.483958333333333,-0.3,17.55,86.70282787916669,60.4,57.800000044,1.81999996,79.36944444444444,12.41626979826389,3.0,0.3814480416158081,0.0,0,-0.5000000000000004,0.8660254037844384,28888.0,28821.0,27315.33333333333,25181.5,2666.1253408895736,28149.0,27653.0,26313.33333333333,24331.166666666668,2761.079559399427,3.3435185185185183,3.228158602150537,3.095464954201514,2.8674830744723216,0.3347436441702424,3.2579861111111112,3.097334229390681,2.9823140681003597,2.7704755326563126,0.3477535846706751,3098.0,2844.0,3065.6666666666665,3228.5,207.3989713892779,3138.0,2911.0,3089.333333333333,3290.5,159.663187157646,15.617638888888887,19.641397849462365,17.85128733572282,15.707077732974913,2.048219584607309,86.2,67.70000000000002,71.76666666666664,83.96666666666667,12.890435730933849,13.856415019027782,11.90382763252688,12.5492402336589,13.034426424309066,1.1320760870388098,60.38055555555555,60.16532258064516,62.53769414575865,66.92373058542414,3.9241467854438494,0.0,0.0,0.3333333333333333,0.1666666666666666,0.5773502691896258,0.0,0.0,1.0,1.0,-10330.0,-9416.0,-8.133680555555557,-25.800000000000004,0.990658196765067,1.0262531528651109,37291.0,57037.0,0.0,0.7166666666666667,18333.25,17541.266666666666,0.0,0.0,0.4066535722281996,1,Aalst 2,Aalst,50.93455666666667,4.015630000000001,3,"10,11,19"
2,2024,11,2880.0,2880.0,8532.0,8043.0,926.0,1103.0,58.0,65.0,0.0,0.0,2.9625,2.792708333333333,720.0,7.683263888888889,-0.2,17.85,85.96276235833334,70.6,63.499999782,4.97000006,80.34444444444445,12.801493604916669,3.0,5.003043045547279,0.0,0,-0.5000000000000004,0.8660254037844384,12828.0,14443.0,13204.666666666666,12267.833333333334,1099.5036759071547,12281.0,13080.0,12127.666666666666,11499.833333333334,1037.5328107261655,4.454166666666667,4.853158602150538,4.484946236559139,4.187783751493429,0.3538280795177095,4.264236111111111,4.395161290322581,4.121008811230586,3.9268574522102746,0.3673414767750227,749.0,632.0,707.6666666666666,759.0,65.62265868839366,855.0,741.0,798.6666666666666,833.6666666666666,57.01169470672923,15.745416666666667,19.47090053763441,17.711017025089607,15.520570863201913,1.871242123221549,102.2,51.3,86.69999999999999,91.1,30.7361350855959,14.974770966527778,13.441496636787637,13.82233964398148,14.328039873964308,1.0169778458016765,62.36527777777778,60.94489247311828,63.48511051373955,67.15373357228195,3.248284527069419,0.0,1.0,0.3333333333333333,0.5,0.5773502691896258,0.0,1.0,1.0,3.0,-4296.0,-4238.0,-8.06215277777778,-31.60000000000001,1.0607982096232749,1.04454034687729,16575.0,25109.0,0.0,0.6,10289.92,9351.92,0.0,0.0,0.3254505448418005,0,Aalter,Aalter,51.1058367,3.4350591,1,115
3,2024,11,2880.0,2880.0,9851.0,11262.0,1092.0,902.0,115.0,106.0,0.0,0.0,3.420486111111111,3.910416666666667,720.0,7.190486111111112,-1.3,17.6,86.64464732222223,62.7,56.400000042,4.4099999400000005,77.93888888888888,12.013453760972222,3.0,1.7224040967010288,0.0,0,-0.5000000000000004,0.8660254037844384,13613.0,9851.0,10857.333333333334,10936.5,2415.2197277542537,15371.0,12573.0,12926.333333333334,13138.833333333334,2288.5491765162774,4.726736111111111,3.310147849462365,3.69912261051374,3.740740740740741,0.8986518544447178,5.337152777777778,4.224798387096774,4.40091472520908,4.4918328106332135,0.8617841018537756,915.0,813.0,838.0,904.0,68.0367547726964,722.0,614.0,698.3333333333334,732.6666666666666,75.3414449910098,15.67798611111111,19.644489247311828,17.925480137395457,15.868248954599762,2.0353768723491643,92.9,113.2,101.8,109.2,10.378342834961698,13.033025762361111,11.21590781048387,11.987090064684883,12.400777784705047,0.9391999274833251,58.7875,58.91532258064516,60.90586917562724,65.78596176821983,3.55899933415318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3762.0,-4109.0,-8.487499999999997,-30.200000000000003,0.8747114189309181,0.8856287814716024,21113.0,28984.0,0.0,0.1481481481481481,10148.333333333334,12109.777777777776,0.0,0.0,0.10697641156542052,0,Aarschot,Aarschot,50.99084,4.81259,1,87
4,2024,11,5760.0,5760.0,8879.0,164.0,2587.0,5606.0,24.0,2.0,0.0,0.0,1.5414930555555555,0.0284722222222222,720.0,7.643333333333333,-0.6,17.9,86.13606685833332,61.3,59.40000022,1.33000002,80.94027777777778,12.389985789333334,3.0,4.55311333352219,1.0,1,-0.5000000000000004,0.8660254037844384,10966.0,10254.0,10080.0,8105.833333333333,984.5994109281175,225.0,215.0,219.66666666666663,216.66666666666663,5.033222956848943,1.9038194444444445,1.7227822580645162,1.7140195639187574,1.384739023297491,0.1943294567434531,0.0390625,0.0361223118279569,0.0373263888888888,0.0370230361409796,0.0015406076056766,2245.0,2217.0,2269.6666666666665,2787.1666666666665,68.42026990105241,5568.0,5755.0,5692.333333333333,5664.166666666667,107.67698608956864,15.62520833333333,19.365860215053765,17.6789896953405,15.513260155316608,1.897125931428728,93.9,53.8,74.00000000000001,79.51666666666667,20.05168322111636,13.919146683430556,12.221672575806451,12.635854238742086,13.164093334356856,1.1344028163456212,62.84444444444444,61.58602150537634,63.98623058542413,67.24273446833931,3.13132634561274,0.0,1.0,0.3333333333333333,0.5,0.5773502691896257,0.0,1.0,1.0,3.0,-2087.0,-61.0,-7.981874999999997,-32.60000000000001,54.14024390243903,48.73777777777778,9043.0,11191.0,0.0,0.2222222222222222,6802.481481481482,190.2962962962963,0.0,0.0,0.12752393631065598,0,Ardooie teller 1,Ardooie,50.967835,3.18445,2,"59,60"
5,2024,11,2880.0,2880.0,5283.0,4383.0,1654.0,1761.0,49.0,36.0,0.0,0.0,1.834375,1.521875,720.0,6.9546527777777785,-1.75,17.35,86.24872678055556,69.5,64.799999964,3.29000002,77.65694444444445,11.842645276847222,3.0,2.212521302691376,0.0,0,-0.5000000000000004,0.8660254037844384,19152.0,20728.0,18662.666666666668,14674.0,2348.549623349135,17750.0,19456.0,16996.666666666668,13092.166666666666,2910.0737676789754,6.65,6.96505376344086,6.342562724014338,5.004409348864994,0.8206032673092308,6.163194444444445,6.537634408602151,5.777516427718041,4.4643238500597375,1.009795856990315,1248.0,1094.0,1188.0,1264.0,82.43785538209904,1325.0,1186.0,1265.0,1352.5,71.421285342677,15.845972222222226,19.99952956989248,18.14097371565114,16.0463201911589,2.110893947376532,102.9,78.8,93.36666666666667,107.73333333333332,12.814184848570507,12.542976713750004,10.828706732930108,11.534627338799282,11.904768530052792,0.8962576426794133,57.42916666666667,58.04838709677419,60.27163978494624,66.0704898446834,4.397958838470126,1.0,0.0,0.3333333333333333,0.1666666666666666,0.5773502691896258,1.0,0.0,1.0,1.0,-13869.0,-13367.0,-8.891319444444449,-33.400000000000006,1.2053388090349075,1.0789859154929575,9666.0,36902.0,0.0270988022329413,0.25,9960.25,9086.142857142857,0.0,0.0,0.11698130704542944,0,As,As,51.00509,5.60389,1,48
6,2024,11,2880.0,2880.0,2211.0,137.0,1798.0,2756.0,12.0,4.0,0.0,0.0,0.7677083333333333,0.0475694444444444,720.0,7.417291666666666,-1.45,17.55,86.41893182361112,59.2,58.10000006,0.77,78.64722222222223,12.055056795194444,3.0,3.8998594812192136,0.0,0,-0.5000000000000004,0.8660254037844384,3233.0,3266.0,4422.666666666667,3442.6666666666665,2032.0512624767453,316.0,198.0,907.0,527.6666666666666,1127.3779313078644,1.1225694444444445,1.0974462365591398,1.4981817502986858,1.1721195489844682,0.6724542710360562,0.1097222222222222,0.0665322580645161,0.3059513142174432,0.1784964904420549,0.3778998875226997,1464.0,1469.0,1520.3333333333333,1612.6666666666667,93.27557736799844,2678.0,2833.0,2762.333333333333,2773.1666666666665,78.39855440844165,15.581180555555552,19.588306451612905,17.82497685185185,15.693328479689368,2.046313923026721,103.2,67.9,82.56666666666666,90.1,18.39084917379655,13.856304714305557,11.839321090994623,12.482208146076765,12.945722804159947,1.1908216693793066,60.33472222222223,59.31586021505376,62.32976403823178,66.86505376344086,4.367685000050402,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,-1022.0,-179.0,-8.163888888888888,-44.0,16.138686131386862,10.231012658227847,2348.0,3549.0,0.0,0.1111111111111111,2568.6666666666665,222.55555555555557,0.0,0.0,0.07449118219123624,0,Asse teller 1,Asse,50.89621,4.17294,1,85
7,2024,11,2880.0,2880.0,1995.0,52.0,1839.0,2830.0,11.0,2.0,0.0,0.0,0.6927083333333334,0.0180555555555555,720.0,7.417291666666666,-1.45,17.55,86.41893182361112,59.2,58.10000006,0.77,78.64722222222223,12.055056795194444,3.0,3.3540687190500025,0.0,0,-0.5000000000000004,0.8660254037844384,2920.0,2773.0,2694.333333333333,2585.0,273.6171290934353,109.0,144.0,124.0,226.16666666666663,18.027756377320333,1.0138888888888888,0.931787634408602,0.9162559737156512,0.8831205197132617,0.1062535642698162,0.0378472222222222,0.0483870967741935,0.0420736260454001,0.0774660244922341,0.0055712767921017,1568.0,1564.0,1604.3333333333333,1645.3333333333333,66.4253967495355,2779.0,2847.0,2830.0,2741.333333333333,44.9777722880978,15.581180555555552,19.588306451612905,17.82497685185185,15.693328479689368,2.046313923026721,103.2,67.9,82.56666666666666,90.1,18.39084917379655,13.856304714305557,11.839321090994623,12.482208146076765,12.945722804159947,1.1908216693793066,60.33472222222223,59.31586021505376,62.32976403823178,66.86505376344086,4.367685000050402,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,-925.0,-57.0,-8.163888888888888,-44.0,38.36538461538461,26.788990825688074,2047.0,3029.0,0.0,0.1481481481481481,2212.703703703704,125.92592592592592,0.0,0.0,0.06773143710886208,0,Asse teller 2,Asse,50.89132,4.1709,1,86
8,2024,11,5760.0,5760.0,246.0,7981.0,5562.0,2640.0,6.0,19.0,0.0,0.0,0.0427083333333332,1.3855902777777778,720.0,7.055277777777778,-3.0,17.6,86.58390885555556,63.6,55.80000005,5.46,78.76388888888889,11.671372225902775,3.0,2.406831364712338,0.0,0,-0.5000000000000004,0.8660254037844384,397.0,477.0,417.6666666666667,343.3333333333333,52.16640042530569,13686.0,16809.0,15038.333333333334,13564.666666666666,1602.9767101655966,0.068923611111111,0.080141129032258,0.0709136051373954,0.0585274790919951,0.0084109783037844,2.3760416666666666,2.824092741935484,2.5521505376344087,2.313773148148148,0.2389047139462038,5474.0,5560.0,5558.666666666667,5573.833333333333,84.0079361330402,2024.0,1706.0,1862.3333333333333,2011.5,159.06707180725627,15.808541666666668,19.79422043010753,18.04491711469534,15.966820489844684,2.036992451658713,91.4,118.6,101.76666666666668,115.31666666666666,14.707934366638042,13.11017942125,11.27232963642473,12.084208504775988,12.435557997167264,0.9374430711769286,59.13333333333333,58.53629032258065,60.94543010752688,65.91193249701315,3.66786636279676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151.0,-5705.0,-8.75326388888889,-27.800000000000004,0.0308232051121413,0.02900774514102,8227.0,14083.0,0.0,0.1,208.86666666666667,8960.75,0.0,0.0,0.09720399577509335,0,Balen 1,Balen,51.160205,5.19007,2,"4,5"
9,2024,11,5760.0,5760.0,2510.0,355.0,4109.0,5456.0,9.0,4.0,0.0,0.0,0.4357638888888888,0.0616319444444443,720.0,7.175347222222222,-1.5,17.1,87.14487473472222,62.0,59.20000001,1.96,77.43611111111112,12.54668836261111,3.0,3.644723431542368,0.0,0,-0.5000000000000004,0.8660254037844384,4101.0,4337.0,3961.3333333333335,5013.0,461.6279165446331,553.0,561.0,529.0,962.6666666666666,48.66210024238101,0.7119791666666667,0.7286626344086021,0.6732022849462366,0.8598958333333333,0.0820370424242829,0.0960069444444443,0.0942540322580645,0.0899100209080047,0.1657276732377538,0.0090844931758116,3509.0,3468.0,3575.0,3543.833333333333,151.21838512561737,5318.0,5458.0,5438.0,5304.166666666667,111.3552872565988,15.350625,19.42385752688172,17.625611559139784,15.475966248506571,2.0780440318065034,111.5,60.5,88.56666666666666,95.03333333333336,25.884615765611294,14.910415405694446,12.749393354435483,13.427348942444748,13.802763422521656,1.285945845508094,60.56944444444444,58.956989247311824,62.12574671445639,66.87762843488649,4.170688801680239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1591.0,-198.0,-8.17527777777778,-49.5,7.070422535211268,7.415913200723327,2865.0,4654.0,0.0,0.037037037037037,3523.074074074074,551.8888888888889,0.0,0.0,0.06376929166489936,0,Beersel teller 1,Beersel,50.751515,4.3332,2,"82,83"
10,2024,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,720.0,7.430902777777778,-1.2,17.6,86.01612335972223,79.7,65.899999884,9.65999981,79.3625,12.052375170833336,3.0,2.631733783321168,0.0,0,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602.0,2976.0,2819.333333333333,2881.0,194.24040087822453,2602.0,2976.0,2819.333333333333,2881.0,194.24040087822453,19.74798387096774,18.38454301075269,17.929939516129036,14.709853643966548,2.082891963250942,56.7,86.8,74.60000000000001,93.61666666666666,15.838876222762744,12.433384549422044,12.639622905188173,12.686846291508962,13.643275815206394,0.2800753910672125,60.3508064516129,66.70564516129032,63.329465352449226,69.59069593787336,3.196014848327437,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-12.317081093189962,23.0,,,0.0,0.0,,0.217391304347826,7187.95652173913,2954.521739130435,0.0,0.0,0.08680467464837187,0,Beveren teller 1,Beveren,51.19646335,4.2361924,2,"123,124"
