trial,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,loss_function,eval_metric,verbose,random_seed,use_best_model,best_iteration,validation_roc_auc,validation_best_f1_threshold,validation_best_f1
19,315,4,0.022627028693301514,12.928915094328989,1.5126239291148593,2.7159827242229575,225,Logloss,AUC,False,42,True,56,0.7757274729570245,0.43,0.5835051546391753
36,759,4,0.042969166830593875,16.931720851757053,0.5899505877256418,1.0691988668617523,254,Logloss,AUC,False,42,True,28,0.772962098489803,0.41,0.5938945420906568
30,695,4,0.023552034517773834,17.59835265716303,1.5046766370086597,1.1167872584412597,206,Logloss,AUC,False,42,True,58,0.7726567139495899,0.37,0.5862676056338029
29,460,4,0.023766235986158984,17.94222251925558,1.0962081003487212,1.1472033694933774,209,Logloss,AUC,False,42,True,60,0.7726285246074165,0.36,0.5770212765957446
31,655,4,0.024710607356233722,17.4063276680205,1.21693305928532,1.1194525161857776,206,Logloss,AUC,False,42,True,59,0.7723945530673763,0.36,0.576889661164205
21,298,4,0.0208467697811625,11.366073805073874,1.4623318655862017,2.7916284942944958,220,Logloss,AUC,False,42,True,56,0.7721906501589879,0.39,0.5851917930419268
26,304,5,0.016182759806496125,19.705234358838794,1.0243776333235022,2.0993447115695574,236,Logloss,AUC,False,42,True,39,0.7715216231047366,0.46,0.5795339412360689
33,751,4,0.024445273943640038,18.045721983201666,0.7951959888272055,1.047733334302256,205,Logloss,AUC,False,42,True,48,0.7714802787362154,0.38,0.5776997366110623
25,492,5,0.015433835026392884,16.07485680616361,2.0579331435076536,2.319713044014553,222,Logloss,AUC,False,42,True,23,0.7706843996421833,0.45,0.581945661700263
27,298,6,0.011579606023404472,19.526810673447464,0.7269732748510814,1.9327179863378041,238,Logloss,AUC,False,42,True,151,0.7706195641551843,0.34,0.5740585774058578
24,512,4,0.014849573010964554,16.04992613655724,2.409076850650293,2.504136342725644,221,Logloss,AUC,False,42,True,233,0.7702624991543197,0.32,0.578125
12,573,4,0.02939982150971868,5.334842235871838,4.047585106091835,4.9263196038318595,94,Logloss,AUC,False,42,True,139,0.770185448285712,0.37,0.5745310957551826
28,333,5,0.018345759298762917,12.597194985859566,3.2375214420671923,3.326534066695115,165,Logloss,AUC,False,42,True,149,0.7685824143607785,0.37,0.576271186440678
23,321,6,0.022579805538659084,14.888278794407,1.5251412470308336,3.379081812186103,253,Logloss,AUC,False,42,True,26,0.7685551646633441,0.43,0.5877192982456141
16,209,5,0.03725711945533929,3.990731916631324,1.036316598808667,1.4207201504904856,151,Logloss,AUC,False,42,True,20,0.7683785114523902,0.41,0.5755138516532619
34,633,5,0.0350743088628446,16.31896902846832,2.7920013472705687,1.3122304511851988,169,Logloss,AUC,False,42,True,92,0.7678043885167896,0.35,0.5716911764705882
37,825,5,0.058748752529267936,14.98172413307138,0.3888166399418922,0.5569985206109525,253,Logloss,AUC,False,42,True,17,0.7676822347007044,0.39,0.5724572457245725
22,312,4,0.1930688598340676,11.736385441037704,2.5037702385420264,2.786397750218624,215,Logloss,AUC,False,42,True,14,0.76719737801532,0.38,0.5779467680608364
17,248,5,0.020236569458614198,7.049914256572591,3.085044232185778,1.514303114105552,148,Logloss,AUC,False,42,True,243,0.7671748265415812,0.4,0.5711340206185567
0,438,9,0.03326194787971819,3.9613177373449435,0.7114883262949778,0.32717399737661357,102,Logloss,AUC,False,42,True,53,0.7655793097745606,0.43,0.5844287158746209
35,451,8,0.029412566608529672,18.387064131092945,1.822391520784009,0.4377345683694296,196,Logloss,AUC,False,42,True,61,0.764893369115005,0.38,0.5746724890829694
11,581,4,0.024980372370163914,6.168340365136583,4.454914492555474,4.709277343800427,104,Logloss,AUC,False,42,True,69,0.763592900796067,0.37,0.5699020480854853
38,751,7,0.04288232105305958,17.00263542086268,3.6081455538649108,1.5965777995502717,242,Logloss,AUC,False,42,True,64,0.7625179472145172,0.32,0.5735294117647058
18,712,5,0.038455324270188114,3.2274496967854205,5.2110976553915975,3.882060328786318,148,Logloss,AUC,False,42,True,210,0.7624578099512137,0.31,0.5694323144104804
20,541,4,0.010033082419533166,14.17613853519975,4.210266089495515,4.039803832998037,231,Logloss,AUC,False,42,True,66,0.7623168632403461,0.42,0.5667244367417678
13,378,4,0.051220631226236164,4.989054088592451,3.201843932820873,3.9070490165992275,88,Logloss,AUC,False,42,True,55,0.762299949635042,0.37,0.574468085106383
4,913,6,0.015197129261077066,9.4444641566157,3.7619343206256097,4.5895210933192185,184,Logloss,AUC,False,42,True,44,0.7622661224244337,0.44,0.5694305694305695
32,676,4,0.02652495403676481,17.65657410458827,0.11228839901202625,1.0341497399488795,203,Logloss,AUC,False,42,True,57,0.7616854219756595,0.32,0.5697959183673469
14,683,7,0.031027636569583444,1.1276334404860302,5.8060895229821075,1.6841278808022007,45,Logloss,AUC,False,42,True,78,0.7607626908418466,0.36,0.5799256505576208
3,1152,9,0.012106394885766918,10.601411982270621,2.4356290666753333,0.6226289498004889,60,Logloss,AUC,False,42,True,77,0.7590788474693488,0.39,0.5709677419354838
8,206,6,0.14236200645191155,12.440255225682327,1.9078991203505036,0.7318257682048751,175,Logloss,AUC,False,42,True,9,0.7590722699561749,0.38,0.5803996194100857
15,414,8,0.06197041630219965,5.879578660488757,0.07923621919773627,2.9364392474454832,128,Logloss,AUC,False,42,True,16,0.7576881732554557,0.43,0.5821325648414986
39,928,6,0.07205989802591792,13.558732688452846,2.1613088900266133,0.014552495201142879,185,Logloss,AUC,False,42,True,47,0.756696848055687,0.35,0.5557553956834532
1,1174,9,0.030099241397719346,17.244714044401466,5.93996622820015,0.12749847239583112,246,Logloss,AUC,False,42,True,44,0.756117087251652,0.39,0.5614334470989761
7,849,9,0.09369019883736118,8.173054083221803,1.5380759519122755,2.3200224107360805,185,Logloss,AUC,False,42,True,33,0.7508644731599876,0.35,0.5578583765112263
5,849,9,0.018714912417170156,18.952373786182502,7.654759902928431,0.8376210854559096,131,Logloss,AUC,False,42,True,94,0.7504153229746897,0.4,0.55893536121673
10,580,10,0.04534436257693652,1.5444629838711639,9.822748505056076,1.9418811037164638,110,Logloss,AUC,False,42,True,246,0.7481113140743748,0.24,0.5618556701030928
6,987,9,0.11925274620819361,13.903101026535367,0.26868956868098315,3.2677346061199164,67,Logloss,AUC,False,42,True,16,0.7421868539942419,0.41,0.5797101449275363
2,421,5,0.07431990167802967,9.334341645471028,7.9571581735069055,0.19598910476388176,192,Logloss,AUC,False,42,True,31,0.7414830600846432,0.36,0.5582255083179297
9,1032,7,0.11187871729584518,3.2992612727345367,7.100321613393794,0.1698704998447198,201,Logloss,AUC,False,42,True,24,0.7413308376369062,0.33,0.5540983606557377
