group_id,group_name,gemeente,lat,long,member_site_count,member_site_ids,year,month,predicted_probability,predicted_label,forecast_risk_rank,risk_label,hidden_risk_spot
51,Eco Display Classic Budastraat,Kortrijk,50.83066,3.26286,1,143,2024,11,0.9924550301243507,1,1,Higher risk,False
58,leuven totem,Leuven,50.8868972,4.70837595,2,"77,107",2024,11,0.9858482342178387,1,2,Higher risk,False
57,Leuven teller 1,Leuven,50.87549,4.71526,1,69,2024,11,0.981741814673113,1,3,Higher risk,False
52,Kortrijk 1,Kortrijk,50.833355,3.27775,2,"16,17",2024,11,0.96253876235709,1,4,Higher risk,False
21,Dendermonde totem,Dendermonde,51.0373312,4.102261,2,"122,125",2024,11,0.9474369943579051,1,5,Higher risk,False
77,Oostende 2,Oostende,51.213745,2.92754,2,"15,18",2024,11,0.9418556268668126,1,6,Higher risk,False
74,Nieuwpoort totem,Nieuwpoort,51.134995,2.74329,2,"63,66",2024,11,0.8619203297114615,1,7,Higher risk,True
75,Nieuwpoort teller 1,Nieuwpoort,51.13397,2.75624,2,"64,65",2024,11,0.8586679090870909,1,8,Higher risk,True
82,Tienen 2,Tienen,50.81330918367914,4.935166168467146,3,"22,23,24",2024,11,0.8463946515939477,1,9,Higher risk,True
35,Gent teller 1,Gent,51.02811425,3.76826385,2,"118,119",2024,11,0.8084179557023135,1,10,Higher risk,False
69,Mechelen teller 1,Mechelen,51.04567,4.468825,2,"99,100",2024,11,0.7944361182553049,1,11,Higher risk,False
54,Tervuren,Kraainem,50.81896,4.47803,1,12,2024,11,0.7885223534936594,1,12,Higher risk,True
30,Evergem 2,Evergem,51.10892,3.703075,2,"6,7",2024,11,0.7673923340440958,1,13,Higher risk,False
23,Diest teller 1,Diest,50.977945,5.044775,2,"101,102",2024,11,0.7108795029036888,1,14,Higher risk,True
19,Deinze teller 2,Deinze,50.96018,3.55578,1,113,2024,11,0.7072436183117513,1,15,Higher risk,True
92,Zele teller 1,Zele,51.0605869,4.055221850000001,2,"120,121",2024,11,0.688462841409401,1,16,Higher risk,False
73,Deinze teller 1,Nazareth,50.9598305,3.555502,1,114,2024,11,0.6185124443531443,1,17,Higher risk,True
17,Brugge teller 1,Brugge,51.23019,3.22809,2,"53,54",2024,11,0.593430806647839,1,18,Higher risk,False
36,Gent R4,Gent,51.0876313,3.7587918,1,136,2024,11,0.5435220250947473,1,19,Higher risk,False
