group_id,year,month,interval_count_in,interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,max_interval_count_in,max_interval_count_out,min_interval_count_in,min_interval_count_out,mean_interval_count_in,mean_interval_count_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,rainy_days,heavy_rain_days,frost_days,storm_days,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,bike_crash_count_1km_grouped,bike_crash_happened_1km_grouped,month_sin,month_cos,total_count_in_lag1,total_count_in_lag2,total_count_in_roll3_mean,total_count_in_roll6_mean,total_count_in_roll3_std,total_count_out_lag1,total_count_out_lag2,total_count_out_roll3_mean,total_count_out_roll6_mean,total_count_out_roll3_std,mean_interval_count_in_lag1,mean_interval_count_in_lag2,mean_interval_count_in_roll3_mean,mean_interval_count_in_roll6_mean,mean_interval_count_in_roll3_std,mean_interval_count_out_lag1,mean_interval_count_out_lag2,mean_interval_count_out_roll3_mean,mean_interval_count_out_roll6_mean,mean_interval_count_out_roll3_std,zero_count_intervals_in_lag1,zero_count_intervals_in_lag2,zero_count_intervals_in_roll3_mean,zero_count_intervals_in_roll6_mean,zero_count_intervals_in_roll3_std,zero_count_intervals_out_lag1,zero_count_intervals_out_lag2,zero_count_intervals_out_roll3_mean,zero_count_intervals_out_roll6_mean,zero_count_intervals_out_roll3_std,avg_temperature_2m_lag1,avg_temperature_2m_lag2,avg_temperature_2m_roll3_mean,avg_temperature_2m_roll6_mean,avg_temperature_2m_roll3_std,total_precipitation_lag1,total_precipitation_lag2,total_precipitation_roll3_mean,total_precipitation_roll6_mean,total_precipitation_roll3_std,avg_wind_speed_10m_lag1,avg_wind_speed_10m_lag2,avg_wind_speed_10m_roll3_mean,avg_wind_speed_10m_roll6_mean,avg_wind_speed_10m_roll3_std,avg_cloud_cover_lag1,avg_cloud_cover_lag2,avg_cloud_cover_roll3_mean,avg_cloud_cover_roll6_mean,avg_cloud_cover_roll3_std,rainy_days_lag1,rainy_days_lag2,rainy_days_roll3_mean,rainy_days_roll6_mean,rainy_days_roll3_std,heavy_rain_days_lag1,heavy_rain_days_lag2,heavy_rain_days_roll3_mean,heavy_rain_days_roll6_mean,heavy_rain_days_roll3_std,frost_days_lag1,frost_days_lag2,frost_days_roll3_mean,frost_days_roll6_mean,frost_days_roll3_std,storm_days_lag1,storm_days_lag2,storm_days_roll3_mean,storm_days_roll6_mean,storm_days_roll3_std,bike_crash_count_1km_grouped_lag1,bike_crash_count_1km_grouped_lag2,bike_crash_count_1km_grouped_roll3_mean,bike_crash_count_1km_grouped_roll6_mean,bike_crash_count_1km_grouped_roll3_std,bike_crash_happened_1km_grouped_lag1,bike_crash_happened_1km_grouped_lag2,bike_crash_count_1km_grouped_roll3_sum,bike_crash_count_1km_grouped_roll6_sum,total_count_in_change_lag1,total_count_out_change_lag1,avg_temperature_2m_change_lag1,total_precipitation_change_lag1,in_out_ratio,in_out_ratio_lag1,total_count_sum,total_count_sum_lag1,bike_crashes_per_1000_cyclists_lag1,group_avg_bike_crash_count_history,group_avg_total_count_in_history,group_avg_total_count_out_history,target_bike_crash_count_next_month_1km_grouped,target_bike_crash_happened_next_month_1km_grouped,predicted_probability,predicted_label,group_name,gemeente,group_lat,group_long,member_site_count,member_site_ids
1,2024,11,8640.0,8640.0,18558.0,18733.0,3793.0,3856.0,55.0,70.0,0.0,0.0,2.1479166666666667,2.1681712962962965,720.0,7.483958333333333,-0.3,17.55,86.70282787916669,60.4,57.800000044,1.81999996,79.36944444444444,120.0,0.0,7.0,0.0,12.41626979826389,3.0,0.3814480416158081,0.0,0,-0.5000000000000004,0.8660254037844384,26711.0,28888.0,28140.0,26651.33333333333,1238.0036348897472,26361.0,28149.0,27387.666666666668,25776.0,923.058683580486,2.991823476702509,3.3435185185185183,3.187833532457189,3.020981431700517,0.1792817169814711,2.9526209677419355,3.2579861111111112,3.102647102747909,2.921298163082438,0.1527518826846395,3272.0,3098.0,3071.333333333333,3151.5,215.2424989014264,3364.0,3138.0,3137.6666666666665,3213.1666666666665,226.50018395872704,12.51122311827957,15.617638888888887,15.923419952210274,16.02240890083632,3.5749090153896,71.0,86.2,74.96666666666665,80.2,9.867286016597262,12.155310377056452,13.856415019027782,12.638517676203705,12.237934123355512,1.0621988259937658,67.56720430107526,60.38055555555555,62.70436081242533,65.18794056152926,4.212720784089644,108.0,145.0,120.0,141.83333333333334,21.65640782770781,0.0,0.0,0.3333333333333333,0.1666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.5773502691896245,1.0,0.0,1.0,2.0,-8153.0,-7628.0,-5.0272647849462375,-10.6,0.990658196765067,1.0132771897879442,37291.0,53072.0,0.0188423274042809,0.7142857142857143,18601.36507936508,17817.301587301587,0.0,0.0,0.18805694649709637,0,Aalst 2,Aalst,50.93455666666667,4.015630000000001,3,"10,11,19"
2,2024,11,2880.0,2880.0,8532.0,8043.0,926.0,1103.0,58.0,65.0,0.0,0.0,2.9625,2.792708333333333,720.0,7.683263888888889,-0.2,17.85,85.96276235833334,70.6,63.499999782,4.97000006,80.34444444444445,129.0,0.0,4.0,0.0,12.801493604916669,3.0,5.003043045547279,0.0,0,-0.5000000000000004,0.8660254037844384,11671.0,12828.0,12980.666666666666,12743.333333333334,1392.2917558232346,11236.0,12281.0,12199.0,11917.0,924.7307716303186,3.921706989247312,4.454166666666667,4.409677419354839,4.331100657108721,0.4673168054326638,3.775537634408602,4.264236111111111,4.144978345280765,4.050731780167264,0.3265733911009725,850.0,749.0,743.6666666666666,751.0,109.09781543795188,903.0,855.0,833.0,826.3333333333334,83.21057625085867,12.385618279569892,15.745416666666667,15.86731182795699,15.834076687574672,3.544213592868014,61.4,102.2,71.63333333333333,83.21666666666665,26.948902265831403,13.08231085376344,14.974770966527778,13.83285948569295,13.423257023758213,1.005099487229269,67.625,62.36527777777778,63.64505675029869,65.49401135005974,3.519138361382844,132.0,163.0,129.66666666666666,148.33333333333334,34.5591280754207,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5773502691896255,0.0,0.0,1.0,2.0,-3139.0,-3193.0,-4.702354390681003,9.199999999999996,1.0607982096232749,1.0387148451406194,16575.0,22907.0,0.0,0.5769230769230769,10343.03846153846,9424.384615384615,0.0,0.0,0.1346723122598621,0,Aalter,Aalter,51.1058367,3.4350591,1,115
3,2024,11,2880.0,2880.0,9851.0,11262.0,1092.0,902.0,115.0,106.0,0.0,0.0,3.420486111111111,3.910416666666667,720.0,7.190486111111112,-1.3,17.6,86.64464732222223,62.7,56.400000042,4.4099999400000005,77.93888888888888,118.0,0.0,17.0,0.0,12.013453760972222,3.0,1.7224040967010288,0.0,0,-0.5000000000000004,0.8660254037844384,12305.0,13613.0,11923.0,11462.166666666666,1909.8701526543623,14236.0,15371.0,14060.0,13720.333333333334,1407.278579386469,4.134744623655914,4.726736111111111,4.057209528076464,3.9002930854241336,0.711469847600824,4.783602150537634,5.337152777777778,4.781851105137395,4.6671669653524495,0.5561792626813937,962.0,915.0,896.6666666666666,896.5,76.17304860207028,757.0,722.0,697.6666666666666,721.5,74.54081655934122,12.494489247311828,15.67798611111111,15.93898820191159,16.152770310633215,3.582138546811338,87.3,92.9,97.8,107.05,13.627545633752268,11.707378106827958,13.033025762361111,11.985437226557645,11.673343522046745,0.9399292889931704,69.79435483870968,58.7875,62.49905913978495,64.62205794504182,6.318234654877389,114.0,162.0,127.0,152.16666666666666,30.64310689208916,0.0,0.0,0.3333333333333333,0.1666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2454.0,-2974.0,-5.304003136200715,-24.599999999999994,0.8747114189309181,0.8643579657207081,21113.0,26541.0,0.0,0.1428571428571428,10225.357142857143,12185.714285714286,0.0,0.0,0.033396926690362816,0,Aarschot,Aarschot,50.99084,4.81259,1,87
4,2024,11,5760.0,5760.0,8879.0,164.0,2587.0,5606.0,24.0,2.0,0.0,0.0,1.5414930555555555,0.0284722222222222,720.0,7.643333333333333,-0.6,17.9,86.13606685833332,61.3,59.40000022,1.33000002,80.94027777777778,113.0,0.0,6.0,0.0,12.389985789333334,3.0,4.55311333352219,1.0,1,-0.5000000000000004,0.8660254037844384,10698.0,10966.0,10639.333333333334,9257.666666666666,359.6071931056574,209.0,225.0,216.33333333333331,214.5,8.082903768655871,1.7973790322580645,1.9038194444444445,1.807993578255675,1.5747246490442055,0.0909841588032896,0.0351142473118279,0.0390625,0.0367663530465949,0.0364517995818398,0.0020514060156131,2366.0,2245.0,2276.0,2530.6666666666665,79.18964578781443,5770.0,5568.0,5697.666666666667,5698.166666666667,112.5448058922898,12.398655913978494,15.62520833333333,15.79657482078853,15.831751418757468,3.4867619359511197,58.5,93.9,68.73333333333335,73.75,21.92129862333278,12.007143406989249,13.919146683430556,12.715987555408752,12.311259510197656,1.0474729622166583,68.06317204301075,62.84444444444444,64.16454599761052,65.77803166069295,3.434438943233263,119.0,155.0,124.66666666666669,147.33333333333334,27.934447074057747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5773502691896257,0.0,0.0,1.0,2.0,-1819.0,-45.0,-4.755322580645162,2.799999999999997,54.14024390243903,51.1866028708134,9043.0,10907.0,0.0,0.2068965517241379,6972.172413793103,192.27586206896552,0.0,0.0,0.08810297627425799,0,Ardooie teller 1,Ardooie,50.967835,3.18445,2,"59,60"
5,2024,11,2880.0,2880.0,5283.0,4383.0,1654.0,1761.0,49.0,36.0,0.0,0.0,1.834375,1.521875,720.0,6.9546527777777785,-1.75,17.35,86.24872678055556,69.5,64.799999964,3.29000002,77.65694444444445,115.0,0.0,33.0,0.0,11.842645276847222,3.0,2.212521302691376,0.0,0,-0.5000000000000004,0.8660254037844384,13134.0,19152.0,17671.333333333332,15543.833333333334,4007.678796177828,11223.0,17750.0,16143.0,13873.333333333334,4345.389395669848,4.413306451612903,6.65,6.009453405017921,5.28191644265233,1.391250711091522,3.7711693548387095,6.163194444444445,5.490666069295102,4.714611335125448,1.5008507703830325,1444.0,1248.0,1262.0,1264.6666666666667,175.419497205983,1510.0,1325.0,1340.3333333333333,1348.8333333333333,162.54332755709572,12.50880376344086,15.845972222222226,16.118101851851858,16.337393966547193,3.752770200578753,92.7,102.9,91.46666666666668,108.1,12.09724486539534,10.98038082639785,12.542976713750004,11.450688091025988,11.179696054197803,0.9489847649760176,70.22715053763442,57.42916666666667,61.901568100358425,64.41135752688172,7.216810283994921,135.0,163.0,134.33333333333334,158.16666666666666,29.005746557076115,0.0,1.0,0.6666666666666666,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1666666666666666,0.5773502691896258,0.0,1.0,1.0,1.0,-7851.0,-6840.0,-5.554150985663081,-23.200000000000003,1.2053388090349075,1.1702753274525528,9666.0,24357.0,0.0,0.2666666666666666,10228.666666666666,9282.933333333332,0.0,0.0,0.0261473119726515,0,As,As,51.00509,5.60389,1,48
6,2024,11,2880.0,2880.0,2211.0,137.0,1798.0,2756.0,12.0,4.0,0.0,0.0,0.7677083333333333,0.0475694444444444,720.0,7.417291666666666,-1.45,17.55,86.41893182361112,59.2,58.10000006,0.77,78.64722222222223,114.0,0.0,18.0,0.0,12.055056795194444,3.0,3.8998594812192136,0.0,0,-0.5000000000000004,0.8660254037844384,2903.0,3233.0,3134.0,3625.6666666666665,200.73116349984736,170.0,316.0,228.0,538.0,77.48548251124207,0.9754704301075268,1.1225694444444445,1.0651620370370372,1.230241935483871,0.0786843831952111,0.0571236559139784,0.1097222222222222,0.0777927120669055,0.1817670997610513,0.028049075968303,1605.0,1464.0,1512.6666666666667,1570.3333333333333,80.00208330620804,2828.0,2678.0,2779.6666666666665,2779.0,88.08140174482574,12.596370967741937,15.581180555555552,15.921952658303466,16.02192502986858,3.508402011195691,72.8,103.2,81.3,85.73333333333333,19.12354569633989,12.29326749327957,13.856304714305557,12.662964432859916,12.19093719760006,1.0580938543094809,67.86693548387096,60.33472222222223,62.50583930704898,65.16070041816009,4.670710236170139,111.0,149.0,124.0,147.16666666666666,21.656407827707756,0.0,1.0,0.3333333333333333,0.1666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,-692.0,-33.0,-5.17907930107527,-13.599999999999994,16.138686131386862,17.076470588235296,2348.0,3073.0,0.0,0.1071428571428571,2580.6071428571427,220.67857142857144,0.0,0.0,0.017950900384642973,0,Asse teller 1,Asse,50.89621,4.17294,1,85
7,2024,11,2880.0,2880.0,1995.0,52.0,1839.0,2830.0,11.0,2.0,0.0,0.0,0.6927083333333334,0.0180555555555555,720.0,7.417291666666666,-1.45,17.55,86.41893182361112,59.2,58.10000006,0.77,78.64722222222223,114.0,0.0,18.0,0.0,12.055056795194444,3.0,3.3540687190500025,0.0,0,-0.5000000000000004,0.8660254037844384,2687.0,2920.0,2793.333333333333,2691.0,117.8233140483395,48.0,109.0,100.33333333333331,144.16666666666666,48.583261863869794,0.9028897849462364,1.0138888888888888,0.9495221027479092,0.9149100209080048,0.0575854477665698,0.0161290322580645,0.0378472222222222,0.0341211170848267,0.0489041965352448,0.0164486648759977,1675.0,1568.0,1602.3333333333333,1631.6666666666667,62.96295206971477,2931.0,2779.0,2852.333333333333,2818.0,76.14022152143572,12.596370967741937,15.581180555555552,15.921952658303466,16.02192502986858,3.508402011195691,72.8,103.2,81.3,85.73333333333333,19.12354569633989,12.29326749327957,13.856304714305557,12.662964432859916,12.19093719760006,1.0580938543094809,67.86693548387096,60.33472222222223,62.50583930704898,65.16070041816009,4.670710236170139,111.0,149.0,124.0,147.16666666666666,21.656407827707756,0.0,1.0,0.3333333333333333,0.1666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,-692.0,4.0,-5.17907930107527,-13.599999999999994,38.36538461538461,55.97916666666666,2047.0,2735.0,0.0,0.1428571428571428,2229.6428571428573,123.14285714285714,0.0,0.0,0.012798025494360646,0,Asse teller 2,Asse,50.89132,4.1709,1,86
8,2024,11,5760.0,5760.0,246.0,7981.0,5562.0,2640.0,6.0,19.0,0.0,0.0,0.0427083333333332,1.3855902777777778,720.0,7.055277777777778,-3.0,17.6,86.58390885555556,63.6,55.80000005,5.46,78.76388888888889,108.0,0.0,26.0,0.0,11.671372225902775,3.0,2.406831364712338,0.0,0,-0.5000000000000004,0.8660254037844384,324.0,397.0,399.3333333333333,362.5,76.52668379939988,12264.0,13686.0,14253.0,13959.0,2324.945805819996,0.0544354838709676,0.068923611111111,0.0678334080047789,0.0615526060334527,0.0128874534101711,2.060483870967742,2.3760416666666666,2.4202060931899645,2.3707866636798087,0.3837153885143971,5696.0,5474.0,5576.666666666667,5594.333333333333,111.93450465934488,2195.0,2024.0,1975.0,1994.5,248.1551933770472,12.4565188172043,15.808541666666668,16.0197603046595,16.2523861260454,3.6734079850701806,80.4,91.4,96.79999999999995,112.61666666666667,19.66418063383264,11.716733085389784,13.11017942125,12.033080714354838,11.726609357579449,0.9588951061818196,69.74462365591398,59.13333333333333,62.471415770609326,64.66381421744326,6.305852820698878,115.0,148.0,125.66666666666669,154.83333333333334,19.34769581457524,0.0,0.0,1.0,0.6666666666666666,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-4283.0,-5.401241039426521,-16.800000000000004,0.0308232051121413,0.0264187866927592,8227.0,12588.0,0.0,0.0952380952380952,211.2698412698413,9072.873015873016,0.0,0.0,0.026546099229086677,0,Balen 1,Balen,51.160205,5.19007,2,"4,5"
9,2024,11,5760.0,5760.0,2510.0,355.0,4109.0,5456.0,9.0,4.0,0.0,0.0,0.4357638888888888,0.0616319444444443,720.0,7.175347222222222,-1.5,17.1,87.14487473472222,62.0,59.20000001,1.96,77.43611111111112,123.0,0.0,20.0,0.0,12.54668836261111,3.0,3.644723431542368,0.0,0,-0.5000000000000004,0.8660254037844384,3607.0,4101.0,4015.0,3820.3333333333335,372.52114033972,507.0,553.0,540.3333333333334,520.6666666666666,29.14332399251797,0.6060147849462365,0.7119791666666667,0.6822188620071685,0.6494688993428913,0.0665197755897086,0.0851814516129031,0.0960069444444443,0.091814142771804,0.0885183318399043,0.0058105610133876,3800.0,3509.0,3592.333333333333,3642.6666666666665,181.00920786891717,5528.0,5318.0,5434.666666666667,5443.0,106.92676621563449,12.441532258064516,15.350625,15.73867159498208,15.820087365591398,3.507299767598816,73.5,111.5,81.83333333333333,90.35,26.501572280401263,13.331839485349462,14.910415405694446,13.663882748493132,13.052634782880824,1.1181205762152997,69.39516129032258,60.56944444444444,62.97386499402628,65.49024790919952,5.619144733347706,132.0,172.0,136.33333333333334,157.66666666666666,33.70954365359066,0.0,2.0,0.6666666666666666,0.3333333333333333,1.1547005383792517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1097.0,-152.0,-5.266185035842294,-11.5,7.070422535211268,7.11439842209073,2865.0,4114.0,0.0,0.0357142857142857,3526.0714285714284,550.2857142857143,0.0,0.0,0.01959233456157687,0,Beersel teller 1,Beersel,50.751515,4.3332,2,"82,83"
10,2024,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,720.0,7.430902777777778,-1.2,17.6,86.01612335972223,79.7,65.899999884,9.65999981,79.3625,132.0,0.0,7.0,0.0,12.052375170833336,3.0,2.631733783321168,0.0,0,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602.0,2976.0,2819.333333333333,2881.0,194.2404008782202,2602.0,2976.0,2819.333333333333,2881.0,194.24040087822496,19.74798387096774,18.38454301075269,17.929939516129036,14.709853643966548,2.082891963250942,56.7,86.8,74.60000000000001,93.61666666666666,15.838876222762744,12.433384549422044,12.639622905188173,12.686846291508962,13.643275815206394,0.2800753910672125,60.3508064516129,66.70564516129032,63.329465352449226,69.59069593787336,3.196014848327437,97.0,137.0,123.66666666666669,173.16666666666666,23.094010767585004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-12.317081093189962,23.0,,,0.0,0.0,,0.217391304347826,7187.95652173913,2954.521739130435,0.0,0.0,0.06912026638934937,0,Beveren teller 1,Beveren,51.19646335,4.2361924,2,"123,124"
