group_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,group_name,gemeente,lat,long,member_site_count,member_site_ids,historical_risk_rank
33,65,64.0,0.9846153846153847,315778.0,4858.123076923077,0.5692307692307692,2.0267403048977446,1.9413862714870125,Genk,Genk,50.97172,5.48927,1,14,1
37,29,4.0,0.13793103448275862,33608.0,1158.896551724138,0.13793103448275862,1.19019281123542,0.8840192900113379,St. pieters leeuw teller 2,Halle,50.75509,4.24943,1,105,2
81,29,4.0,0.13793103448275862,42929.0,1480.3103448275863,0.13793103448275862,0.9317710638496122,0.7436167579401193,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,50.75533,4.24951,1,106,3
53,30,40.0,1.3333333333333333,555262.0,18508.733333333334,0.7,0.7203806491350029,0.7068765952390362,Kortrijk teller 1,Kortrijk,50.81917,3.257295,2,"74,75",4
57,30,135.0,4.5,2085798.0,69526.6,1.0,0.6472342959385329,0.6441135692679236,Leuven teller 1,Leuven,50.87549,4.71526,1,69,5
66,33,19.0,0.5757575757575758,296599.0,8987.848484848484,0.42424242424242425,0.6405955515696277,0.6199341149898185,Maasmechelen teller 1,Maasmechelen,50.97034,5.6980450000000005,2,"41,42",6
14,56,50.0,0.8928571428571429,957845.0,17104.375,0.5892857142857143,0.5220051260903382,0.517295923486335,Bree,Bree,51.13679500160176,5.597669323604317,1,25,7
7,30,4.0,0.13333333333333333,69757.0,2325.233333333333,0.06666666666666667,0.573419155066875,0.510330000116817,Asse teller 2,Asse,50.89132,4.1709,1,86,8
79,33,22.0,0.6666666666666666,448821.0,13600.636363636364,0.45454545454545453,0.4901731425222973,0.4813840033793743,Pelt teller 1,Pelt,51.231135,5.443759999999999,2,"45,46",9
34,65,69.0,1.0615384615384615,1453179.0,22356.6,0.6461538461538462,0.4748210647139822,0.4722060293150491,Gent,Gent,51.03018,3.70146,1,13,10
52,65,125.0,1.9230769230769231,2690053.0,41385.43076923077,0.8615384615384616,0.46467485956596394,0.46331429540928554,Kortrijk 1,Kortrijk,50.833355,3.27775,2,"16,17",11
30,65,52.0,0.8,1161830.0,17874.30769230769,0.5384615384615384,0.44756978215401566,0.44467244538628475,Evergem 2,Evergem,51.10892,3.703075,2,"6,7",12
38,27,16.0,0.5925925925925926,373994.0,13851.62962962963,0.4444444444444444,0.42781434996283363,0.4198591936174699,Hamme totem,Hamme,51.1017709,4.1469307,1,126,13
23,29,20.0,0.6896551724137931,483633.0,16677.0,0.5862068965517241,0.4135367106876495,0.40777861938114696,Diest teller 1,Diest,50.977945,5.044775,2,"101,102",14
40,20,47.0,2.35,1163886.0,58194.3,0.75,0.4038196180725604,0.4015117940482007,Hasselt ring,Hasselt,50.9300038,5.3438616,1,140,15
73,28,2.0,0.07142857142857142,50417.0,1800.607142857143,0.07142857142857142,0.39669159212170496,0.35725006482697225,Deinze teller 1,Nazareth,50.9598305,3.555502,1,114,16
47,21,10.0,0.47619047619047616,279671.0,13317.666666666666,0.38095238095238093,0.3575629936604081,0.3508153548725238,Houthalen-Helchteren,Houthalen-Helchteren,51.0644267,5.3819796,1,139,17
6,30,3.0,0.1,82727.0,2757.5666666666666,0.06666666666666667,0.3626385581490928,0.3415854059459184,Asse teller 1,Asse,50.89621,4.17294,1,85,18
84,31,11.0,0.3548387096774194,326511.0,10532.612903225807,0.3548387096774194,0.33689523477003835,0.33202261457326004,Torhout teller 1,Torhout,51.07154,3.082525,2,"55,56",19
77,65,77.0,1.1846153846153846,2466130.0,37940.46153846154,0.6615384615384615,0.31223009330408374,0.311714738366619,Oostende 2,Oostende,51.213745,2.92754,2,"15,18",20
35,27,31.0,1.1481481481481481,998003.0,36963.07407407407,0.6296296296296297,0.3106203087565869,0.3093836426005213,Gent teller 1,Gent,51.02811425,3.76826385,2,"118,119",21
4,31,7.0,0.22580645161290322,224211.0,7232.612903225807,0.22580645161290322,0.31220591317999563,0.3068774442221516,Ardooie teller 1,Ardooie,50.967835,3.18445,2,"59,60",22
58,30,129.0,4.3,4456517.0,148550.56666666668,1.0,0.28946372245410484,0.2892579483667801,leuven totem,Leuven,50.8868972,4.70837595,2,"77,107",23
36,23,7.0,0.30434782608695654,242807.0,10556.826086956522,0.2608695652173913,0.28829481851841177,0.28480689761991024,Gent R4,Gent,51.0876313,3.7587918,1,136,24
17,31,22.0,0.7096774193548387,770219.0,24845.774193548386,0.45161290322580644,0.28563304722423105,0.284538982376084,Brugge teller 1,Brugge,51.23019,3.22809,2,"53,54",25
51,13,48.0,3.6923076923076925,1689546.0,129965.07692307692,1.0,0.28409998899112543,0.2836098998654139,Eco Display Classic Budastraat,Kortrijk,50.83066,3.26286,1,143,26
2,28,15.0,0.5357142857142857,543643.0,19415.821428571428,0.4642857142857143,0.2759163642316741,0.2746528977193319,Aalter,Aalter,51.1058367,3.4350591,1,115,27
