site_id,group_id,group_name,group_base_name,member_site_count,group_lat,group_long,gemeente,datum_van
10,1,Aalst 2,aalst,3,50.93455666666667,4.015630000000001,Aalst,2019-08-22
11,1,Aalst 2,aalst,3,50.93455666666667,4.015630000000001,Aalst,2019-08-22
19,1,Aalst 2,aalst,3,50.93455666666667,4.015630000000001,Aalst,2019-08-22
115,2,Aalter,aalter,1,51.1058367,3.4350591,Aalter,2022-10-01
87,3,Aarschot,aarschot,1,50.99084,4.81259,Aarschot,2022-07-16
59,4,Ardooie teller 1,ardooie,2,50.967835,3.18445,Ardooie,2022-06-03
60,4,Ardooie teller 1,ardooie,2,50.967835,3.18445,Ardooie,2022-06-03
48,5,As,as,1,51.00509,5.60389,As,2022-06-01
85,6,Asse teller 1,asse,1,50.89621,4.17294,Asse,2022-07-14
86,7,Asse teller 2,asse,1,50.89132,4.1709,Asse,2022-07-14
4,8,Balen 1,balen,2,51.160205,5.19007,Balen,2019-08-22
5,8,Balen 1,balen,2,51.160205,5.19007,Balen,2019-08-22
82,9,Beersel teller 1,beersel,2,50.751515,4.3332,Beersel,2022-07-13
83,9,Beersel teller 1,beersel,2,50.751515,4.3332,Beersel,2022-07-13
123,10,Beveren teller 1,beveren,2,51.19646335,4.2361924,Beveren,2022-10-06
124,10,Beveren teller 1,beveren,2,51.19646335,4.2361924,Beveren,2022-10-06
21,11,Bilzen,bilzen,1,50.86015,5.50161,Bilzen,2019-08-31
2,12,Brasschaat 2,brasschaat,2,51.275075,4.4719549999999995,Brasschaat,2019-08-22
3,12,Brasschaat 2,brasschaat,2,51.275075,4.4719549999999995,Brasschaat,2019-08-22
90,13,Brecht teller 1,brecht,2,51.357455,4.62426,Brecht,2022-07-21
91,13,Brecht teller 1,brecht,2,51.357455,4.62426,Brecht,2022-07-21
25,14,Bree,bree,1,51.13679500160176,5.597669323604317,Bree,2020-05-09
20,15,Brugge,brugge,1,51.17416,3.20048,Brugge,2019-08-22
52,16,Brugge,brugge,1,51.22632,3.24095,Brugge,2022-06-01
53,17,Brugge teller 1,brugge,2,51.23019,3.22809,Brugge,2022-06-02
54,17,Brugge teller 1,brugge,2,51.23019,3.22809,Brugge,2022-06-02
142,18,TEST Validatie BRUGGE Y2H22022134,brugge y2h22022134,1,51.22632,3.24095,Brugge,2023-10-24
50,19,"Brugge, Sint-Andries","brugge, sint andries",2,51.192859999999996,3.16252,Brugge,2022-06-01
51,19,"Brugge, Sint-Andries","brugge, sint andries",2,51.192859999999996,3.16252,Brugge,2022-06-01
113,20,Deinze teller 2,deinze,1,50.96018,3.55578,Deinze,2022-09-21
131,21,Nevele,nevele,1,51.0276612,3.558569,Deinze,2023-01-25
