crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL,TX_CROSSWAY_NL,CD_ROAD_TYPE_NL,TX_BUILD_UP_AREA_NL,TX_COLLISION_TYPE_NL,TX_OBSTACLES_NL
2,111,Zaventem totem,Zaventem,50.8871216,4.4597084,1.080745608497051,50.8933437983886,4.471545011804019,2017,1,7,23094,Zaventem,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
52,3,Brasschaat 1,Brasschaat,51.27503,4.47222,0.3993145607615659,51.278005023489335,4.475435212618602,2017,1,15,11008,Brasschaat,Regenval,"Nat, plassen",Dag,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
52,2,Brasschaat 2,Brasschaat,51.27512,4.47169,0.4132558135332935,51.278005023489335,4.475435212618602,2017,1,15,11008,Brasschaat,Regenval,"Nat, plassen",Dag,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
53,3,Brasschaat 1,Brasschaat,51.27503,4.47222,2.309921863189306,51.291170047950835,4.493129491060681,2017,1,18,11008,Brasschaat,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
53,2,Brasschaat 2,Brasschaat,51.27512,4.47169,2.3256145122780754,51.291170047950835,4.493129491060681,2017,1,18,11008,Brasschaat,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
55,2,Brasschaat 2,Brasschaat,51.27512,4.47169,1.4271215731440643,51.2630291585191,4.464809182435176,2017,1,18,11040,Schoten,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
55,3,Brasschaat 1,Brasschaat,51.27503,4.47222,1.4305694777490177,51.2630291585191,4.464809182435176,2017,1,18,11040,Schoten,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
56,3,Brasschaat 1,Brasschaat,51.27503,4.47222,2.4459291023959864,51.25545922349538,4.488268878716826,2017,1,10,11040,Schoten,Normaal,Droog,Dag,met zwaargewonden,3,Fiets,9,personenauto,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
56,2,Brasschaat 2,Brasschaat,51.27512,4.47169,2.471828254851595,51.25545922349538,4.488268878716826,2017,1,10,11040,Schoten,Normaal,Droog,Dag,met zwaargewonden,3,Fiets,9,personenauto,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
57,2,Brasschaat 2,Brasschaat,51.27512,4.47169,1.042497568758553,51.267418756850994,4.463143665712207,2017,1,18,11040,Schoten,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,buiten bebouwde kom,Tussen 2 bestuurders: Langs achteren,Geen hindernis
57,3,Brasschaat 1,Brasschaat,51.27503,4.47222,1.0559187716379959,51.267418756850994,4.463143665712207,2017,1,18,11040,Schoten,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,buiten bebouwde kom,Tussen 2 bestuurders: Langs achteren,Geen hindernis
71,96,Lier teller 2,Lier,51.11705,4.58444,1.3480808113791778,51.12193023789475,4.566759609048651,2017,1,10,12021,Lier,Normaal,"Ijzel, sneeuw",Dag,met zwaargewonden,3,Fiets,10,"één bestuurder, geen hindernis",Buiten Kruispunt,Gewestweg,binnen bebouwde kom,"Eén bestuurder, geen hindernis (incl. val)",Geen hindernis
