site_id,site_name,site_gemeente,bike_crash_count_1km,nearest_crash_distance_km,average_crash_distance_km
144,test leuven,Leuven,398,0.02838110259643007,0.6314517966868082
69,Leuven teller 1,Leuven,392,0.018620169846780547,0.6253318464619751
77,Leuven teller 2,Leuven,348,0.047272627550616356,0.709308229513178
143,Eco Display Classic Budastraat,Kortrijk,331,0.004671751431893508,0.6269743929328598
107,leuven totem,Leuven,325,0.0645927576653999,0.7096995661069049
151,Leuven,District Leuven,241,0.1445523307409489,0.7144261449372841
140,Hasselt ring,Hasselt,208,0.020636890745595816,0.6120220150347749
16,Kortrijk 1,Kortrijk,172,0.053769875600611625,0.6222075835430234
17,Kortrijk 2,Kortrijk,171,0.048636791559532454,0.621756445547709
122,Dendermonde teller 2,Dendermonde,143,0.061820587917849106,0.6625099573337325
75,Kortrijk teller 2,Kortrijk,142,0.029325817037671672,0.7224467038277842
74,Kortrijk teller 1,Kortrijk,142,0.04430739062769007,0.7319278982794614
125,Dendermonde totem,Dendermonde,141,0.016533188250177907,0.6466066339370744
138,Hasselt-Kempische brug,Hasselt,124,0.16912559892755244,0.6619701387825726
137,Hasselt-Kempische brug,Hasselt,116,0.22126583413243234,0.6551903425800155
119,Gent teller 2,Gent,111,0.008438540033756414,0.5412352311937632
118,Gent teller 1,Gent,111,0.015731749728242324,0.5378857834083596
15,Oostende 2,Oostende,102,0.01581721167426718,0.6293360696635458
13,Gent,Gent,97,0.02192997927259352,0.7386169666396196
18,Oostende 1,Oostende,97,0.01291358954251515,0.6103348003539392
14,Genk,Genk,78,0.202922220805461,0.7955459644588349
25,Bree,Bree,77,0.06244538394889952,0.5466733683936097
99,Mechelen teller 1,Mechelen,74,0.06453752992708554,0.5651842889938133
100,Mechelen teller 2,Mechelen,74,0.07049801373428972,0.5680843279326558
6,Evergem 2,Evergem,70,0.15121327064918383,0.5259322803809818
7,Evergem 1,Evergem,70,0.1440118841298681,0.5248744501130559
142,TEST Validatie BRUGGE Y2H22022134,Brugge,69,0.0484342491092603,0.6333607456733888
52,Brugge,Brugge,69,0.0484342491092603,0.6333607456733888
22,Tienen 2,Tienen,67,0.057237242823281576,0.582019176559271
101,Diest teller 1,Diest,65,0.02284171269759095,0.5589332397359333
102,Diest teller 2,Diest,65,0.03390156275509915,0.5658203380788681
23,Tienen 3,Tienen,64,0.04111807954214671,0.542281682807922
10,Aalst 2,Aalst,64,0.1309027217619533,0.7449459949323648
24,Tienen 1,Tienen,62,0.009770190624328684,0.5387656368066298
126,Hamme totem,Hamme,61,0.05251729009160452,0.7317591523621438
11,Aalst 3,Aalst,58,0.06176513268917769,0.7885855314225395
64,Nieuwpoort teller 1,Nieuwpoort,58,0.08289435528707362,0.5645380064875807
54,Brugge teller 2,Brugge,57,0.06538894441693058,0.7321334469803633
65,Nieuwpoort teller 2,Nieuwpoort,56,0.06265144275540734,0.5086732475352846
53,Brugge teller 1,Brugge,55,0.059950975093986066,0.7319591829385507
19,Aalst 1,Aalst,53,0.13193777193197367,0.7943752106786932
116,Melle teller 2,Melle,52,0.19925192363540806,0.5757077695667027
117,Melle teller 1,Melle,52,0.19925192363540806,0.5757077695667027
46,Pelt teller 2,Pelt,51,0.02971415273591269,0.6393537050179593
45,Pelt teller 1,Pelt,51,0.05287627819531873,0.6503887138995262
42,Maasmechelen teller 2,Maasmechelen,44,0.052226217022887544,0.6294149907235013
41,Maasmechelen teller 1,Maasmechelen,44,0.030783648186253128,0.6236007336759648
66,Nieuwpoort totem,Nieuwpoort,43,0.24641590435926183,0.6330809506964814
63,Nieuwpoort teller 3,Nieuwpoort,39,0.3319896417764152,0.6765938119889177
128,Lokeren teller 1,Lokeren,37,0.05619099540831618,0.6225536389004941
129,Lokeren teller 2,Lokeren,36,0.03133475586871895,0.6330634621302492
89,Westerlo teller 2,Westerlo,32,0.06785786446359623,0.5936810504193534
88,Westerlo teller 1,Westerlo,32,0.05625248740143969,0.5899771071340342
2,Brasschaat 2,Brasschaat,31,0.048811856872344676,0.6011266040686528
111,Zaventem totem,Zaventem,31,0.18138236560655402,0.8344886939571761
68,Ieper,Ieper,30,0.16627114411565205,0.5605015145255837
67,Ieper totem,Ieper,30,0.18187358136331103,0.5583132052113202
136,Gent R4,Gent,29,0.20741498980610706,0.6964863322203036
47,Vilvoorde,Vilvoorde,28,0.36116856830905303,0.7645212127918847
94,Herentals teller 2,Herentals,27,0.0287625808732144,0.5339442156086409
55,Torhout teller 1,Torhout,27,0.149574239944794,0.5532722231955737
139,Houthalen-Helchteren,Houthalen-Helchteren,27,0.3614251195065059,0.8400632644774861
56,Torhout teller 2,Torhout,27,0.14577638376367227,0.5537765124225706
109,Zemst,Zemst,26,0.27114872572733695,0.6082142172054522
110,Herentals totem,Herentals,26,0.1026517332316727,0.5256090554819476
3,Brasschaat 1,Brasschaat,26,0.03381275850024138,0.5331569686870032
43,Maaseik teller 1,Maaseik,25,0.01700078575125704,0.5568240554105409
146,Overijse 2,District Vilvoorde-gewestwegen,25,0.19034342994347628,0.574192167237814
120,Zele teller 1,Zele,25,0.05525561468912599,0.3433171905123661
44,Maaseik teller 2,Maaseik,25,0.02430369582660021,0.5538123901406823
9,Heist op den Berg 2,Heist-op-den-Berg,24,0.06452259779731256,0.5717866530138486
121,Zele teller 2,Zele,24,0.02170435963800901,0.32070909063387104
70,Kampenhout teller 1,Kampenhout,24,0.1901865516471831,0.5106286001657777
71,Kampenhout teller 2,Kampenhout,24,0.15716749015911824,0.5162019539777918
145,Overijse,District Vilvoorde-gewestwegen,24,0.12653254794415708,0.5289254840922593
115,Aalter,Aalter,24,0.026961428983974255,0.4820557211260886
124,Beveren teller 2,Beveren,22,0.05894547748349357,0.5512955644378367
123,Beveren teller 1,Beveren,22,0.06204198776567474,0.5557591680725232
