site_id,site_name,site_gemeente,bike_crash_count_250m,nearest_crash_distance_km,average_crash_distance_km
69,Leuven teller 1,Leuven,34,0.018620169846780547,0.18021271528389715
118,Gent teller 1,Gent,25,0.015731749728242324,0.11406824806542482
119,Gent teller 2,Gent,25,0.008438540033756414,0.11479645144660475
143,Eco Display Classic Budastraat,Kortrijk,25,0.004671751431893508,0.15386005350359316
77,Leuven teller 2,Leuven,21,0.047272627550616356,0.16571281753002243
140,Hasselt ring,Hasselt,21,0.020636890745595816,0.14468068763001424
17,Kortrijk 2,Kortrijk,19,0.048636791559532454,0.1513733218099723
16,Kortrijk 1,Kortrijk,19,0.053769875600611625,0.15029583420544435
122,Dendermonde teller 2,Dendermonde,15,0.061820587917849106,0.12105015766393366
107,leuven totem,Leuven,15,0.0645927576653999,0.14485081435415334
125,Dendermonde totem,Dendermonde,14,0.016533188250177907,0.1165014500648046
15,Oostende 2,Oostende,13,0.01581721167426718,0.14432691831625
18,Oostende 1,Oostende,13,0.01291358954251515,0.14413738410257795
120,Zele teller 1,Zele,12,0.05525561468912599,0.09647312128458424
121,Zele teller 2,Zele,11,0.02170435963800901,0.08103540458317494
22,Tienen 2,Tienen,11,0.057237242823281576,0.11153062655601896
23,Tienen 3,Tienen,11,0.04111807954214671,0.07323723130438232
99,Mechelen teller 1,Mechelen,10,0.06453752992708554,0.16132583926668537
24,Tienen 1,Tienen,10,0.009770190624328684,0.0577316267635695
68,Ieper,Ieper,10,0.16627114411565205,0.18154181481939685
67,Ieper totem,Ieper,10,0.18187358136331103,0.1912188399712031
101,Diest teller 1,Diest,9,0.02284171269759095,0.057070311629870134
100,Mechelen teller 2,Mechelen,9,0.07049801373428972,0.1494730928820154
102,Diest teller 2,Diest,9,0.03390156275509915,0.06086743263615343
45,Pelt teller 1,Pelt,9,0.05287627819531873,0.19159148073566007
46,Pelt teller 2,Pelt,9,0.02971415273591269,0.17883514646982807
65,Nieuwpoort teller 2,Nieuwpoort,7,0.06265144275540734,0.1389556487465347
25,Bree,Bree,7,0.06244538394889952,0.1405087031979119
142,TEST Validatie BRUGGE Y2H22022134,Brugge,7,0.0484342491092603,0.19381035516934866
151,Leuven,District Leuven,7,0.1445523307409489,0.1963754633088716
88,Westerlo teller 1,Westerlo,7,0.05625248740143969,0.09647834166889531
89,Westerlo teller 2,Westerlo,7,0.06785786446359623,0.10090876835569003
7,Evergem 1,Evergem,7,0.1440118841298681,0.19022216907527825
52,Brugge,Brugge,7,0.0484342491092603,0.19381035516934866
110,Herentals totem,Herentals,6,0.1026517332316727,0.17966219307945566
