site_id,site_name,site_gemeente,bike_crash_count_2_5km,nearest_crash_distance_km,average_crash_distance_km
69,Leuven teller 1,Leuven,1227,0.018620169846780547,1.3082304979591457
77,Leuven teller 2,Leuven,1189,0.047272627550616356,1.4230921721547305
107,leuven totem,Leuven,1181,0.0645927576653999,1.4422071298722348
13,Gent,Gent,1029,0.02192997927259352,1.750083371384445
151,Leuven,District Leuven,1004,0.1445523307409489,1.5030772758738875
16,Kortrijk 1,Kortrijk,768,0.053769875600611625,1.4424548117968827
17,Kortrijk 2,Kortrijk,768,0.048636791559532454,1.443474663467331
143,Eco Display Classic Budastraat,Kortrijk,721,0.004671751431893508,1.2044875175581222
74,Kortrijk teller 1,Kortrijk,697,0.04430739062769007,1.5035536852510172
75,Kortrijk teller 2,Kortrijk,697,0.029325817037671672,1.4946911116080184
118,Gent teller 1,Gent,576,0.015731749728242324,1.670582502174363
119,Gent teller 2,Gent,570,0.008438540033756414,1.6677196102316525
142,TEST Validatie BRUGGE Y2H22022134,Brugge,528,0.0484342491092603,1.7294340631396388
52,Brugge,Brugge,528,0.0484342491092603,1.7294340631396388
15,Oostende 2,Oostende,502,0.01581721167426718,1.533118620856191
18,Oostende 1,Oostende,501,0.01291358954251515,1.5339355771806022
54,Brugge teller 2,Brugge,488,0.06538894441693058,1.747611725677317
53,Brugge teller 1,Brugge,488,0.059950975093986066,1.7530343888153868
140,Hasselt ring,Hasselt,487,0.020636890745595816,1.1947949601476509
138,Hasselt-Kempische brug,Hasselt,468,0.16912559892755244,1.3842017300472125
99,Mechelen teller 1,Mechelen,468,0.06453752992708554,1.6799414190240811
100,Mechelen teller 2,Mechelen,468,0.07049801373428972,1.6842455176535946
137,Hasselt-Kempische brug,Hasselt,463,0.22126583413243234,1.4006096112409083
11,Aalst 3,Aalst,457,0.06176513268917769,1.6174319897301834
10,Aalst 2,Aalst,451,0.1309027217619533,1.6007340684453149
19,Aalst 1,Aalst,446,0.13193777193197367,1.6628876835426893
128,Lokeren teller 1,Lokeren,349,0.05619099540831618,1.6016184772813242
129,Lokeren teller 2,Lokeren,347,0.03133475586871895,1.611678326918351
125,Dendermonde totem,Dendermonde,345,0.016533188250177907,1.2608568946868508
122,Dendermonde teller 2,Dendermonde,344,0.061820587917849106,1.2659613880949079
2,Brasschaat 2,Brasschaat,337,0.048811856872344676,1.698784642290654
3,Brasschaat 1,Brasschaat,336,0.03381275850024138,1.7030228913458658
14,Genk,Genk,297,0.202922220805461,1.3878806234182235
67,Ieper totem,Ieper,286,0.18187358136331103,1.7353283625867977
68,Ieper,Ieper,283,0.16627114411565205,1.7350309341449366
141,Test site A support,Lokeren,282,0.40884002358239907,1.8239873664494952
108,Heverlee teller 1,Leuven,277,0.031025719849177923,1.980846429959381
136,Gent R4,Gent,276,0.20741498980610706,1.8887696128393667
47,Vilvoorde,Vilvoorde,271,0.36116856830905303,1.6962309403121
126,Hamme totem,Hamme,249,0.05251729009160452,1.417957141569905
76,Heverlee teller 2,Leuven,231,0.0977861161812554,1.9703097815435457
120,Zele teller 1,Zele,230,0.05525561468912599,1.531621243564858
84,Roeselare totem,Izegem,228,0.31476939796073533,1.7371425401210563
20,Brugge,Brugge,226,0.47221115852026085,1.8760900557728477
121,Zele teller 2,Zele,220,0.02170435963800901,1.5417238328503622
7,Evergem 1,Evergem,202,0.1440118841298681,1.397913844858242
6,Evergem 2,Evergem,202,0.15121327064918383,1.4005400155424912
94,Herentals teller 2,Herentals,198,0.0287625808732144,1.576959105130915
110,Herentals totem,Herentals,192,0.1026517332316727,1.5927732430511494
1,Machelen,Machelen,190,0.5972105578423624,1.9192958573778782
87,Aarschot,Aarschot,184,0.02607064236629949,1.688221867754706
37,Lommel teller 1,Lommel,169,0.020727290223475005,1.513750887845828
38,Lommel teller 2,Lommel,168,0.01368120758983138,1.508869248552837
96,Lier teller 2,Lier,157,0.042052272668087566,1.7972587407791993
95,Lier teller 1,Lier,156,0.05114385794910293,1.8047629580427156
51,"Brugge, Sint-Andries",Brugge,146,0.5716486204614173,1.7545070086045764
50,"Brugge, Sint-Andries",Brugge,146,0.5612023635135949,1.7539172566029835
124,Beveren teller 2,Beveren,146,0.05894547748349357,1.7744134053066438
98,Geel teller 2,Geel,143,0.07680893683120989,1.6736773308115007
97,Geel teller 1,Geel,143,0.04860461669169923,1.682383613423611
101,Diest teller 1,Diest,142,0.02284171269759095,1.1603757621785635
102,Diest teller 2,Diest,142,0.03390156275509915,1.1669074352126623
25,Bree,Bree,140,0.06244538394889952,0.9810794298055854
55,Torhout teller 1,Torhout,136,0.149574239944794,1.4085637782282416
56,Torhout teller 2,Torhout,136,0.14577638376367227,1.413162825764765
22,Tienen 2,Tienen,130,0.057237242823281576,1.0347801842808386
24,Tienen 1,Tienen,129,0.009770190624328684,1.02878391998966
23,Tienen 3,Tienen,129,0.04111807954214671,1.024759155046385
61,Wervik teller 2,Wervik,126,0.01941670133924577,1.661032493631751
42,Maasmechelen teller 2,Maasmechelen,124,0.052226217022887544,1.2357387785624376
117,Melle teller 1,Melle,124,0.19925192363540806,1.2698561167688578
41,Maasmechelen teller 1,Maasmechelen,124,0.030783648186253128,1.2365226632979844
116,Melle teller 2,Melle,124,0.19925192363540806,1.2698561167688578
27,Grimbergen,Meise,124,0.22821475820148715,1.8245673344386963
45,Pelt teller 1,Pelt,124,0.05287627819531873,1.293026723714045
46,Pelt teller 2,Pelt,124,0.02971415273591269,1.2816987023714725
9,Heist op den Berg 2,Heist-op-den-Berg,123,0.06452259779731256,1.5362052524281682
93,Nijlen teller 2,Nijlen,121,0.07710784450357656,1.755549770809544
92,Nijlen teller 1,Nijlen,121,0.08258608552870263,1.7564373255516563
111,Zaventem totem,Zaventem,120,0.18138236560655402,1.5889420984118012
62,Wervik teller 1,Wervik,120,0.02985968524690711,1.636728784231751
109,Zemst,Zemst,119,0.27114872572733695,1.6228548831530845
8,Heist op den Berg 1,Heist-op-den-Berg,111,0.2203671086322294,1.6570446323074952
115,Aalter,Aalter,100,0.026961428983974255,1.6048140366466723
73,Herent teller 2,Herent,96,0.01616298835069047,1.7254384309475477
88,Westerlo teller 1,Westerlo,96,0.05625248740143969,1.3536368714557903
72,Herent teller 1,Herent,96,0.018331413873627384,1.7236547779843765
89,Westerlo teller 2,Westerlo,95,0.06785786446359623,1.347685510467616
26,Zaventem,Zaventem,87,0.20250759494466294,1.6319126350589617
113,Deinze teller 2,Deinze,83,0.15507235690539714,1.7070632305295526
114,Deinze teller 1,Nazareth,78,0.13910552742198876,1.6652198853129574
65,Nieuwpoort teller 2,Nieuwpoort,78,0.06265144275540734,0.829000050386295
64,Nieuwpoort teller 1,Nieuwpoort,78,0.08289435528707362,0.8586890345605281
147,Overijse,District Vilvoorde-gewestwegen,76,0.6869005019460444,1.4854389835961346
66,Nieuwpoort totem,Nieuwpoort,76,0.24641590435926183,1.055692857138103
134,Retie,Dessel,76,0.2548531432966475,1.6602638881885827
135,Retie 2,Dessel,75,0.2560627783892059,1.6497951925241412
152,Opwijk,District Vilvoorde-gewestwegen,74,0.08082439130923798,1.7380751256837061
63,Nieuwpoort teller 3,Nieuwpoort,74,0.3319896417764152,1.076718461494092
86,Asse teller 2,Asse,70,0.29650924040765597,1.8372554807013948
43,Maaseik teller 1,Maaseik,69,0.01700078575125704,1.2349626340344224
44,Maaseik teller 2,Maaseik,69,0.02430369582660021,1.2349723965562904
21,Bilzen,Bilzen,69,0.19893914016359154,1.389654758998969
112,Geel teller 2,Westerlo,69,0.35706104590946963,1.524627278196661
127,Geel totem,Westerlo,68,0.23958405816516976,1.5098130297016907
139,Houthalen-Helchteren,Houthalen-Helchteren,67,0.3614251195065059,1.2647916571851494
71,Kampenhout teller 2,Kampenhout,63,0.15716749015911824,1.3043355239196204
103,Malle teller 1,Malle,62,0.22694534139283465,1.8106918639825909
70,Kampenhout teller 1,Kampenhout,62,0.1901865516471831,1.257726394190859
104,Malle teller 2,Malle,61,0.225680341171791,1.7996174915205814
85,Asse teller 1,Asse,58,0.24214427931159732,2.0080284307445337
146,Overijse 2,District Vilvoorde-gewestwegen,56,0.19034342994347628,1.3699624562549473
145,Overijse,District Vilvoorde-gewestwegen,56,0.12653254794415708,1.3675780679626823
40,Peer teller 2,Peer,55,0.2477527759015075,1.6292603533665595
39,Peer teller 1,Peer,55,0.19687785503830854,1.5914642370522523
30,Herk De Stad,Herk-de-Stad,50,0.06752999637106614,1.2689927890126484
31,Herk De Stad,Herk-de-Stad,50,0.0300005173127875,1.2852418177041738
59,Ardooie teller 1,Ardooie,47,0.2508276650469277,1.3041229617420562
60,Ardooie teller 2,Ardooie,47,0.29166929023480803,1.3268540764052077
80,Wemmel teller 1,Wemmel,46,0.5337204886346066,1.605061612327347
81,Wemmel teller 2,Wemmel,46,0.5552727833736156,1.6168879253829465
5,Balen 2,Balen,44,0.30998746407820976,1.7318703791202155
4,Balen 1,Balen,44,0.3110117707731504,1.7316384030913325
132,Gierde lille,Lille,44,0.23393355660876358,1.4490658678086543
133,Gierde Lille Totem,Lille,44,0.24531899223905507,1.4441841412279603
12,Tervuren,Kraainem,41,0.17473059259368434,1.9376077850621358
106,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,39,0.3490624572356681,1.5692864709741403
105,St. pieters leeuw teller 2,Halle,39,0.32331416790193107,1.5823622548073872
49,Bokrijk,Genk,38,0.06256988158124158,1.534483186035523
32,Lummen,Lummen,37,0.5397215116978911,1.8824303957432953
35,Lanaken teller 1,Lanaken,36,0.23383814701900316,1.7306145674761828
36,Lanaken teller 2,Lanaken,35,0.30484791162588665,1.7332155120358725
48,As,As,33,0.09461223862179018,1.2330097329459861
33,Lummen,Lummen,33,0.5451392331961485,1.8009510290789759
90,Brecht teller 1,Brecht,32,0.19494489153485464,1.5134935691215896
91,Brecht teller 2,Brecht,32,0.18596426347869235,1.5071250052871508
131,Nevele,Deinze,30,0.5851726280920826,1.5355397632004801
150,Bertem,District Leuven,26,1.3428909006386642,2.0689050485558775
148,Hoeilaart,District Leuven,23,0.25424150716695254,1.576041324740694
58,Meulebeke teller 2,Meulebeke,13,0.14745839361951682,1.6049016099362077
57,Meulebeke teller 1,Meulebeke,12,0.11122304491530548,1.5221351195742343
78,Pepingen teller 1,Pepingen,11,0.014930343558190519,1.4726637279385948
79,Pepingen teller 2,Pepingen,11,0.029615318746782908,1.4655682839415178
83,Beersel teller 2,Beersel,10,0.04210945741063776,1.826607317399772
29,Tongeren,Tongeren,9,1.3502442036393243,2.0465123154505442
82,Beersel teller 1,Beersel,9,0.09529333594974562,1.79590357799944
28,Heers,Heers,8,0.17287455442536087,1.0716924306737516
34,Heers teller 1,Heers,8,0.16947976313789306,1.0724073513975094
