trial,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,loss_function,eval_metric,verbose,random_seed,use_best_model,best_iteration,validation_roc_auc,validation_best_f1_threshold,validation_best_f1
36,1002,5,0.051715567395690915,5.109658944065173,4.72063169634365,2.2651805626434482,205,Logloss,AUC,False,42,True,248,0.7706498170483805,0.3,0.5833333333333334
2,1102,4,0.024000671340518646,4.479265144764613,6.050888990173161,1.2290577988229179,252,Logloss,AUC,False,42,True,404,0.7693920246645887,0.27,0.5764411027568922
13,204,6,0.016698431739169097,11.729434789464245,7.6713728689919805,3.9175425624326636,218,Logloss,AUC,False,42,True,192,0.7690955752812033,0.36,0.573134328358209
18,1034,4,0.03365426919921769,4.637237053082858,9.999308053471246,2.5205343894727976,228,Logloss,AUC,False,42,True,318,0.7688075958802005,0.31,0.5775401069518716
25,789,6,0.07554573598357545,6.53659198997504,5.8438119684020355,1.547968190884926,193,Logloss,AUC,False,42,True,128,0.7683840967610788,0.33,0.5752608047690015
39,1154,5,0.032736760151292774,2.21099110785543,2.686565832087434,3.929639384392857,241,Logloss,AUC,False,42,True,170,0.7682570470253423,0.24,0.5800240673886883
34,1043,6,0.11347132342596226,3.974970053547108,5.783072368973881,0.5298682449754779,187,Logloss,AUC,False,42,True,79,0.7680283575010164,0.35,0.5850746268656717
17,240,6,0.013042755805604628,9.112663638529085,5.1178332470768275,3.8236804481945685,209,Logloss,AUC,False,42,True,205,0.7677022631792927,0.32,0.5755208333333334
38,1064,4,0.05867784428090172,8.80868123838065,4.666407688766498,3.3883038424989564,178,Logloss,AUC,False,42,True,97,0.767342288928039,0.39,0.58125
3,336,8,0.04563481695911255,11.573055453838524,6.246317744208476,4.119888221903148,181,Logloss,AUC,False,42,True,245,0.7672025342187287,0.37,0.5787878787878787
20,377,5,0.03620972043179822,6.189932301867444,7.522780209756359,4.291723483331305,150,Logloss,AUC,False,42,True,235,0.7660675565794823,0.3,0.570673712021136
15,764,6,0.016969911905393775,11.890434603738205,8.304384332720973,0.9068912372413327,217,Logloss,AUC,False,42,True,134,0.7655508876541537,0.35,0.5734265734265734
22,996,4,0.0313928974148493,9.491106471117174,9.394597032520313,1.4142644326262137,201,Logloss,AUC,False,42,True,266,0.7653306681122104,0.27,0.571773220747889
32,699,7,0.08693568015924565,3.3689346536164493,6.442641386593303,1.647828621902389,190,Logloss,AUC,False,42,True,110,0.7652502032795772,0.34,0.5818713450292398
7,453,10,0.09410605847589806,2.4707262787038697,8.328148842417809,0.06878701914182939,97,Logloss,AUC,False,42,True,232,0.7633232822875728,0.19,0.574002574002574
8,569,8,0.055341399130774384,4.716131446852425,1.0318405510556838,2.0791298271983703,36,Logloss,AUC,False,42,True,122,0.7629802480010841,0.28,0.5809768637532133
19,751,7,0.018658321270677448,12.613223780685557,2.933435089759438,0.703739902093456,242,Logloss,AUC,False,42,True,62,0.7629251931155983,0.38,0.5747422680412371
14,864,4,0.014071513283320937,14.897900161367156,8.528874051488355,3.1662316662765395,225,Logloss,AUC,False,42,True,210,0.7623407643312101,0.36,0.5730659025787965
29,1162,6,0.02646806089782985,13.604566187240655,5.427656840331926,1.5770537666192324,251,Logloss,AUC,False,42,True,27,0.7614471811898631,0.41,0.5737265415549598
11,224,6,0.025777076885774724,13.795636283382093,6.697321624715689,3.5491221988903012,255,Logloss,AUC,False,42,True,23,0.7612057866919637,0.41,0.572851805728518
16,472,5,0.030917159310412994,18.045267094954504,7.470187457170492,2.6310207509936108,149,Logloss,AUC,False,42,True,267,0.7610490920178887,0.3,0.5718085106382979
37,976,5,0.049286826095823445,5.124503685052502,3.9817129621904055,2.2597831415325906,206,Logloss,AUC,False,42,True,225,0.7598887044314948,0.24,0.572139303482587
0,1199,8,0.010306935739768236,8.306267223316201,5.536837980112277,1.4796674264929632,107,Logloss,AUC,False,42,True,115,0.7596557799159778,0.36,0.5682926829268292
5,1042,5,0.15200566296537696,19.12102848815912,3.867190620471729,2.006300425389516,170,Logloss,AUC,False,42,True,62,0.7596176649952568,0.26,0.5693430656934306
27,519,7,0.022565748001834543,1.2267094782709318,8.857693458458728,2.3374959167195533,211,Logloss,AUC,False,42,True,232,0.7595922550481096,0.31,0.5793103448275863
31,802,6,0.08453464735758422,5.930315291879057,6.08399830641762,1.2794083216366918,200,Logloss,AUC,False,42,True,36,0.7593508605502101,0.32,0.5668449197860963
21,1040,4,0.021840801424124034,3.6241620511079033,9.865195328524779,2.5314217418078866,235,Logloss,AUC,False,42,True,100,0.7591984008673263,0.31,0.5731272294887039
1,1200,10,0.06606426297898177,4.816557308876557,4.486892948556642,0.32283036910138674,193,Logloss,AUC,False,42,True,223,0.75869020192438,0.33,0.5744360902255639
4,1118,9,0.198150051573655,7.889756788577396,1.870543743608144,3.0349735856561555,177,Logloss,AUC,False,42,True,16,0.756392719203144,0.29,0.5781637717121588
30,838,9,0.012243675794285234,8.105408760227277,4.567075702411907,4.312691160696439,223,Logloss,AUC,False,42,True,68,0.7558485228350725,0.41,0.5710526315789474
23,937,5,0.037733633724690206,5.171521892327391,9.06231827063104,3.056261470257338,235,Logloss,AUC,False,42,True,157,0.7547770700636943,0.26,0.5617715617715617
35,361,4,0.03998448196091319,7.741092954097266,7.179874933895054,1.8191770903936182,163,Logloss,AUC,False,42,True,11,0.7529221439219407,0.44,0.5771604938271605
28,1108,4,0.016861952906662654,16.823005772261343,7.967033120701537,0.45744336248777584,165,Logloss,AUC,False,42,True,17,0.7528459140804988,0.45,0.5596816976127321
9,622,5,0.1780779910894878,10.819522950432706,0.4153094831395254,1.877045979872527,117,Logloss,AUC,False,42,True,19,0.7525875796178344,0.28,0.5628140703517588
10,877,4,0.020449665097581834,15.546584309526084,9.923402262843133,1.0706190478511708,250,Logloss,AUC,False,42,True,15,0.751696113972083,0.45,0.5580182529335072
33,1180,5,0.06450740970009836,6.78839091616569,5.5510705033184005,1.1685639830697925,228,Logloss,AUC,False,42,True,67,0.7508851131589647,0.32,0.5622489959839357
24,1100,4,0.013804973326266552,2.5952932354768645,7.4785680871939695,3.4888382758254717,73,Logloss,AUC,False,42,True,16,0.7501905746036048,0.46,0.5587828492392808
6,652,8,0.047270124877218295,6.943639043186083,3.6114440776931787,4.596233119222534,121,Logloss,AUC,False,42,True,94,0.7476114649681529,0.33,0.5710306406685237
12,900,7,0.026657525503630826,1.0158528038834724,6.625526356892583,4.83123207229681,221,Logloss,AUC,False,42,True,34,0.7460826331481232,0.38,0.5593667546174143
26,959,5,0.010029243091722071,10.094609254229104,7.305117046108448,2.685298466489491,236,Logloss,AUC,False,42,True,23,0.7365899003930072,0.46,0.5424588086185045
