site_id,year,month,interval_count_in,interval_count_out,max_interval_count_in,max_interval_count_out,mean_interval_count_in,mean_interval_count_out,min_interval_count_in,min_interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,rainy_days,heavy_rain_days,frost_days,storm_days,bike_crash_count_2_5km,bike_crash_happened_2_5km,month_sin,month_cos,total_count_in_lag1,total_count_in_lag2,total_count_in_roll3_mean,total_count_in_roll6_mean,total_count_in_roll3_std,total_count_out_lag1,total_count_out_lag2,total_count_out_roll3_mean,total_count_out_roll6_mean,total_count_out_roll3_std,mean_interval_count_in_lag1,mean_interval_count_in_lag2,mean_interval_count_in_roll3_mean,mean_interval_count_in_roll6_mean,mean_interval_count_in_roll3_std,mean_interval_count_out_lag1,mean_interval_count_out_lag2,mean_interval_count_out_roll3_mean,mean_interval_count_out_roll6_mean,mean_interval_count_out_roll3_std,zero_count_intervals_in_lag1,zero_count_intervals_in_lag2,zero_count_intervals_in_roll3_mean,zero_count_intervals_in_roll6_mean,zero_count_intervals_in_roll3_std,zero_count_intervals_out_lag1,zero_count_intervals_out_lag2,zero_count_intervals_out_roll3_mean,zero_count_intervals_out_roll6_mean,zero_count_intervals_out_roll3_std,avg_temperature_2m_lag1,avg_temperature_2m_lag2,avg_temperature_2m_roll3_mean,avg_temperature_2m_roll6_mean,avg_temperature_2m_roll3_std,total_precipitation_lag1,total_precipitation_lag2,total_precipitation_roll3_mean,total_precipitation_roll6_mean,total_precipitation_roll3_std,avg_wind_speed_10m_lag1,avg_wind_speed_10m_lag2,avg_wind_speed_10m_roll3_mean,avg_wind_speed_10m_roll6_mean,avg_wind_speed_10m_roll3_std,avg_cloud_cover_lag1,avg_cloud_cover_lag2,avg_cloud_cover_roll3_mean,avg_cloud_cover_roll6_mean,avg_cloud_cover_roll3_std,rainy_days_lag1,rainy_days_lag2,rainy_days_roll3_mean,rainy_days_roll6_mean,rainy_days_roll3_std,heavy_rain_days_lag1,heavy_rain_days_lag2,heavy_rain_days_roll3_mean,heavy_rain_days_roll6_mean,heavy_rain_days_roll3_std,frost_days_lag1,frost_days_lag2,frost_days_roll3_mean,frost_days_roll6_mean,frost_days_roll3_std,storm_days_lag1,storm_days_lag2,storm_days_roll3_mean,storm_days_roll6_mean,storm_days_roll3_std,bike_crash_count_2_5km_lag1,bike_crash_count_2_5km_lag2,bike_crash_count_2_5km_roll3_mean,bike_crash_count_2_5km_roll6_mean,bike_crash_count_2_5km_roll3_std,bike_crash_happened_2_5km_lag1,bike_crash_happened_2_5km_lag2,bike_crash_count_2_5km_roll3_sum,bike_crash_count_2_5km_roll6_sum,total_count_in_change_lag1,total_count_out_change_lag1,avg_temperature_2m_change_lag1,total_precipitation_change_lag1,in_out_ratio,in_out_ratio_lag1,total_count_sum,total_count_sum_lag1,bike_crashes_per_1000_cyclists_lag1,site_avg_bike_crash_count_history,site_avg_total_count_in_history,site_avg_total_count_out_history,target_bike_crash_count_2_5km_next_month,target_bike_crash_happened_2_5km_next_month
1,2019,8,2976,2976,43.0,45.0,2.12869623655914,1.9422043010752688,0.0,0.0,6335.0,5780.0,1121,1134,241,21.03692946058091,10.4,32.2,66.03399140248963,4.3,4.3,0.0,38.79253112033195,7.684303661410788,0.0,3.51331843620502,8,0,0,0,1.0,1,-0.8660254037844385,-0.5000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0960207612456747,,12115.0,,,,,,1.0,1.0
1,2019,9,2880,2880,73.0,45.0,2.451041666666667,2.0909722222222222,0.0,0.0,7059.0,6022.0,1103,1109,720,15.374583333333334,6.1,25.8,73.17893493194444,56.8,56.8,0.0,59.31805555555555,14.673562786944444,3.0,3.51331843620502,134,0,0,0,1.0,1,-1.0,-1.8369701987210294e-16,6335.0,,6335.0,6335.0,,5780.0,,5780.0,5780.0,,2.12869623655914,,2.12869623655914,2.12869623655914,,1.9422043010752688,,1.9422043010752688,1.9422043010752688,,1121.0,,1121.0,1121.0,,1134.0,,1134.0,1134.0,,21.03692946058091,,21.03692946058091,21.03692946058091,,4.3,,4.3,4.3,,7.684303661410788,,7.684303661410788,7.684303661410788,,38.79253112033195,,38.79253112033195,38.79253112033195,,8.0,,8.0,8.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,724.0,242.0,-5.662346127247577,52.5,1.172201926270342,1.0960207612456747,13081.0,12115.0,0.08254230293025175,1.0,6335.0,5780.0,5.0,1.0
1,2019,10,2976,2976,30.0,30.0,1.840725806451613,1.6935483870967742,0.0,0.0,5478.0,5040.0,1252,1289,744,12.40893817204301,0.7,23.6,82.47122202150537,113.6,113.6,0.0,80.63709677419355,16.540118407526883,3.0,3.51331843620502,186,1,0,0,5.0,1,-0.8660254037844386,0.5000000000000001,7059.0,6335.0,6697.0,6697.0,511.9453095790604,6022.0,5780.0,5901.0,5901.0,171.1198410471445,2.451041666666667,2.12869623655914,2.2898689516129034,2.2898689516129034,0.22793263951352652,2.0909722222222222,1.9422043010752688,2.0165882616487454,2.0165882616487454,0.10519480586603647,1103.0,1121.0,1112.0,1112.0,12.727922061357855,1109.0,1134.0,1121.5,1121.5,17.67766952966369,15.374583333333334,21.03692946058091,18.20575639695712,18.20575639695712,4.003883344002146,56.8,4.3,30.549999999999997,30.549999999999997,37.12310601229374,14.673562786944444,7.684303661410788,11.178933224177616,11.178933224177616,4.942152523134808,59.31805555555555,38.79253112033195,49.05529333794375,49.05529333794375,14.513737515556791,134.0,8.0,71.0,71.0,89.09545442950498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,-1581.0,-982.0,-2.9656451612903236,56.8,1.0869047619047618,1.172201926270342,10518.0,13081.0,0.07644675483525724,1.0,6697.0,5901.0,0.0,0.0
1,2019,11,2880,2880,32.0,25.0,1.4715277777777778,1.4552083333333334,0.0,0.0,4238.0,4191.0,1375,1365,720,6.553680555555555,-1.75,14.8,87.79495963055555,69.5,69.5,0.0,70.69305555555556,14.510999752222222,3.0,3.51331843620502,180,0,29,0,0.0,0,-0.5000000000000004,0.8660254037844384,5478.0,7059.0,6290.666666666667,6290.666666666667,791.4318248171054,5040.0,6022.0,5614.0,5614.0,511.61313509330466,1.840725806451613,2.451041666666667,2.140154569892473,2.140154569892473,0.30531923024859337,1.6935483870967742,2.0909722222222222,1.9089083034647552,1.9089083034647552,0.20079316167169212,1252.0,1103.0,1158.6666666666667,1158.6666666666667,81.32855177201503,1289.0,1109.0,1177.3333333333333,1177.3333333333333,97.51068317540053,12.40893817204301,15.374583333333334,16.273483655319087,16.273483655319087,4.383671379154809,113.6,56.8,58.23333333333333,58.23333333333333,54.66409546798825,16.540118407526883,14.673562786944444,12.965994951960704,12.965994951960704,4.6683192519026715,80.63709677419355,59.31805555555555,59.582561150027026,59.582561150027026,20.92353677314649,186.0,134.0,109.33333333333333,109.33333333333333,91.5277735626369,1.0,0.0,0.3333333333333333,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.3333333333333335,2.3333333333333335,2.3094010767585034,1.0,1.0,7.0,7.0,-1240.0,-849.0,-5.855257616487455,-44.099999999999994,1.0112145072774994,1.0869047619047618,8429.0,10518.0,0.4753755466818787,2.3333333333333335,6290.666666666667,5614.0,1.0,1.0
1,2019,12,2976,2976,31.0,17.0,1.1794354838709675,1.095766129032258,0.0,0.0,3510.0,3261.0,1572,1583,744,5.832325268817204,-2.2,15.1,85.44804557526882,74.2,74.2,0.0,69.84543010752688,18.34630571061828,3.0,3.51331843620502,160,0,44,0,1.0,1,-2.4492935982947064e-16,1.0,4238.0,5478.0,5591.666666666667,5777.5,1413.9308092453937,4191.0,5040.0,5084.333333333333,5258.25,916.304716419889,1.4715277777777778,1.840725806451613,1.9210984169653524,1.9729978718637993,0.49467836219320677,1.4552083333333334,1.6935483870967742,1.7465763142174433,1.7954833109318997,0.3211820377835861,1375.0,1252.0,1243.3333333333333,1212.75,136.20695038555607,1365.0,1289.0,1254.3333333333333,1224.25,131.4736982568504,6.553680555555555,12.40893817204301,11.445734020310633,13.843532880378202,4.488641568691775,69.5,113.6,79.96666666666665,61.05,29.811463119634585,14.510999752222222,16.540118407526883,15.241560315564518,13.352246152026083,1.1275178595992361,70.69305555555556,80.63709677419355,70.21606929510155,62.36018475140915,10.667521574386102,180.0,186.0,166.66666666666666,127.0,28.448784391135796,0.0,1.0,0.3333333333333333,0.25,0.5773502691896258,29.0,0.0,9.666666666666666,7.25,16.74315780649915,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.75,2.6457513110645907,0.0,1.0,6.0,7.0,-728.0,-930.0,-0.7213552867383513,4.700000000000003,1.076356945722171,1.0112145072774994,6771.0,8429.0,0.0,1.75,5777.5,5258.25,2.0,1.0
1,2020,1,2976,2976,51.0,46.0,1.4163306451612905,1.3958333333333333,0.0,0.0,4215.0,4154.0,1449,1401,744,5.835887096774193,-2.05,13.0,87.11981076075269,37.2,37.2,0.0,72.33602150537635,17.26306297747312,3.0,3.51331843620502,134,0,49,0,2.0,1,0.4999999999999999,0.8660254037844387,3510.0,4238.0,4408.666666666667,5324.0,995.0383577196079,3261.0,4191.0,4164.0,4858.8,889.8072825055995,1.1794354838709675,1.4715277777777778,1.497229689366786,1.814285394265233,0.33139351816111284,1.095766129032258,1.4552083333333334,1.4148409498207888,1.6555398745519714,0.3009286481093389,1572.0,1375.0,1399.6666666666667,1284.6,161.4197426999973,1583.0,1365.0,1412.3333333333333,1296.0,152.60843139660852,5.832325268817204,6.553680555555555,8.26498133213859,12.241291358066004,3.6068507150517415,74.2,69.5,85.76666666666667,63.67999999999999,24.21865672025046,18.34630571061828,14.510999752222222,16.46580795678913,14.351058063744523,1.9187325193845366,69.84543010752688,70.69305555555556,73.72519414575866,63.8572338226327,6.000867910874259,160.0,180.0,175.33333333333334,133.6,13.613718571108041,0.0,0.0,0.3333333333333333,0.2,0.5773502691896258,44.0,29.0,24.333333333333332,14.6,22.368132093076824,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.6,2.6457513110645907,1.0,0.0,6.0,8.0,705.0,893.0,0.0035618279569886724,-37.0,1.0146846413095811,1.076356945722171,8369.0,6771.0,0.14768867227883622,1.6,5324.0,4858.8,4.0,1.0
1,2020,2,2784,2784,18.0,18.0,1.1767241379310345,1.1458333333333333,0.0,0.0,3276.0,3190.0,1495,1466,696,7.131321839080459,-1.65,16.25,78.9115035933908,132.4,127.10000006,3.70999998,74.05172413793103,25.13964558071839,3.0,3.51331843620502,237,0,9,10,4.0,1,0.8660254037844386,0.5000000000000001,4215.0,3510.0,3987.6666666666665,5139.166666666667,413.8312860736062,4154.0,3261.0,3868.6666666666665,4741.333333333333,526.5798451643711,1.4163306451612905,1.1794354838709675,1.3557646356033455,1.7479596027479092,0.15517943863561537,1.3958333333333333,1.095766129032258,1.3156025985663085,1.6122554510155318,0.1926847234711309,1449.0,1572.0,1465.3333333333333,1312.0,99.5104684610284,1401.0,1583.0,1449.6666666666667,1313.5,116.86459401090383,5.835887096774193,5.832325268817204,6.073964307048985,11.173723981184034,0.4154502749613272,37.2,74.2,60.300000000000004,59.26666666666667,20.14274062782919,17.26306297747312,18.34630571061828,16.706789480104543,14.836392216032623,1.9772387568356782,72.33602150537635,69.84543010752688,70.95816905615294,65.27036510308997,1.266284033662987,134.0,160.0,158.0,133.66666666666666,23.06512518934156,0.0,0.0,0.0,0.16666666666666666,0.0,49.0,44.0,40.666666666666664,20.333333333333332,10.408329997330664,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.6666666666666667,0.9999999999999988,1.0,1.0,3.0,10.0,-939.0,-964.0,1.2954347423062664,95.2,1.026959247648903,1.0146846413095811,6466.0,8369.0,0.2389771776795316,1.6666666666666667,5139.166666666667,4741.333333333333,1.0,1.0
1,2020,3,2972,2972,33.0,31.0,1.7752355316285329,1.721399730820996,0.0,0.0,5276.0,5116.0,1408,1351,744,6.795631720430107,-2.55,15.65,73.45239930107526,71.4,71.3,0.07,53.70161290322581,17.758615599731183,0.0,3.51331843620502,172,0,18,0,1.0,1,1.0,6.123233995736766e-17,3276.0,4215.0,3667.0,4629.333333333333,488.79136653586863,3190.0,4154.0,3535.0,4309.666666666667,537.2438924734274,1.1767241379310345,1.4163306451612905,1.257496755654431,1.5892975863098917,0.1375608635881175,1.1458333333333333,1.3958333333333333,1.2124775985663083,1.4795269563918758,0.16075190618029292,1495.0,1449.0,1505.3333333333333,1374.3333333333333,62.14767359550421,1466.0,1401.0,1483.3333333333333,1368.8333333333333,92.22978549976885,7.131321839080459,5.835887096774193,6.266511401557286,8.85612271093396,0.748949925756921,132.4,37.2,81.26666666666667,80.61666666666666,47.9918048559682,25.13964558071839,17.26306297747312,20.249671422936597,17.745615869250557,4.269337085843459,74.05172413793103,72.33602150537635,72.07772525027808,71.14689727268983,2.115009476125781,237.0,134.0,177.0,171.83333333333334,53.56304696336831,0.0,0.0,0.0,0.16666666666666666,0.0,9.0,49.0,34.0,21.833333333333332,21.79449471770337,10.0,0.0,3.3333333333333335,1.6666666666666667,5.773502691896257,4.0,2.0,2.3333333333333335,2.1666666666666665,1.5275252316519468,1.0,1.0,7.0,13.0,2000.0,1926.0,-0.33569011865035225,-61.0,1.0312744331508992,1.026959247648903,10392.0,6466.0,0.6186204763377667,2.0,4873.0,4519.714285714285,2.0,1.0
1,2020,4,2880,2880,69.0,99.0,3.50625,3.5059027777777776,0.0,0.0,10098.0,10097.0,1124,1083,720,11.905208333333333,-2.7,23.45,61.930925325,13.8,13.8,0.0,36.69305555555555,12.20446331111111,0.0,3.51331843620502,45,0,11,0,2.0,1,0.8660254037844387,-0.4999999999999998,5276.0,3276.0,4255.666666666667,4332.166666666667,1000.6199744824877,5116.0,3190.0,4153.333333333333,4158.666666666667,963.000173070251,1.7752355316285329,1.1767241379310345,1.456096771573619,1.4766632304702025,0.3012307764884108,1.721399730820996,1.1458333333333333,1.4210221324958876,1.4179315411583382,0.2886087770350548,1408.0,1495.0,1450.6666666666667,1425.1666666666667,43.52393977265074,1351.0,1466.0,1406.0,1409.1666666666667,57.662812973354264,6.795631720430107,7.131321839080459,6.587613552094919,7.426297442116756,0.672303102522667,71.4,132.4,80.33333333333334,83.05,48.22461335597552,17.758615599731183,25.13964558071839,20.053774719307565,18.259791338048345,4.411457232544313,53.70161290322581,74.05172413793103,66.69645284884439,70.21082349730152,11.286509991579432,172.0,237.0,181.0,178.16666666666666,52.08646657242166,0.0,0.0,0.0,0.16666666666666666,0.0,18.0,9.0,25.333333333333332,24.833333333333332,20.984120980716188,0.0,10.0,3.3333333333333335,1.6666666666666667,5.773502691896257,1.0,4.0,2.3333333333333335,2.1666666666666665,1.5275252316519468,1.0,1.0,7.0,13.0,4822.0,4981.0,5.109576612903226,-57.60000000000001,1.0000990393186096,1.0312744331508992,20195.0,10392.0,0.0962278675904542,1.875,4923.375,4594.25,2.0,1.0
1,2020,5,2976,2976,40.0,45.0,3.401545698924731,3.319220430107527,0.0,0.0,10123.0,9878.0,1022,980,744,13.853091397849465,2.0,26.25,60.12365478225807,14.6,14.6,0.0,48.045698924731184,12.670380579946237,0.0,3.51331843620502,60,0,0,0,2.0,1,0.4999999999999999,-0.8660254037844387,10098.0,5276.0,6216.666666666667,5102.166666666667,3506.930471699337,10097.0,5116.0,6134.333333333333,5001.5,3564.3252283333145,3.50625,1.7752355316285329,2.1527365565198555,1.7542505960616006,1.2097739265488983,3.5059027777777776,1.721399730820996,2.124378613977369,1.7199906062718389,1.2305591943716263,1124.0,1408.0,1342.3333333333333,1403.8333333333333,194.02147647447,1083.0,1351.0,1300.0,1374.8333333333333,196.52735178595378,11.905208333333333,6.795631720430107,8.610720630947966,7.342342468998474,2.8580428407944,13.8,71.4,72.53333333333335,66.41666666666667,59.30812198454217,12.20446331111111,17.758615599731183,18.36757483052023,17.537182155312383,6.4890568340524695,36.69305555555555,53.70161290322581,54.81546419890413,62.88681662752853,18.704224872835702,45.0,172.0,151.33333333333334,154.66666666666666,97.6541516441228,0.0,0.0,0.0,0.0,0.0,11.0,18.0,12.666666666666666,26.666666666666668,4.7258156262526025,0.0,0.0,3.3333333333333335,1.6666666666666667,5.773502691896257,2.0,1.0,2.3333333333333335,1.6666666666666667,1.5275252316519468,1.0,1.0,7.0,10.0,25.0,-219.0,1.947883064516132,0.7999999999999989,1.0248025916177363,1.0000990393186096,20001.0,20195.0,0.09903441445902451,1.8888888888888888,5498.333333333333,5205.666666666667,3.0,1.0
